section,item,count,share_of_locked_events
usable_sample_by_window,"[0,+1]",1516,0.975547
usable_sample_by_window,"[0,+3]",1511,0.972329
usable_sample_by_window,"[0,+5]",1503,0.967181
usable_sample_by_window,"[0,+20]",1407,0.905405
usable_sample_by_window,"[+5,+20]",1407,0.905405
usable_sample_by_window,"[-20,-1]",1516,0.975547
date_ticker_coverage,events_with_missing_event_date,0,0.0
date_ticker_coverage,events_with_no_ticker_data,38,0.024453
date_ticker_coverage,events_with_no_trading_day_on_or_after_event_date,0,0.0
duplicates_clustering,ticker_date_groups_with_multiple_events,284,
duplicates_clustering,events_in_clustered_ticker_date_groups,818,0.526384
problem_tickers_top25,AMC,20,0.01287
problem_tickers_top25,SHOP,7,0.004505
problem_tickers_top25,SQ,4,0.002574
problem_tickers_top25,HOOD,2,0.001287
problem_tickers_top25,SMCI,2,0.001287
problem_tickers_top25,TGT,1,0.000644
problem_tickers_top25,GME,1,0.000644
problem_tickers_top25,COIN,1,0.000644
