section,group,metric,n,mean,median,t_stat,p_value
by_creator,Jose Najarro Stocks,abnormal_return_1d,287,-0.0005211428571428565,-0.001716,-0.2600343973449702,0.7950243421913545
by_creator,"Mark Roussin, CPA",abnormal_return_1d,226,0.0013412522123893804,0.001199,1.0914626082091463,0.2762367589884618
by_creator,The Investor Channel,abnormal_return_1d,124,0.004246685483870968,0.0031799999999999997,1.2004604421851075,0.23226744909833408
by_creator,Couch Investor,abnormal_return_1d,114,-0.001011412280701755,-0.0028785,-0.303766084870452,0.7618647240838272
by_creator,HyperChange,abnormal_return_1d,76,0.006734934210526315,0.0026555,1.4605258776378947,0.14832224542703742
by_creator,Daniel Pronk,abnormal_return_1d,68,0.0005841029411764708,-0.002506,0.1544364171743018,0.87772991390518
by_creator,Ticker Symbol: YOU,abnormal_return_1d,66,0.0015510757575757576,0.003731,0.7284823935524144,0.46893482737154035
by_creator,Financial Education,abnormal_return_1d,63,0.03445319047619048,0.010043,4.004434940786902,0.00016884358357938112
by_creator,"Value Investing with Sven Carlin, Ph.D.",abnormal_return_1d,51,-0.003053999999999999,-0.002132,-1.5994381385584802,0.11602397738288728
by_creator,Sasha Yanshin,abnormal_return_1d,49,0.006381938775510206,0.007211,2.4503270632010716,0.01796876766860711
by_creator,Joseph Carlson,abnormal_return_1d,44,-0.0029361818181818183,0.000161,-1.3258081902621013,0.19190363403314015
by_creator,Learn to Invest - Investors Grow,abnormal_return_1d,41,0.007951121951219513,0.001176,1.7259623159538666,0.09207230515386833
by_creator,Everything Money,abnormal_return_1d,34,0.0009460882352941177,0.002757,0.516059597043954,0.6092535738308436
by_creator,New Money,abnormal_return_1d,28,-0.00025760714285714265,0.0023864999999999997,-0.11258018815954522,0.911196251697036
by_creator,Chicken Genius Singapore,abnormal_return_1d,21,0.01091547619047619,0.002899,1.1796929273366612,0.2519650005203944
by_creator,Investing with Tom,abnormal_return_1d,20,-0.0078542,-0.005364,-0.7508989053769246,0.4619129732985825
by_creator,Ale's World of Stocks,abnormal_return_1d,19,-0.00039999999999999937,0.00215,-0.08138678384750217,0.9360324996205065
by_creator,"Parkev Tatevosian, CFA",abnormal_return_1d,19,-0.00569078947368421,-0.006537,-1.500706566461307,0.15076894266973895
by_creator,STOCK UP! with LARRY JONES,abnormal_return_1d,18,0.005376055555555555,-0.003353,0.7649923102494002,0.4547656127818134
by_creator,Tom Nash,abnormal_return_1d,18,0.0017171111111111098,0.004371,0.3147994560350652,0.7567448698319827
by_creator,ZipTrader,abnormal_return_1d,17,0.0029322352941176474,-0.004438,0.28480252599830236,0.7794487949995395
by_creator,Jose Najarro Stocks,abnormal_return_5d,286,0.006166489510489512,0.004639,1.8253234966600098,0.06899874240257753
by_creator,"Mark Roussin, CPA",abnormal_return_5d,226,0.005932274336283186,0.0019345,1.9661828990118924,0.05050710773017375
by_creator,The Investor Channel,abnormal_return_5d,124,0.010471862903225805,-0.001323,1.7629453248714173,0.08039326179572837
by_creator,Couch Investor,abnormal_return_5d,108,-0.006484805555555554,-0.011736,-1.0252857741463108,0.30754069830009234
