ticker,event_date,creator,video_id,recommendation_type,event_id,start_date,end_date
TSLA,2020-01-06,Investing with Tom,C7qKLjZUtj4,sell,392,2019-11-07,2020-02-05
TSLA,2020-02-04,Investing with Tom,cSZqcBTEDV8,sell,391,2019-12-06,2020-03-05
TSLA,2020-02-11,Learn to Invest - Investors Grow,uTNZiFgUa_Q,buy,334,2019-12-13,2020-03-12
DIS,2020-02-18,Learn to Invest - Investors Grow,ybe6ZX494Yk,sell,335,2019-12-20,2020-03-19
TSLA,2020-02-21,The Plain Bagel,ilwk1Dm7Yzg,buy,1408,2019-12-23,2020-03-22
TSLA,2020-02-21,The Plain Bagel,ilwk1Dm7Yzg,buy,1409,2019-12-23,2020-03-22
AAPL,2020-02-25,Learn to Invest - Investors Grow,Rbl39DWYFeU,buy,348,2019-12-27,2020-03-26
AMZN,2020-02-25,Learn to Invest - Investors Grow,Rbl39DWYFeU,buy,349,2019-12-27,2020-03-26
MSFT,2020-02-25,Learn to Invest - Investors Grow,Rbl39DWYFeU,buy,347,2019-12-27,2020-03-26
DIS,2020-03-27,Learn to Invest - Investors Grow,_u34sqYCyuQ,buy,339,2020-01-27,2020-04-26
MSFT,2020-03-27,Learn to Invest - Investors Grow,_u34sqYCyuQ,buy,338,2020-01-27,2020-04-26
AAPL,2020-03-31,Investing with Tom,WNj4hHxWj2g,buy,385,2020-01-31,2020-04-30
TSLA,2020-04-06,Investing with Tom,sUve9tzpfdI,buy,384,2020-02-06,2020-05-06
AAPL,2020-04-30,The Swedish Investor,QIAWUXXSoQM,buy,886,2020-03-01,2020-05-30
TSLA,2020-05-18,Chicken Genius Singapore,mOCbunawYrQ,buy,1498,2020-03-19,2020-06-17
TSLA,2020-05-22,Chicken Genius Singapore,vq2OzoJ-xSk,buy,1067,2020-03-23,2020-06-21
TSLA,2020-06-01,Chicken Genius Singapore,lAjQ0a8EFLg,buy,1066,2020-04-02,2020-07-01
HOOD,2020-06-02,Learn to Invest - Investors Grow,z1IIG_2Yq6k,buy,336,2020-04-03,2020-07-02
TSLA,2020-06-05,Chicken Genius Singapore,qSAEtgOMcUc,buy,1065,2020-04-06,2020-07-05
AAPL,2020-06-09,Investing with Tom,PGJw0nprDKY,buy,394,2020-04-10,2020-07-09
TSLA,2020-06-12,Chicken Genius Singapore,M1kBm5mNSW4,sell,1457,2020-04-13,2020-07-12
TSLA,2020-06-15,Chicken Genius Singapore,Zxz4CiEoyeE,buy,1064,2020-04-16,2020-07-15
DIS,2020-06-22,Learn to Invest - Investors Grow,cdtEhfdkbbg,buy,340,2020-04-23,2020-07-22
DIS,2020-06-22,Learn to Invest - Investors Grow,cdtEhfdkbbg,buy,341,2020-04-23,2020-07-22
TSLA,2020-06-22,Chicken Genius Singapore,DgzWuS5_XyI,buy,1063,2020-04-23,2020-07-22
TSLA,2020-07-06,Chicken Genius Singapore,CpYfmgehgis,sell,1431,2020-05-07,2020-08-05
AMZN,2020-07-07,Learn to Invest - Investors Grow,e-U1FCxP2xU,sell,343,2020-05-08,2020-08-06
DIS,2020-07-07,Learn to Invest - Investors Grow,e-U1FCxP2xU,sell,342,2020-05-08,2020-08-06
TSLA,2020-07-10,Chicken Genius Singapore,hJpcuF8JeQM,buy,1508,2020-05-11,2020-08-09
TSLA,2020-07-10,Chicken Genius Singapore,hJpcuF8JeQM,buy,1509,2020-05-11,2020-08-09
TSLA,2020-07-13,Chicken Genius Singapore,iQFuA2Gkxwo,buy,1433,2020-05-14,2020-08-12
AMZN,2020-07-17,Chicken Genius Singapore,2EsN8-iGb9I,sell,1062,2020-05-18,2020-08-16
SQ,2020-11-20,Chicken Genius Singapore,yHaFZjH1po8,sell,1061,2020-09-21,2020-12-20
TSLA,2020-11-27,Chicken Genius Singapore,pweXDkdzqg8,buy,1516,2020-09-28,2020-12-27
SQ,2020-12-07,Chicken Genius Singapore,hdslUPcMz2Y,buy,1450,2020-10-08,2021-01-06
MSFT,2021-03-08,The Swedish Investor,CspT5_OlGik,buy,402,2021-01-07,2021-04-07
TSLA,2021-05-14,Chicken Genius Singapore,1kkYirZWToE,buy,1060,2021-03-15,2021-06-13
TSLA,2021-06-04,Chicken Genius Singapore,QjJxYRv6xkw,buy,1500,2021-04-05,2021-07-04
TSLA,2021-07-19,Chicken Genius Singapore,MqmV9HzTO3M,sell,1440,2021-05-20,2021-08-18
TSLA,2021-07-19,Chicken Genius Singapore,MqmV9HzTO3M,buy,1441,2021-05-20,2021-08-18
TSLA,2021-08-02,Chicken Genius Singapore,5T_EgAUWhhg,buy,1079,2021-06-03,2021-09-01
