event_id,ticker,data_ticker,creator,title,published_at,event_date_weekday_adjusted,matched_event_study_row,missing_market_data_flag,missing_market_data_reason,ticker_alias_applied
429,AMD,AMD,Financial Education,You will never get a chance like this again‼️,2026-05-07T00:46:31Z,2026-05-07,True,False,,False
79,AMD,AMD,Financial Education,"This stock could go to $1,000‼️",2026-04-22T23:46:55Z,2026-04-22,True,False,,False
91,AMZN,AMZN,Kenan Grace,They Bet $950M Right Before The Ceasefire. You Got Rigged.,2026-04-22T01:54:55Z,2026-04-22,True,False,,False
92,AMZN,AMZN,Kenan Grace,They Bet $950M Right Before The Ceasefire. You Got Rigged.,2026-04-22T01:54:55Z,2026-04-22,True,False,,False
76,AMD,AMD,Financial Education,Once in a generation move just started‼️,2026-04-15T23:33:10Z,2026-04-15,True,False,,False
77,AMD,AMD,Financial Education,Once in a generation move just started‼️,2026-04-15T23:33:10Z,2026-04-15,True,False,,False
42,META,META,Kenan Grace,The TACO Trade | Trading Is EASY These Days,2026-04-09T18:42:37Z,2026-04-09,True,False,,False
183,TSLA,TSLA,Graham Stephan,How I Bought A Tesla For $78,2026-04-05T16:00:41Z,2026-04-05,True,False,,False
90,NVDA,NVDA,Kenan Grace,Learn How to Read Stock Charts Fast in 1 Video,2026-03-30T23:26:07Z,2026-03-30,True,False,,False
521,AMZN,AMZN,Best of Us Investors,"This Week I'm Selling META, GOOG, MSFT, and AMZN and Not Buying AVGO",2026-03-17T12:00:37Z,2026-03-17,True,False,,False
522,META,META,Best of Us Investors,"This Week I'm Selling META, GOOG, MSFT, and AMZN and Not Buying AVGO",2026-03-17T12:00:37Z,2026-03-17,True,False,,False
128,SOFI,SOFI,STOCK UP! with LARRY JONES,Live Trade Session - Market Volatility,2026-02-27T22:13:56Z,2026-02-27,True,False,,False
104,NVDA,NVDA,STOCK UP! with LARRY JONES,MARKET Sell-Off while We are Making MONEY💰‼️,2026-02-26T21:26:28Z,2026-02-26,True,False,,False
66,META,META,Everything Money,4 Most Undervalued Stocks With Massive Potential (Top Stocks To Buy Now?),2026-02-16T10:55:00Z,2026-02-16,True,False,,False
67,PYPL,PYPL,Everything Money,4 Most Undervalued Stocks With Massive Potential (Top Stocks To Buy Now?),2026-02-16T10:55:00Z,2026-02-16,True,False,,False
69,PYPL,PYPL,Everything Money,4 Most Undervalued Stocks With Massive Potential (Top Stocks To Buy Now?),2026-02-16T10:55:00Z,2026-02-16,True,False,,False
519,MSFT,MSFT,Best of Us Investors,"AMZN, GOOG, META, MSFT - AI Race - Separating Winners/ Losers",2026-01-26T13:01:46Z,2026-01-26,True,False,,False
176,TSLA,TSLA,Graham Stephan,I Bought The CHEAPEST Tesla Model X In America!,2026-01-12T20:45:00Z,2026-01-12,True,False,,False
95,TSLA,TSLA,Graham Stephan,I Sold Tesla Stock To Buy A Tesla Roadster!,2025-12-21T16:56:20Z,2025-12-21,True,False,,False
96,TSLA,TSLA,Graham Stephan,I Just Bought The CHEAPEST Tesla Model X In The Country!,2025-12-17T21:15:07Z,2025-12-17,True,False,,False
298,AMD,AMD,Financial Education,AMD & CELH shareholders GET READY‼️‼️,2025-12-09T00:46:04Z,2025-12-09,True,False,,False
299,NFLX,NFLX,Financial Education,AMD & CELH shareholders GET READY‼️‼️,2025-12-09T00:46:04Z,2025-12-09,True,False,,False
300,NVDA,NVDA,Financial Education,AMD & CELH shareholders GET READY‼️‼️,2025-12-09T00:46:04Z,2025-12-09,True,False,,False
516,NVDA,NVDA,Ticker Symbol: YOU,IT'S OVER! I Can't Stay Quiet on GOOGLE vs NVIDIA Any Longer,2025-12-04T19:44:13Z,2025-12-04,True,False,,False
404,NVDA,NVDA,Everything Money,"When Nvidia Hits This Price, I’m BUYING HEAVY!",2025-11-11T10:54:01Z,2025-11-11,True,False,,False
127,UBER,UBER,STOCK UP! with LARRY JONES,Market Sell-Off...Where MILLIONAIRES Are Made‼️💰,2025-11-06T20:48:16Z,2025-11-06,True,False,,False
126,COIN,COIN,STOCK UP! with LARRY JONES,CRYPTO Stock...I'm BUYING Here‼️,2025-11-05T20:58:21Z,2025-11-05,True,False,,False
101,AAPL,AAPL,STOCK UP! with LARRY JONES,AFTER THE FED! LIVE!!,2025-10-30T00:29:56Z,2025-10-30,True,False,,False
103,AMZN,AMZN,STOCK UP! with LARRY JONES,AFTER THE FED! LIVE!!,2025-10-30T00:29:56Z,2025-10-30,True,False,,False
100,NVDA,NVDA,STOCK UP! with LARRY JONES,AFTER THE FED! LIVE!!,2025-10-30T00:29:56Z,2025-10-30,True,False,,False
87,AAPL,AAPL,Dumb Money Live,Time to take profits or double down?,2025-10-29T17:53:04Z,2025-10-29,True,False,,False
85,GOOGL,GOOGL,Dumb Money Live,Time to take profits or double down?,2025-10-29T17:53:04Z,2025-10-29,True,False,,False
281,AMZN,AMZN,Financial Education,AMD is about to do the UNTHINKABLE‼️,2025-10-20T23:11:11Z,2025-10-20,True,False,,False
442,GOOGL,GOOGL,Everything Money,3 Highest Potential Stocks Everybody is Missing (Top Stocks to Buy Now?),2025-09-25T09:54:01Z,2025-09-25,True,False,,False
94,TSLA,TSLA,Graham Stephan,"Buying a Tesla Made Me $200,000",2025-09-01T19:00:03Z,2025-09-01,True,False,,False
414,UBER,UBER,Everything Money,"If You Missed Nvidia, This Stock Is Next! (Get in Early)",2025-08-14T09:54:00Z,2025-08-14,True,False,,False
265,AAPL,AAPL,Financial Education,"Sofi, PayPal & FUBO Shareholders DO THIS IMMEDIATELY 😳",2025-07-29T20:28:10Z,2025-07-29,True,False,,False
263,AMD,AMD,Financial Education,"Sofi, PayPal & FUBO Shareholders DO THIS IMMEDIATELY 😳",2025-07-29T20:28:10Z,2025-07-29,True,False,,False
400,AMZN,AMZN,Everything Money,Investment Manager Reacts to TikTok Financial Advice,2025-06-02T09:54:00Z,2025-06-02,True,False,,False
80,TSLA,TSLA,Sasha Yanshin,Elon Musk Is Trying To BUY OpenAI,2025-02-11T18:47:08Z,2025-02-11,True,False,,False
82,TSLA,TSLA,Sasha Yanshin,Elon Musk Is Trying To BUY OpenAI,2025-02-11T18:47:08Z,2025-02-11,True,False,,False
146,AAPL,AAPL,Ale's World of Stocks,Warren Buffett Just Bought These NEW Stocks Instead of Apple! 👀,2024-12-29T13:00:46Z,2024-12-29,True,False,,False
235,AMZN,AMZN,HyperChange,"Palantir, Airbnb, Tesla & Robinhood schemin with Amit 🤓",2024-10-28T21:48:48Z,2024-10-28,True,False,,False
108,TSLA,TSLA,Financial Education,Elon Musk & Tesla Just Shocked The World🤯,2024-10-23T23:48:44Z,2024-10-23,True,False,,False
371,AMZN,AMZN,Tom Nash,Aswath Damodaran Drops PRICELESS INSIGHTS About NVIDIA Stock,2024-08-22T19:13:52Z,2024-08-22,True,False,,False
368,NVDA,NVDA,Tom Nash,Aswath Damodaran Drops PRICELESS INSIGHTS About NVIDIA Stock,2024-08-22T19:13:52Z,2024-08-22,True,False,,False
185,MSFT,MSFT,Ticker Symbol: YOU,The REAL Reason Stocks Like Nvidia Are Crashing (DO THIS NOW),2024-08-06T15:27:52Z,2024-08-06,True,False,,False
188,NVDA,NVDA,Ticker Symbol: YOU,The REAL Reason Stocks Like Nvidia Are Crashing (DO THIS NOW),2024-08-06T15:27:52Z,2024-08-06,True,False,,False
278,AAPL,AAPL,New Money,Warren Buffett Just Sold $75 Billion Worth of Stock,2024-08-06T13:43:50Z,2024-08-06,True,False,,False
152,TSLA,TSLA,Ale's World of Stocks,"Earnings Weekly Recap! - Tesla, Google, Verizon, GM, & More!!",2024-07-27T14:24:01Z,2024-07-27,True,False,,False
157,AMD,AMD,Ticker Symbol: YOU,I'm Buying This 1 Stock to Get Rich (Without Getting Lucky),2024-07-12T16:33:20Z,2024-07-12,True,False,,False
154,NVDA,NVDA,Ticker Symbol: YOU,I'm Buying This 1 Stock to Get Rich (Without Getting Lucky),2024-07-12T16:33:20Z,2024-07-12,True,False,,False
156,NVDA,NVDA,Ticker Symbol: YOU,I'm Buying This 1 Stock to Get Rich (Without Getting Lucky),2024-07-12T16:33:20Z,2024-07-12,True,False,,False
375,NVDA,NVDA,Tom Nash,Aswath Damodaran Drops PRICELESS INSIGHTS About NVIDIA Stock,2024-06-07T17:50:02Z,2024-06-07,True,False,,False
376,NVDA,NVDA,Tom Nash,Aswath Damodaran Drops PRICELESS INSIGHTS About NVIDIA Stock,2024-06-07T17:50:02Z,2024-06-07,True,False,,False
377,NVDA,NVDA,Tom Nash,Aswath Damodaran Drops PRICELESS INSIGHTS About NVIDIA Stock,2024-06-07T17:50:02Z,2024-06-07,True,False,,False
267,AAPL,AAPL,New Money,Warren Buffett is Selling His Largest Stock.,2024-05-06T15:16:23Z,2024-05-06,True,False,,False
269,AAPL,AAPL,New Money,Warren Buffett is Selling His Largest Stock.,2024-05-06T15:16:23Z,2024-05-06,True,False,,False
227,TSLA,TSLA,HyperChange,Tesla FSD V12 is a “ChatGPT Moment”,2024-04-25T00:17:39Z,2024-04-25,True,False,,False
220,TSLA,TSLA,HyperChange,Tesla Q1 2024 Earnings CRUSH! Cybercab coming soon 👀🤖🚖,2024-04-23T23:25:45Z,2024-04-23,True,False,,False
221,TSLA,TSLA,HyperChange,Tesla Q1 2024 Earnings CRUSH! Cybercab coming soon 👀🤖🚖,2024-04-23T23:25:45Z,2024-04-23,True,False,,False
225,TSLA,TSLA,HyperChange,Tesla Q1 2024 Earnings CRUSH! Cybercab coming soon 👀🤖🚖,2024-04-23T23:25:45Z,2024-04-23,True,False,,False
313,TSLA,TSLA,New Money,The Stock Market is 'Priced to Insanity'.,2024-03-17T12:29:26Z,2024-03-17,True,False,,False
314,TSLA,TSLA,New Money,The Stock Market is 'Priced to Insanity'.,2024-03-17T12:29:26Z,2024-03-17,True,False,,False
182,NVDA,NVDA,Ticker Symbol: YOU,HUGE GROWTH: Why I'm Buying the Stock CRUSHING Nvidia,2024-02-22T16:07:00Z,2024-02-22,True,False,,False
252,AAPL,AAPL,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
253,AAPL,AAPL,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
254,AAPL,AAPL,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
255,AAPL,AAPL,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
256,AAPL,AAPL,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
257,MSFT,MSFT,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
258,NVDA,NVDA,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
241,TSLA,TSLA,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
244,TSLA,TSLA,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
251,TSLA,TSLA,HyperChange,$5.6K | Investing in Rivian + Apple Options Drama ❄️,2024-02-13T03:22:40Z,2024-02-13,True,False,,False
160,AMD,AMD,Ticker Symbol: YOU,I'm Buying AMD Over Nvidia Stock in 2024 (Here's Why),2024-01-22T18:47:19Z,2024-01-22,True,False,,False
163,NVDA,NVDA,Ticker Symbol: YOU,I'm Buying AMD Over Nvidia Stock in 2024 (Here's Why),2024-01-22T18:47:19Z,2024-01-22,True,False,,False
511,AAPL,AAPL,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
509,MSFT,MSFT,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
497,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
498,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
499,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
500,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
502,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
503,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
504,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
505,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
506,TSLA,TSLA,HyperChange,$2.7K | Getting Greedy with Tesla & Coinbase ❄️,2024-01-17T23:58:20Z,2024-01-17,True,False,,False
59,AMD,AMD,Sasha Yanshin,How I Made A 62% Return In 2023... And My Plan For 2024,2023-12-18T18:37:36Z,2023-12-18,True,False,,False
60,TSLA,TSLA,Sasha Yanshin,How I Made A 62% Return In 2023... And My Plan For 2024,2023-12-18T18:37:36Z,2023-12-18,True,False,,False
324,MSFT,MSFT,Joseph Carlson,Microsoft Is Now Unstoppable,2023-11-08T18:01:12Z,2023-11-08,True,False,,False
495,TSLA,TSLA,Ticker Symbol: YOU,"E1: Tesla Earnings Disaster, Google Stock Crash & Best AI Stocks",2023-10-28T15:51:05Z,2023-10-28,True,False,,False
315,AAPL,AAPL,Joseph Carlson,Apple iPhone 15 Event: A Huge Disappointment,2023-09-13T21:09:53Z,2023-09-13,True,False,,False
316,AAPL,AAPL,Joseph Carlson,Apple iPhone 15 Event: A Huge Disappointment,2023-09-13T21:09:53Z,2023-09-13,True,False,,False
318,AAPL,AAPL,Joseph Carlson,Apple iPhone 15 Event: A Huge Disappointment,2023-09-13T21:09:53Z,2023-09-13,True,False,,False
319,AAPL,AAPL,Joseph Carlson,Apple iPhone 15 Event: A Huge Disappointment,2023-09-13T21:09:53Z,2023-09-13,True,False,,False
321,AAPL,AAPL,Joseph Carlson,Apple iPhone 15 Event: A Huge Disappointment,2023-09-13T21:09:53Z,2023-09-13,True,False,,False
348,DIS,DIS,Joseph Carlson,The Most Overvalued Stock In The Market | Joseph Carlson Ep. 342,2023-08-25T18:14:50Z,2023-08-25,True,False,,False
347,NVDA,NVDA,Joseph Carlson,The Most Overvalued Stock In The Market | Joseph Carlson Ep. 342,2023-08-25T18:14:50Z,2023-08-25,True,False,,False
232,AMC,AMC,ZipTrader,AMC: I'VE HAD ENOUGH!,2023-08-24T23:20:47Z,2023-08-24,True,False,,False
233,AMC,AMC,ZipTrader,AMC: I'VE HAD ENOUGH!,2023-08-24T23:20:47Z,2023-08-24,True,False,,False
461,AMZN,AMZN,Sasha Yanshin,Is 2023 Worse Than The Dot Com Bubble?,2023-06-19T17:57:54Z,2023-06-19,True,False,,False
474,AMD,AMD,Sasha Yanshin,Why I Just Sold My Stocks,2023-05-22T16:04:36Z,2023-05-22,True,False,,False
475,AMD,AMD,Sasha Yanshin,Why I Just Sold My Stocks,2023-05-22T16:04:36Z,2023-05-22,True,False,,False
476,TSLA,TSLA,Sasha Yanshin,Why I Just Sold My Stocks,2023-05-22T16:04:36Z,2023-05-22,True,False,,False
37,TSLA,TSLA,Chicken Genius Singapore,market crash soon,2023-04-28T13:00:20Z,2023-04-28,True,False,,False
457,AAPL,AAPL,Joseph Carlson,"Microsoft, Google, Meta Earnings - Full Breakdown",2023-04-26T21:02:22Z,2023-04-26,True,False,,False
453,MSFT,MSFT,Joseph Carlson,"Microsoft, Google, Meta Earnings - Full Breakdown",2023-04-26T21:02:22Z,2023-04-26,True,False,,False
455,MSFT,MSFT,Joseph Carlson,"Microsoft, Google, Meta Earnings - Full Breakdown",2023-04-26T21:02:22Z,2023-04-26,True,False,,False
471,AMD,AMD,Sasha Yanshin,ChatGPT Just Gave Me Financial Advice,2023-02-13T20:08:04Z,2023-02-13,True,False,,False
28,AAPL,AAPL,New Money,How to Calculate the Intrinsic Value of a Stock (Full Example),2023-02-10T15:42:05Z,2023-02-10,True,False,,False
195,TSLA,TSLA,HyperChange,Getting Ready To Buy More Tesla Stock,2022-12-15T19:04:03Z,2022-12-15,True,False,,False
197,TSLA,TSLA,HyperChange,Getting Ready To Buy More Tesla Stock,2022-12-15T19:04:03Z,2022-12-15,True,False,,False
198,TSLA,TSLA,HyperChange,Getting Ready To Buy More Tesla Stock,2022-12-15T19:04:03Z,2022-12-15,True,False,,False
199,TSLA,TSLA,HyperChange,Getting Ready To Buy More Tesla Stock,2022-12-15T19:04:03Z,2022-12-15,True,False,,False
200,TSLA,TSLA,HyperChange,Getting Ready To Buy More Tesla Stock,2022-12-15T19:04:03Z,2022-12-15,True,False,,False
7,AMZN,AMZN,The Plain Bagel,Investment Analyst Reacts to Investing TikToks (Part 4),2022-12-02T17:00:13Z,2022-12-02,True,False,,False
46,DIS,DIS,The Plain Bagel,Live Birthday Q&A Stream # 2,2022-11-18T02:56:56Z,2022-11-18,True,False,,False
487,NVDA,NVDA,Ticker Symbol: YOU,AMD's New GPUs Are BIG Trouble for Nvidia Stock (NVDA),2022-11-14T17:12:42Z,2022-11-14,True,False,,False
485,MSFT,MSFT,Joseph Carlson,Why Investors Are Panic Selling Disney (-13% Today),2022-11-09T21:02:17Z,2022-11-09,True,False,,False
12,MSFT,MSFT,Joseph Carlson,Responding To Critics: How I Value My Companies | Joseph Carlson Ep. 276,2022-10-03T23:05:48Z,2022-10-03,True,False,,False
13,MSFT,MSFT,Joseph Carlson,Responding To Critics: How I Value My Companies | Joseph Carlson Ep. 276,2022-10-03T23:05:48Z,2022-10-03,True,False,,False
424,DIS,DIS,Joseph Carlson,This Is When I'll Buy These Companies | Joseph Carlson Ep. 275,2022-09-30T20:43:25Z,2022-09-30,True,False,,False
425,DIS,DIS,Joseph Carlson,This Is When I'll Buy These Companies | Joseph Carlson Ep. 275,2022-09-30T20:43:25Z,2022-09-30,True,False,,False
437,AMD,AMD,Sasha Yanshin,I LOST SO MUCH MONEY! (Man Vs The Market Portfolio Update),2022-09-20T13:21:54Z,2022-09-20,True,False,,False
438,AMD,AMD,Sasha Yanshin,I LOST SO MUCH MONEY! (Man Vs The Market Portfolio Update),2022-09-20T13:21:54Z,2022-09-20,True,False,,False
433,TSLA,TSLA,Sasha Yanshin,I LOST SO MUCH MONEY! (Man Vs The Market Portfolio Update),2022-09-20T13:21:54Z,2022-09-20,True,False,,False
434,TSLA,TSLA,Sasha Yanshin,I LOST SO MUCH MONEY! (Man Vs The Market Portfolio Update),2022-09-20T13:21:54Z,2022-09-20,True,False,,False
466,TSLA,TSLA,Chicken Genius Singapore,"When I say SELL, YOU SELL",2021-12-31T14:00:11Z,2021-12-31,True,False,,False
460,TSLA,TSLA,Chicken Genius Singapore,Tesla Stock Catalyst 2022 + Price Target,2021-12-10T14:00:09Z,2021-12-10,True,False,,False
470,TSLA,TSLA,Chicken Genius Singapore,Manipulation of Tesla Stock and Bitcoin - Wyckoff Distribution Method,2021-06-04T13:00:24Z,2021-06-04,True,False,,False
420,SQ,SQ,Chicken Genius Singapore,Stocks to buy Now using this NEW Criteria,2020-12-07T14:00:11Z,2020-12-07,False,True,no ticker data,False
