event_id,ticker,data_ticker,ticker_alias_applied,event_date_weekday_adjusted,matched_market_date,recommendation_type,direction,confidence,adjusted_close,benchmark_ticker,benchmark_adjusted_close,return_1d,benchmark_return_1d,abnormal_return_1d,return_5d,benchmark_return_5d,abnormal_return_5d,data_source
429,AMD,AMD,False,2026-05-07,2026-05-07,price_target,positive,0.840,408.4599914550781,SPY,731.5800170898438,0.114405,0.008256,0.106149,,,,yfinance_yahoo_prototype
79,AMD,AMD,False,2026-04-22,2026-04-22,price_target,positive,0.840,303.4599914550781,SPY,711.2100219726562,0.006162,-0.003881,0.010043,0.110888,0.000520,0.110368,yfinance_yahoo_prototype
91,AMZN,AMZN,False,2026-04-22,2026-04-22,buy,positive,0.930,255.36000061035156,SPY,711.2100219726562,-0.001096,-0.003881,0.002785,0.030075,0.000520,0.029555,yfinance_yahoo_prototype
92,AMZN,AMZN,False,2026-04-22,2026-04-22,buy,positive,0.930,255.36000061035156,SPY,711.2100219726562,-0.001096,-0.003881,0.002785,0.030075,0.000520,0.029555,yfinance_yahoo_prototype
76,AMD,AMD,False,2026-04-15,2026-04-15,price_target,positive,0.840,258.1199951171875,SPY,699.9400024414062,0.078026,0.002457,0.075569,0.175655,0.016101,0.159554,yfinance_yahoo_prototype
77,AMD,AMD,False,2026-04-15,2026-04-15,price_target,positive,0.840,258.1199951171875,SPY,699.9400024414062,0.078026,0.002457,0.075569,0.175655,0.016101,0.159554,yfinance_yahoo_prototype
42,META,META,False,2026-04-09,2026-04-09,buy,positive,0.930,628.3900146484375,SPY,679.9099731445312,0.002339,-0.000662,0.003001,0.077150,0.031990,0.045160,yfinance_yahoo_prototype
183,TSLA,TSLA,False,2026-04-06,2026-04-06,buy,positive,0.910,352.82000732421875,SPY,658.9299926757812,-0.017488,0.000440,-0.017928,-0.001134,0.041233,-0.042367,yfinance_yahoo_prototype
90,NVDA,NVDA,False,2026-03-30,2026-03-30,buy,positive,0.910,165.1699981689453,SPY,631.969970703125,0.055882,0.029068,0.026814,0.078283,0.043119,0.035164,yfinance_yahoo_prototype
521,AMZN,AMZN,False,2026-03-17,2026-03-17,sell,negative,0.800,215.1999969482422,SPY,668.9630126953125,-0.024768,-0.013954,-0.010814,-0.036989,-0.023593,-0.013396,yfinance_yahoo_prototype
522,META,META,False,2026-03-17,2026-03-17,sell,negative,0.800,622.6599731445312,SPY,668.9630126953125,-0.011210,-0.013954,0.002744,-0.047763,-0.023593,-0.024170,yfinance_yahoo_prototype
128,SOFI,SOFI,False,2026-02-27,2026-02-27,buy,positive,0.810,17.760000228881836,SPY,684.1216430664062,0.035473,0.000569,0.034904,0.064189,-0.019840,0.084029,yfinance_yahoo_prototype
104,NVDA,NVDA,False,2026-02-26,2026-02-26,sell,negative,0.920,184.87998962402344,SPY,687.422607421875,-0.041646,-0.004802,-0.036844,-0.008383,-0.011591,0.003208,yfinance_yahoo_prototype
66,META,META,False,2026-02-16,2026-02-17,buy,positive,0.810,638.7431030273438,SPY,680.9901733398438,0.006147,0.005038,0.001109,0.000016,0.006590,-0.006574,yfinance_yahoo_prototype
67,PYPL,PYPL,False,2026-02-16,2026-02-17,buy,positive,0.820,40.68681335449219,SPY,680.9901733398438,0.015682,0.005038,0.010644,0.152169,0.006590,0.145579,yfinance_yahoo_prototype
69,PYPL,PYPL,False,2026-02-16,2026-02-17,buy,positive,0.910,40.68681335449219,SPY,680.9901733398438,0.015682,0.005038,0.010644,0.152169,0.006590,0.145579,yfinance_yahoo_prototype
519,MSFT,MSFT,False,2026-01-26,2026-01-26,buy,positive,0.820,469.20904541015625,SPY,690.84326171875,0.021902,0.003984,0.017918,-0.099749,0.003869,-0.103618,yfinance_yahoo_prototype
176,TSLA,TSLA,False,2026-01-12,2026-01-12,buy,positive,0.910,448.9599914550781,SPY,693.2666625976562,-0.003920,-0.001999,-0.001921,-0.066175,-0.025289,-0.040886,yfinance_yahoo_prototype
95,TSLA,TSLA,False,2025-12-22,2025-12-22,buy,positive,0.910,488.7300109863281,SPY,682.96484375,-0.006486,0.004570,-0.011056,-0.070182,0.003183,-0.073365,yfinance_yahoo_prototype
96,TSLA,TSLA,False,2025-12-17,2025-12-17,avoid,negative,0.860,467.260009765625,SPY,667.5986938476562,0.034478,0.007551,0.026927,0.038822,0.031308,0.007514,yfinance_yahoo_prototype
298,AMD,AMD,False,2025-12-09,2025-12-09,portfolio_update,positive,0.880,221.6199951171875,SPY,679.1727294921875,-0.000902,0.006632,-0.007534,-0.056177,-0.006105,-0.050072,yfinance_yahoo_prototype
299,NFLX,NFLX,False,2025-12-09,2025-12-09,buy,positive,0.930,96.70999908447266,SPY,679.1727294921875,-0.041361,0.006632,-0.047993,-0.022128,-0.006105,-0.016023,yfinance_yahoo_prototype
300,NVDA,NVDA,False,2025-12-09,2025-12-09,buy,positive,0.910,184.95999145507812,SPY,679.1727294921875,-0.006434,0.006632,-0.013066,-0.039196,-0.006105,-0.033091,yfinance_yahoo_prototype
516,NVDA,NVDA,False,2025-12-04,2025-12-04,buy,positive,0.930,183.37008666992188,SPY,680.51513671875,-0.005290,0.001900,-0.007190,-0.013360,0.006984,-0.020344,yfinance_yahoo_prototype
404,NVDA,NVDA,False,2025-11-11,2025-11-11,buy,positive,0.910,193.1387939453125,SPY,679.1329956054688,0.003313,0.000556,0.002757,-0.061089,-0.033558,-0.027531,yfinance_yahoo_prototype
127,UBER,UBER,False,2025-11-06,2025-11-06,buy,positive,0.930,92.12000274658203,SPY,666.514892578125,-0.001411,0.000985,-0.002396,-0.003691,0.002581,-0.006272,yfinance_yahoo_prototype
126,COIN,COIN,False,2025-11-05,2025-11-05,buy,positive,0.910,319.29998779296875,SPY,673.7437133789062,-0.075415,-0.010729,-0.064686,-0.047917,0.008560,-0.056477,yfinance_yahoo_prototype
101,AAPL,AAPL,False,2025-10-30,2025-10-30,sell,negative,0.920,270.8836669921875,SPY,675.98095703125,-0.003795,0.003280,-0.007075,-0.006006,-0.014003,0.007997,yfinance_yahoo_prototype
103,AMZN,AMZN,False,2025-10-30,2025-10-30,sell,negative,0.920,222.86000061035156,SPY,675.98095703125,0.095845,0.003280,0.092565,0.090550,-0.014003,0.104553,yfinance_yahoo_prototype
100,NVDA,NVDA,False,2025-10-30,2025-10-30,portfolio_update,positive,0.880,202.8677215576172,SPY,675.98095703125,-0.001971,0.003280,-0.005251,-0.072995,-0.014003,-0.058992,yfinance_yahoo_prototype
87,AAPL,AAPL,False,2025-10-29,2025-10-29,portfolio_update,positive,0.880,269.1869201660156,SPY,683.4981689453125,0.006303,-0.010998,0.017301,0.001632,-0.014271,0.015903,yfinance_yahoo_prototype
85,GOOGL,GOOGL,False,2025-10-29,2025-10-29,buy,positive,0.750,274.197509765625,SPY,683.4981689453125,0.025167,-0.010998,0.036165,0.035474,-0.014271,0.049745,yfinance_yahoo_prototype
281,AMZN,AMZN,False,2025-10-20,2025-10-20,sell,negative,0.920,216.47999572753906,SPY,667.499267578125,0.025637,-0.000015,0.025652,0.048457,0.020766,0.027691,yfinance_yahoo_prototype
442,GOOGL,GOOGL,False,2025-09-25,2025-09-25,buy,positive,0.750,245.45654296875,SPY,654.3242797851562,0.003051,0.005729,-0.002678,-0.000407,0.016974,-0.017381,yfinance_yahoo_prototype
94,TSLA,TSLA,False,2025-09-01,2025-09-02,buy,positive,0.910,329.3599853515625,SPY,634.884765625,0.014361,0.005420,0.008941,0.053467,0.015712,0.037755,yfinance_yahoo_prototype
414,UBER,UBER,False,2025-08-14,2025-08-14,buy,positive,0.910,91.4000015258789,SPY,639.5254516601562,0.013129,-0.002341,0.015470,0.030963,-0.014575,0.045538,yfinance_yahoo_prototype
265,AAPL,AAPL,False,2025-07-29,2025-07-29,buy,positive,0.910,210.62904357910156,SPY,629.9169311523438,-0.010508,-0.001259,-0.009249,-0.039523,-0.011476,-0.028047,yfinance_yahoo_prototype
263,AMD,AMD,False,2025-07-29,2025-07-29,buy,positive,0.910,177.44000244140625,SPY,629.9169311523438,0.011666,-0.001259,0.012925,-0.017640,-0.011476,-0.006164,yfinance_yahoo_prototype
400,AMZN,AMZN,False,2025-06-02,2025-06-02,buy,positive,0.820,206.64999389648438,SPY,585.992431640625,-0.004549,0.005703,-0.010252,0.049988,0.011760,0.038228,yfinance_yahoo_prototype
80,TSLA,TSLA,False,2025-02-11,2025-02-11,buy,positive,0.810,328.5,SPY,596.6547241210938,0.024384,-0.003221,0.027605,0.097595,0.012589,0.085006,yfinance_yahoo_prototype
82,TSLA,TSLA,False,2025-02-11,2025-02-11,avoid,negative,0.820,328.5,SPY,596.6547241210938,0.024384,-0.003221,0.027605,0.097595,0.012589,0.085006,yfinance_yahoo_prototype
146,AAPL,AAPL,False,2024-12-30,2024-12-30,portfolio_update,positive,0.880,250.82977294921875,SPY,579.80908203125,-0.007058,-0.003638,-0.003420,-0.039611,0.000697,-0.040308,yfinance_yahoo_prototype
235,AMZN,AMZN,False,2024-10-28,2024-10-28,buy,positive,0.810,188.38999938964844,SPY,570.6043701171875,0.012952,0.001618,0.011334,0.039227,-0.018973,0.058200,yfinance_yahoo_prototype
108,TSLA,TSLA,False,2024-10-23,2024-10-23,sell,negative,0.800,213.64999389648438,SPY,567.8142700195312,0.219190,0.002163,0.217027,0.205476,0.003495,0.201981,yfinance_yahoo_prototype
371,AMZN,AMZN,False,2024-08-22,2024-08-22,avoid,negative,0.860,176.1300048828125,SPY,544.7566528320312,0.005167,0.010625,-0.005458,-0.022767,0.003829,-0.026596,yfinance_yahoo_prototype
368,NVDA,NVDA,False,2024-08-22,2024-08-22,avoid,negative,0.860,123.68036651611328,SPY,544.7566528320312,0.045499,0.010625,0.034874,-0.049701,0.003829,-0.053530,yfinance_yahoo_prototype
185,MSFT,MSFT,False,2024-08-06,2024-08-06,sell,negative,0.800,394.27911376953125,SPY,511.3890075683594,-0.002953,-0.006684,0.003731,0.036035,0.038092,-0.002057,yfinance_yahoo_prototype
188,NVDA,NVDA,False,2024-08-06,2024-08-06,sell,negative,0.800,104.19976806640625,SPY,511.3890075683594,-0.051223,-0.006684,-0.044539,0.114053,0.038092,0.075961,yfinance_yahoo_prototype
278,AAPL,AAPL,False,2024-08-06,2024-08-06,portfolio_update,positive,0.880,205.6395721435547,SPY,511.3890075683594,0.012498,-0.006684,0.019182,0.068987,0.038092,0.030895,yfinance_yahoo_prototype
152,TSLA,TSLA,False,2024-07-29,2024-07-29,buy,positive,0.910,232.10000610351562,SPY,533.532958984375,-0.040845,-0.005066,-0.035779,-0.143128,-0.050261,-0.092867,yfinance_yahoo_prototype
157,AMD,AMD,False,2024-07-12,2024-07-12,price_target,positive,0.840,181.61000061035156,SPY,548.448974609375,-0.009801,0.002750,-0.012551,-0.165354,-0.019643,-0.145711,yfinance_yahoo_prototype
154,NVDA,NVDA,False,2024-07-12,2024-07-12,price_target,positive,0.840,129.177734375,SPY,548.448974609375,-0.006190,0.002750,-0.008940,-0.087512,-0.019643,-0.067869,yfinance_yahoo_prototype
156,NVDA,NVDA,False,2024-07-12,2024-07-12,buy,positive,0.910,129.177734375,SPY,548.448974609375,-0.006190,0.002750,-0.008940,-0.087512,-0.019643,-0.067869,yfinance_yahoo_prototype
375,NVDA,NVDA,False,2024-06-07,2024-06-07,buy,positive,0.930,120.81982421875,SPY,521.3226318359375,0.007461,0.003090,0.004371,0.091017,0.016423,0.074594,yfinance_yahoo_prototype
376,NVDA,NVDA,False,2024-06-07,2024-06-07,avoid,negative,0.820,120.81982421875,SPY,521.3226318359375,0.007461,0.003090,0.004371,0.091017,0.016423,0.074594,yfinance_yahoo_prototype
377,NVDA,NVDA,False,2024-06-07,2024-06-07,avoid,negative,0.860,120.81982421875,SPY,521.3226318359375,0.007461,0.003090,0.004371,0.091017,0.016423,0.074594,yfinance_yahoo_prototype
267,AAPL,AAPL,False,2024-05-06,2024-05-06,portfolio_update,positive,0.880,180.0712127685547,SPY,504.2969055175781,0.003797,0.001103,0.002694,0.026540,0.008401,0.018139,yfinance_yahoo_prototype
