dimension,excluded,horizon,n_remaining,mean,median,t_stat,p_value
creator,Jose Najarro Stocks,AR_0_5,1250,0.002615,-0.001008,1.303,0.192633
creator,"Mark Roussin, CPA",AR_0_5,1309,0.002822,-0.000519,1.421,0.155458
creator,The Investor Channel,AR_0_5,1412,0.002636,0.000146,1.440,0.149907
creator,Couch Investor,AR_0_5,1426,0.004090,0.000625,2.246,0.024719
creator,HyperChange,AR_0_5,1460,0.003859,0.000146,2.256,0.024061
ticker,NVDA,AR_0_5,1257,0.002317,-0.001376,1.168,0.242954
ticker,TSLA,AR_0_5,1292,0.002730,0.000657,1.631,0.102867
ticker,AAPL,AR_0_5,1379,0.003252,-0.001008,1.684,0.092193
ticker,AMD,AR_0_5,1389,0.001369,-0.001277,0.768,0.442751
ticker,AMZN,AR_0_5,1392,0.003224,-0.001094,1.696,0.089964
