event_id,ticker,sec_ticker_used,sec_cik,event_date,effective_trading_event_date,mapping_status,submission_query_status,sec_filing_within_5_calendar_days,sec_filing_within_5_trading_days,sec_8k_near_event_flag,sec_10q_near_event_flag,sec_10k_near_event_flag,sec_registration_near_event_flag,sec_confounded_event_flag,forms_within_5_calendar_days,forms_within_5_trading_days,source
1,SOFI,SOFI,0001818874,2025-09-12,2025-09-12,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
2,NVDA,NVDA,0001045810,2025-09-12,2025-09-12,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
3,SOFI,SOFI,0001818874,2026-05-01,2026-05-01,ok,ok,True,True,True,False,False,False,True,8-K:2026-04-29,10-Q:2026-05-07;8-K:2026-04-29,sec_edgar_submissions_api
4,SOFI,SOFI,0001818874,2026-05-01,2026-05-01,ok,ok,True,True,True,False,False,False,True,8-K:2026-04-29,10-Q:2026-05-07;8-K:2026-04-29,sec_edgar_submissions_api
5,NVDA,NVDA,0001045810,2026-01-13,2026-01-13,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
6,NVDA,NVDA,0001045810,2026-01-13,2026-01-13,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
7,NVDA,NVDA,0001045810,2025-08-28,2025-08-28,ok,ok,True,True,True,True,False,False,True,10-Q:2025-08-27;8-K:2025-08-27,10-Q:2025-08-27;8-K:2025-08-27,sec_edgar_submissions_api
8,AMD,AMD,0000002488,2026-01-20,2026-01-20,ok,ok,True,True,True,False,False,False,True,8-K:2026-01-20,8-K:2026-01-20,sec_edgar_submissions_api
9,MSFT,MSFT,0000789019,2026-01-14,2026-01-14,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
10,NFLX,NFLX,0001065280,2026-01-14,2026-01-14,ok,ok,False,True,False,False,False,False,True,,8-K:2026-01-20;8-K:2026-01-20,sec_edgar_submissions_api
11,NVDA,NVDA,0001045810,2026-01-14,2026-01-14,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
12,MSFT,MSFT,0000789019,2025-07-30,2025-07-30,ok,ok,True,True,True,False,True,False,True,10-K:2025-07-30;8-K:2025-07-30,10-K:2025-07-30;8-K:2025-07-30,sec_edgar_submissions_api
13,GOOGL,GOOGL,0001652044,2025-07-30,2025-07-30,ok,ok,False,True,False,False,False,False,True,,10-Q:2025-07-24;8-K:2025-07-23,sec_edgar_submissions_api
14,AMD,AMD,0000002488,2025-09-21,2025-09-22,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
15,NVDA,NVDA,0001045810,2025-09-21,2025-09-22,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
16,META,META,0001326801,2026-05-01,2026-05-01,ok,ok,True,True,True,True,False,True,True,10-Q:2026-04-30;424B2:2026-04-30;424B2:2026-05-01;8-K:2026-04-29;8-K:2026-05-04,10-Q:2026-04-30;424B2:2026-04-30;424B2:2026-05-01;8-K:2026-04-29;8-K:2026-05-04,sec_edgar_submissions_api
17,NVDA,NVDA,0001045810,2025-05-29,2025-05-29,ok,ok,True,True,True,True,False,False,True,10-Q:2025-05-28;8-K:2025-05-28,10-Q:2025-05-28;8-K:2025-05-28,sec_edgar_submissions_api
18,AAPL,AAPL,0000320193,2025-06-05,2025-06-05,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
19,DIS,DIS,0001744489,2025-06-05,2025-06-05,ok,ok,True,True,True,False,False,False,True,8-K:2025-06-09,8-K:2025-06-09,sec_edgar_submissions_api
20,PYPL,PYPL,0001633917,2025-06-05,2025-06-05,ok,ok,True,True,True,False,False,False,True,8-K:2025-06-09,8-K:2025-06-09,sec_edgar_submissions_api
21,AMD,AMD,0000002488,2025-08-11,2025-08-11,ok,ok,True,True,False,True,False,False,True,10-Q:2025-08-06,10-Q:2025-08-06;8-K:2025-08-05,sec_edgar_submissions_api
22,NVDA,NVDA,0001045810,2025-10-03,2025-10-03,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
23,TSLA,TSLA,0001318605,2025-04-22,2025-04-22,ok,ok,True,True,True,True,False,False,True,10-Q:2025-04-23;8-K:2025-04-22,10-Q:2025-04-23;8-K:2025-04-22,sec_edgar_submissions_api
24,TSLA,TSLA,0001318605,2025-04-22,2025-04-22,ok,ok,True,True,True,True,False,False,True,10-Q:2025-04-23;8-K:2025-04-22,10-Q:2025-04-23;8-K:2025-04-22,sec_edgar_submissions_api
25,TSLA,TSLA,0001318605,2025-04-22,2025-04-22,ok,ok,True,True,True,True,False,False,True,10-Q:2025-04-23;8-K:2025-04-22,10-Q:2025-04-23;8-K:2025-04-22,sec_edgar_submissions_api
26,TSLA,TSLA,0001318605,2025-04-22,2025-04-22,ok,ok,True,True,True,True,False,False,True,10-Q:2025-04-23;8-K:2025-04-22,10-Q:2025-04-23;8-K:2025-04-22,sec_edgar_submissions_api
27,TSLA,TSLA,0001318605,2025-04-22,2025-04-22,ok,ok,True,True,True,True,False,False,True,10-Q:2025-04-23;8-K:2025-04-22,10-Q:2025-04-23;8-K:2025-04-22,sec_edgar_submissions_api
28,AMZN,AMZN,0001018724,2025-04-22,2025-04-22,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
29,NVDA,NVDA,0001045810,2025-08-17,2025-08-18,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
30,NVDA,NVDA,0001045810,2025-12-28,2025-12-29,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
31,AMD,AMD,0000002488,2026-01-07,2026-01-07,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
32,NVDA,NVDA,0001045810,2025-07-25,2025-07-25,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
33,NVDA,NVDA,0001045810,2025-11-22,2025-11-24,ok,ok,True,True,True,True,False,False,True,10-Q:2025-11-19;8-K:2025-11-19,10-Q:2025-11-19;8-K:2025-11-19,sec_edgar_submissions_api
34,NVDA,NVDA,0001045810,2025-11-22,2025-11-24,ok,ok,True,True,True,True,False,False,True,10-Q:2025-11-19;8-K:2025-11-19,10-Q:2025-11-19;8-K:2025-11-19,sec_edgar_submissions_api
35,MSFT,MSFT,0000789019,2025-11-22,2025-11-24,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
36,PYPL,PYPL,0001633917,2025-09-17,2025-09-17,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
37,META,META,0001326801,2025-09-17,2025-09-17,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
38,GOOGL,GOOGL,0001652044,2025-06-22,2025-06-23,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
39,NVDA,NVDA,0001045810,2025-07-16,2025-07-16,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
40,NVDA,NVDA,0001045810,2025-06-12,2025-06-12,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
41,AMD,AMD,0000002488,2025-08-10,2025-08-11,ok,ok,True,True,True,True,False,False,True,10-Q:2025-08-06;8-K:2025-08-05,10-Q:2025-08-06;8-K:2025-08-05,sec_edgar_submissions_api
42,NVDA,NVDA,0001045810,2025-08-10,2025-08-11,ok,ok,True,True,True,False,False,False,True,8-K:2025-08-05,8-K:2025-08-05,sec_edgar_submissions_api
43,NVDA,NVDA,0001045810,2026-01-16,2026-01-16,ok,ok,False,True,False,False,False,False,True,,8-K:2026-01-23,sec_edgar_submissions_api
44,AMD,AMD,0000002488,2026-01-16,2026-01-16,ok,ok,True,True,True,False,False,False,True,8-K:2026-01-20,8-K:2026-01-20,sec_edgar_submissions_api
45,AMD,AMD,0000002488,2025-06-23,2025-06-23,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
46,GOOGL,GOOGL,0001652044,2025-05-20,2025-05-20,ok,ok,False,False,False,False,False,False,False,,,sec_edgar_submissions_api
47,NVDA,NVDA,0001045810,2025-05-20,2025-05-20,ok,ok,False,True,False,False,False,False,True,,10-Q:2025-05-28;8-K:2025-05-28,sec_edgar_submissions_api
48,NVDA,NVDA,0001045810,2025-05-20,2025-05-20,ok,ok,False,True,False,False,False,False,True,,10-Q:2025-05-28;8-K:2025-05-28,sec_edgar_submissions_api
49,NVDA,NVDA,0001045810,2025-05-20,2025-05-20,ok,ok,False,True,False,False,False,False,True,,10-Q:2025-05-28;8-K:2025-05-28,sec_edgar_submissions_api
