ticker,yfinance_ticker_used,earnings_status,recommendations_status,upgrades_downgrades_status,news_status,earnings_rows,recommendation_rows,upgrades_downgrades_rows,news_items
AAPL,AAPL,ok,ok,ok,ok,9,4,967,10
AMC,AMC,ok,ok,ok,ok,9,4,37,10
AMD,AMD,ok,ok,ok,ok,8,4,709,10
AMZN,AMZN,ok,ok,ok,ok,7,4,989,10
COIN,COIN,ok,ok,ok,ok,7,4,400,10
CRM,CRM,ok,ok,ok,ok,9,4,901,10
DIS,DIS,ok,ok,ok,ok,9,4,517,10
GME,GME,ok,ok,ok,ok,9,1,106,10
GOOGL,GOOGL,ok,ok,ok,ok,9,4,993,10
HOOD,HOOD,ok,ok,ok,ok,7,4,303,10
META,META,ok,ok,ok,ok,9,4,413,10
MSFT,MSFT,ok,ok,ok,ok,9,4,894,10
NFLX,NFLX,ok,ok,ok,ok,7,4,953,10
NVDA,NVDA,ok,ok,ok,ok,9,4,984,10
PLTR,PLTR,ok,ok,ok,ok,7,4,210,10
PYPL,PYPL,ok,ok,ok,ok,9,4,625,10
SHOP,SHOP,ok,ok,ok,ok,7,4,536,10
SMCI,SMCI,ok,ok,ok,ok,7,4,95,10
SOFI,SOFI,ok,ok,ok,ok,7,4,178,10
SQ,XYZ,ok,ok,ok,ok,7,4,147,10
TGT,TGT,ok,ok,ok,ok,9,4,744,10
TSLA,TSLA,ok,ok,ok,ok,7,4,983,10
UBER,UBER,ok,ok,ok,ok,7,4,516,10
