creator,n,mean_5d,t_stat,p_value
CNBC Television,11,0.051742,1.879,0.060247
Bloomberg Television,3,0.042668,1.318,0.187667
Learn to Invest - Investors Grow,42,0.040614,2.824,0.004744
Financial Education,62,0.034128,3.288,0.001008
Tom Nash,19,0.023681,1.195,0.232265
Dumb Money Live,6,0.022873,2.586,0.009721
Kenan Grace,8,0.019147,2.810,0.004955
Chicken Genius Singapore,21,0.016819,1.508,0.131630
Investing with Tom,20,0.013562,0.685,0.493170
The Plain Bagel,10,0.013114,0.443,0.657895
Everything Money,34,0.012581,1.036,0.300138
Dividendology,7,0.011339,0.572,0.567623
The Investor Channel,124,0.010472,1.763,0.077911
New Money,28,0.006650,1.351,0.176634
Jose Najarro Stocks,286,0.006124,1.814,0.069637
"Mark Roussin, CPA",227,0.005843,1.944,0.051839
Meet Kevin,12,0.005517,0.386,0.699311
"Value Investing with Sven Carlin, Ph.D.",51,0.004751,0.798,0.425159
Stock Moe,10,0.004520,0.665,0.505798
The Swedish Investor,11,-0.000647,-0.054,0.957237
Ticker Symbol: YOU,67,-0.000972,-0.144,0.885181
Daniel Pronk,71,-0.002760,-0.449,0.653224
Ale's World of Stocks,21,-0.004168,-0.372,0.710057
Joseph Carlson,44,-0.004432,-0.948,0.343118
Chris Sain,7,-0.006652,-0.544,0.586295
Sasha Yanshin,49,-0.006946,-0.608,0.542899
STOCK UP! with LARRY JONES,19,-0.007344,-0.650,0.515480
Couch Investor,110,-0.007378,-1.179,0.238488
HyperChange,76,-0.008080,-0.616,0.537588
Best of Us Investors,12,-0.011911,-1.043,0.296800
Dividend Bull,10,-0.012154,-0.859,0.390616
Graham Stephan,8,-0.014643,-0.902,0.366967
"Parkev Tatevosian, CFA",15,-0.022065,-1.620,0.105233
ZipTrader,34,-0.090105,-3.481,0.000499
Minority Mindset,1,-0.138829,,
