ticker,n,mean_5d,t_stat,p_value
HOOD,2,0.221175,0.921,0.356997
GME,1,0.106079,,
AMD,147,0.021218,3.051,0.002282
GOOGL,137,0.008429,2.543,0.010989
NVDA,279,0.007557,2.103,0.035431
TSLA,244,0.006121,0.934,0.350454
PYPL,47,0.003736,0.435,0.663223
AMZN,144,0.003702,1.124,0.261069
AAPL,157,0.003410,1.461,0.143919
SOFI,42,0.002202,0.208,0.835081
DIS,28,0.002119,0.455,0.648774
NFLX,42,0.001315,0.152,0.878910
SQ,0,,,
TGT,0,,,
META,62,-0.003137,-0.641,0.521488
MSFT,135,-0.007035,-2.168,0.030143
UBER,26,-0.007331,-1.033,0.301771
SHOP,7,-0.008434,-0.459,0.646314
CRM,4,-0.009291,-0.467,0.640698
PLTR,9,-0.016542,-1.021,0.307020
SMCI,2,-0.039107,-0.840,0.401060
COIN,1,-0.056477,,
AMC,20,-0.157008,-4.864,0.000001
