event_id,ticker,company_name,event_date,effective_trading_event_date,sec_confounded_flag,gdelt_article_count_pm5,gdelt_major_news_flag_pm5,free_news_confounded_flag,free_news_clean_flag,free_news_unknown_flag,provider_coverage_status,ar_1d,ar_5d,timing_bucket,duplicate_cluster_size,top5_flag
1,SOFI,SoFi,2025-09-12,2025-09-12,False,0,False,False,True,False,gdelt_only,0.006788,-0.00174,during_market,1,False
2,NVDA,Nvidia,2025-09-12,2025-09-12,False,5,True,True,False,False,gdelt_only,-0.019636,0.018577,during_market,1,True
3,SOFI,SoFi,2026-05-01,2026-05-01,True,0,False,True,False,False,gdelt_only,-0.019636,0.018577,after_close,2,False
4,SOFI,SoFi,2026-05-01,2026-05-01,True,1,False,True,False,False,gdelt_only,-0.015711,-0.012023,after_close,2,False
5,NVDA,Nvidia,2026-01-13,2026-01-13,False,5,True,True,False,False,gdelt_only,0.003001,0.04516,during_market,2,True
6,NVDA,Nvidia,2026-01-13,2026-01-13,False,6,True,True,False,False,gdelt_only,0.000288,-0.007128,during_market,2,True
7,NVDA,Nvidia,2025-08-28,2025-08-28,True,5,True,True,False,False,gdelt_only,0.11004,0.121358,after_close,2,True
8,AMD,AMD,2026-01-20,2026-01-20,True,6,True,True,False,False,gdelt_only,0.11004,0.121358,during_market,2,True
9,MSFT,Microsoft,2026-01-14,2026-01-14,False,1,False,False,True,False,gdelt_only,0.066599,0.042678,during_market,1,False
10,NFLX,Netflix,2026-01-14,2026-01-14,True,0,False,True,False,False,gdelt_only,-0.025566,0.04947,during_market,1,False
11,NVDA,Nvidia,2026-01-14,2026-01-14,False,6,True,True,False,False,gdelt_only,0.001231,0.015663,during_market,1,True
12,MSFT,Microsoft,2025-07-30,2025-07-30,True,0,False,True,False,False,gdelt_only,-0.008036,-0.004612,after_close,1,False
13,GOOGL,Alphabet,2025-07-30,2025-07-30,True,1,False,True,False,False,gdelt_only,-0.050885,-0.018257,after_close,1,False
14,AMD,AMD,2025-09-21,2025-09-22,False,6,True,True,False,False,gdelt_only,0.029099,0.05539,weekend_or_holiday,1,True
15,NVDA,Nvidia,2025-09-21,2025-09-22,False,6,True,True,False,False,gdelt_only,0.013534,0.02678,weekend_or_holiday,1,True
16,META,Meta,2026-05-01,2026-05-01,True,0,False,True,False,False,gdelt_only,0.027315,0.016351,after_close,1,False
17,NVDA,Nvidia,2025-05-29,2025-05-29,True,5,True,True,False,False,gdelt_only,-0.014512,0.048945,after_close,1,True
18,AAPL,Apple,2025-06-05,2025-06-05,False,5,True,True,False,False,gdelt_only,0.00331,-0.047628,after_close,1,True
19,DIS,Disney,2025-06-05,2025-06-05,True,0,False,True,False,False,gdelt_only,-0.00167,0.017064,after_close,1,False
20,PYPL,PayPal,2025-06-05,2025-06-05,True,0,False,True,False,False,gdelt_only,0.000178,0.034324,after_close,1,False
21,AMD,AMD,2025-08-11,2025-08-11,True,5,True,True,False,False,gdelt_only,0.000178,0.034324,during_market,2,True
22,NVDA,Nvidia,2025-10-03,2025-10-03,False,6,True,True,False,False,gdelt_only,0.002918,0.024672,during_market,3,True
23,TSLA,Tesla,2025-04-22,2025-04-22,True,6,True,True,False,False,gdelt_only,0.014309,0.010173,after_close,5,True
24,TSLA,Tesla,2025-04-22,2025-04-22,True,5,True,True,False,False,gdelt_only,-0.032935,-0.133079,after_close,5,True
25,TSLA,Tesla,2025-04-22,2025-04-22,True,5,True,True,False,False,gdelt_only,-0.003713,0.016401,after_close,5,True
26,TSLA,Tesla,2025-04-22,2025-04-22,True,5,True,True,False,False,gdelt_only,-0.004438,-0.151269,after_close,5,True
27,TSLA,Tesla,2025-04-22,2025-04-22,True,7,True,True,False,False,gdelt_only,0.008767,0.032876,after_close,5,True
28,AMZN,Amazon,2025-04-22,2025-04-22,False,6,True,True,False,False,gdelt_only,0.005036,0.028614,after_close,1,True
29,NVDA,Nvidia,2025-08-17,2025-08-18,False,7,True,True,False,False,gdelt_only,0.001109,-0.006574,weekend_or_holiday,1,True
30,NVDA,Nvidia,2025-12-28,2025-12-29,False,6,True,True,False,False,gdelt_only,0.010644,0.145579,weekend_or_holiday,1,True
31,AMD,AMD,2026-01-07,2026-01-07,False,7,True,True,False,False,gdelt_only,0.010644,0.145579,during_market,1,True
32,NVDA,Nvidia,2025-07-25,2025-07-25,False,7,True,True,False,False,gdelt_only,0.010644,0.145579,during_market,1,True
33,NVDA,Nvidia,2025-11-22,2025-11-24,True,6,True,True,False,False,gdelt_only,0.010644,0.145579,weekend_or_holiday,2,True
34,NVDA,Nvidia,2025-11-22,2025-11-24,True,5,True,True,False,False,gdelt_only,0.011235,0.036012,weekend_or_holiday,2,True
35,MSFT,Microsoft,2025-11-22,2025-11-24,False,0,False,False,True,False,gdelt_only,-0.003911,0.009161,weekend_or_holiday,1,False
36,PYPL,PayPal,2025-09-17,2025-09-17,False,0,False,False,True,False,gdelt_only,-0.003911,0.009161,before_open,1,False
37,META,Meta,2025-09-17,2025-09-17,False,0,False,False,True,False,gdelt_only,-0.008087,0.003817,before_open,1,False
38,GOOGL,Alphabet,2025-06-22,2025-06-23,False,0,False,False,True,False,gdelt_only,-0.001882,0.058275,weekend_or_holiday,1,False
39,NVDA,Nvidia,2025-07-16,2025-07-16,False,5,True,True,False,False,gdelt_only,0.075569,0.159554,after_close,4,True
40,NVDA,Nvidia,2025-06-12,2025-06-12,False,7,True,True,False,False,gdelt_only,0.075569,0.159554,after_close,1,True
41,AMD,AMD,2025-08-10,2025-08-11,True,6,True,True,False,False,gdelt_only,0.075569,0.159554,weekend_or_holiday,2,True
42,NVDA,Nvidia,2025-08-10,2025-08-11,True,6,True,True,False,False,gdelt_only,0.010043,0.110368,weekend_or_holiday,2,True
43,NVDA,Nvidia,2026-01-16,2026-01-16,True,6,True,True,False,False,gdelt_only,0.027605,0.085006,before_open,1,True
44,AMD,AMD,2026-01-16,2026-01-16,True,5,True,True,False,False,gdelt_only,0.027605,0.085006,before_open,1,True
45,AMD,AMD,2025-06-23,2025-06-23,False,5,True,True,False,False,gdelt_only,0.027605,0.085006,after_close,1,True
46,GOOGL,Alphabet,2025-05-20,2025-05-20,False,1,False,False,True,False,gdelt_only,0.027605,0.085006,before_open,1,False
47,NVDA,Nvidia,2025-05-20,2025-05-20,True,5,True,True,False,False,gdelt_only,0.027605,0.085006,before_open,3,True
48,NVDA,Nvidia,2025-05-20,2025-05-20,True,6,True,True,False,False,gdelt_only,0.036165,0.049745,before_open,3,True
49,NVDA,Nvidia,2025-05-20,2025-05-20,True,6,True,True,False,False,gdelt_only,0.036165,0.049745,before_open,3,True
50,NVDA,Nvidia,2025-09-15,2025-09-15,False,5,True,True,False,False,gdelt_only,0.017301,0.015902,after_close,1,True
