locked_sample_version,event_id,source_video_id,video_id,transcript_id,creator,channel_id,ticker,company_name,recommendation_type,event_date,effective_trading_event_date,transcript_source,extraction_source_file,event_return_source_file,in_final_event_study,in_sec_clean_analysis,in_low_lookahead_analysis,in_duplicate_collapsed_analysis,in_factor_analysis,in_free_news_scaffold,notes
locked_artifact_sample_v1_2026-05-16,1,9kJI7BgxLM8,9kJI7BgxLM8,9kJI7BgxLM8,Couch Investor,UC7r4-nZ4icT8SIcnisXFSHQ,SOFI,Tesla,buy,2025-09-12,2025-09-12,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,2,9kJI7BgxLM8,9kJI7BgxLM8,9kJI7BgxLM8,Couch Investor,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Alphabet,buy,2025-09-12,2025-09-12,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,3,9ss1GH8SYAw,9ss1GH8SYAw,9ss1GH8SYAw,Couch Investor,UC7r4-nZ4icT8SIcnisXFSHQ,SOFI,Amazon,buy,2026-05-01,2026-05-01,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,recent_intraday_diagnostic_available
locked_artifact_sample_v1_2026-05-16,4,9ss1GH8SYAw,9ss1GH8SYAw,9ss1GH8SYAw,Couch Investor,UC7r4-nZ4icT8SIcnisXFSHQ,SOFI,Nvidia,buy,2026-05-01,2026-05-01,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,False,aggregate_only_no_event_membership_file,True,recent_intraday_diagnostic_available
locked_artifact_sample_v1_2026-05-16,5,x7UTYS2-fMU,x7UTYS2-fMU,x7UTYS2-fMU,Jose Najarro Stocks,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Tesla,sell,2026-01-13,2026-01-13,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,6,x7UTYS2-fMU,x7UTYS2-fMU,x7UTYS2-fMU,Jose Najarro Stocks,UCwKB_00dPL3x5XmHF9IJCrg,NVDA,PayPal,buy,2026-01-13,2026-01-13,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,False,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,7,hp7YC4lmPE0,hp7YC4lmPE0,hp7YC4lmPE0,Jose Najarro Stocks,UCwKB_00dPL3x5XmHF9IJCrg,NVDA,Microsoft,buy,2025-08-28,2025-08-28,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,8,jkuQjEyfKwM,jkuQjEyfKwM,jkuQjEyfKwM,Jose Najarro Stocks,UCwKB_00dPL3x5XmHF9IJCrg,AMD,Uber,buy,2026-01-20,2026-01-20,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,9,jn3unywFg24,jn3unywFg24,jn3unywFg24,Jose Najarro Stocks,UCwKB_00dPL3x5XmHF9IJCrg,MSFT,Nvidia,buy,2026-01-14,2026-01-14,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,True,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
locked_artifact_sample_v1_2026-05-16,10,jn3unywFg24,jn3unywFg24,jn3unywFg24,Jose Najarro Stocks,UCwKB_00dPL3x5XmHF9IJCrg,NFLX,Netflix,buy,2026-01-14,2026-01-14,external_provider,data/exports/research_grade_analysis/05_event_timeline_dataset.csv,data/exports/final_paper_package/02_event_study_robustness_table.csv (aggregate); event-level canonical return file not committed,True,False,False,True,aggregate_only_no_event_membership_file,True,locked_event_manifest_from_committed_artifacts
