locked_sample_version,video_id,transcript_id,creator,channel_id,transcript_source,language,transcript_status,text_length_bucket,included_in_locked_sample,exclusion_reason,source_file_or_table,notes
locked_artifact_sample_v1_2026-05-16,--P9ha_OTJA,--P9ha_OTJA,Joseph Carlson,UCbta0n8i6Rljh0obO7HzG9A,external_provider,English,available,gt_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,--TKtCkK2YE,--TKtCkK2YE,"Value Investing with Sven Carlin, Ph.D.",UCrTTBSUr0zhPU56UQljag5A,external_provider,English (auto-generated),available,2001_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,-0eHJkfOYZM,-0eHJkfOYZM,Couch Investor,UCrGLm-Drgv0vbbemwwHeXJw,external_provider,English (auto-generated),available,gt_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,-0eJaDGdzv4,-0eJaDGdzv4,Couch Investor,UCrGLm-Drgv0vbbemwwHeXJw,external_provider,English (auto-generated),available,gt_10000,supports_locked_event,,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,-15kJ5ckah0,-15kJ5ckah0,Financial Education,UCnMn36GT_H0X-w5_ckLtlgQ,external_provider,English,available,gt_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,-1AJBCQ4bIA,-1AJBCQ4bIA,Financial Education,UCnMn36GT_H0X-w5_ckLtlgQ,external_provider,English,available,gt_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,-1CsFKvbsLw,-1CsFKvbsLw,Financial Education,UCnMn36GT_H0X-w5_ckLtlgQ,external_provider,English,available,gt_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,-1eCvIBfhsE,-1eCvIBfhsE,Andrei Jikh,UCGy7SkBjcIAgTiwkXEtPnYg,external_provider,English,available,2001_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,-28UvhFzRC0,-28UvhFzRC0,"Parkev Tatevosian, CFA",UCwKB_00dPL3x5XmHF9IJCrg,external_provider,English (auto-generated),available,2001_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
locked_artifact_sample_v1_2026-05-16,-2Rn4JeHKHs,-2Rn4JeHKHs,New Money,UCvSXMi2LebwJEM1s4bz5IBA,external_provider,English,available,gt_10000,current_live_db_transcript_not_linked_to_locked_event,not linked to committed 1554-event locked panel; historical 8994 transcript lock list is not reconstructible from committed files,data/finfluencer_alpha.db:youtube_transcripts metadata only; no full_text exported,compact_current_db_transcript_metadata; not proof of historical 8994 transcript count
