ticker,event_count,specification,n_1d,mean_1d_ar,t_1d,p_1d,n_5d,mean_5d_ar,t_5d,p_5d,median_5d_ar,win_rate_5d,notes
NVDA,391,ticker,391,0.003633,2.367,0.017957,390,0.006351,2.092,0.036470,0.000944,0.510256,
TSLA,307,ticker,307,0.005275,1.871,0.061318,306,0.001049,0.194,0.846170,-0.012809,0.447712,
AMZN,246,ticker,246,-0.001104,-0.853,0.393737,245,0.000845,0.337,0.735891,0.003741,0.530612,
GOOGL,240,ticker,240,0.003734,2.689,0.007160,237,0.010682,4.276,0.000019,0.006029,0.573840,
AAPL,231,ticker,231,-0.000528,-0.676,0.499023,231,0.000753,0.403,0.686945,0.001321,0.515152,
MSFT,226,ticker,226,-0.003379,-2.704,0.006853,226,-0.005827,-2.718,0.006569,-0.005125,0.420354,
AMD,187,ticker,187,0.008059,2.482,0.013059,184,0.013924,2.422,0.015455,0.010800,0.554348,
META,112,ticker,112,0.003212,1.046,0.295569,106,-0.006314,-1.571,0.116243,-0.007828,0.386792,
PYPL,99,ticker,99,-0.005967,-2.626,0.008637,99,-0.005000,-0.981,0.326744,-0.008978,0.353535,
NFLX,92,ticker,92,0.003369,1.026,0.304802,91,0.004375,0.677,0.498600,0.001243,0.505495,
SOFI,61,ticker,61,-0.007612,-1.885,0.059437,59,-0.001227,-0.134,0.893540,-0.017404,0.423729,
UBER,50,ticker,50,0.001602,0.520,0.603192,47,-0.014081,-1.824,0.068207,-0.027550,0.340426,
DIS,32,ticker,32,0.004506,1.772,0.076428,32,0.006137,1.342,0.179500,0.003733,0.718750,
AMC,20,ticker,20,-0.197756,-5.525,0.000000,20,-0.169987,-5.335,0.000000,-0.179681,0.100000,
PLTR,12,ticker,12,-0.006396,-0.784,0.433285,10,-0.022609,-1.440,0.149947,-0.021563,0.100000,
SHOP,10,ticker,0,,,,0,,,,,,
HOOD,9,ticker,9,-0.006528,-0.656,0.511880,9,-0.080028,-4.425,0.000010,-0.069866,0.000000,
CRM,5,ticker,5,-0.001823,-0.389,0.696919,5,-0.003752,-0.229,0.818884,-0.025458,0.400000,
SQ,4,ticker,0,,,,0,,,,,,
SMCI,3,ticker,0,,,,0,,,,,,
TGT,1,ticker,0,,,,0,,,,,,
ROKU,1,ticker,1,-0.015176,,,1,0.047184,,,0.047184,1.000000,
GME,1,ticker,0,,,,0,,,,,,
COIN,1,ticker,1,-0.064686,,,1,-0.056477,,,-0.056477,0.000000,
