strategy,holding_trading_days,weighting,model,n_days,alpha_daily,alpha_ann_approx,alpha_hac_se,alpha_t_hac,alpha_p_value,r_squared
long_all_buy,5,ew,CAPM,1541,0.000754,0.209074,0.000482,1.5650,0.117581,0.176679
long_all_buy,5,ew,FF3,1541,0.000823,0.230365,0.000468,1.7582,0.078717,0.216406
long_all_buy,5,ew,FF5,1541,0.000838,0.235019,0.000472,1.7758,0.075770,0.217502
long_all_buy,5,ew,Carhart,1541,0.000815,0.227850,0.000469,1.7371,0.082374,0.217054
long_all_buy,5,ew,FF5_MOM,1541,0.000830,0.232609,0.000473,1.7554,0.079195,0.218024
long_all_buy,5,capped,CAPM,1541,0.000754,0.209074,0.000482,1.5650,0.117581,0.176679
long_all_buy,5,capped,FF3,1541,0.000823,0.230365,0.000468,1.7582,0.078717,0.216406
long_all_buy,5,capped,FF5,1541,0.000838,0.235019,0.000472,1.7758,0.075770,0.217502
long_all_buy,5,capped,Carhart,1541,0.000815,0.227850,0.000469,1.7371,0.082374,0.217054
long_all_buy,5,capped,FF5_MOM,1541,0.000830,0.232609,0.000473,1.7554,0.079195,0.218024
long_all_buy,21,ew,CAPM,1541,0.000634,0.173241,0.000403,1.5749,0.115288,0.397652
long_all_buy,21,ew,FF3,1541,0.000704,0.193915,0.000394,1.7852,0.074232,0.426106
long_all_buy,21,ew,FF5,1541,0.000733,0.202701,0.000391,1.8716,0.061269,0.430806
long_all_buy,21,ew,Carhart,1541,0.000691,0.190036,0.000393,1.7566,0.078989,0.427373
long_all_buy,21,ew,FF5_MOM,1541,0.000714,0.197163,0.000390,1.8322,0.066919,0.433056
long_all_buy,21,capped,CAPM,1541,0.000634,0.173241,0.000403,1.5749,0.115288,0.397652
long_all_buy,21,capped,FF3,1541,0.000704,0.193915,0.000394,1.7852,0.074232,0.426106
long_all_buy,21,capped,FF5,1541,0.000733,0.202701,0.000391,1.8716,0.061269,0.430806
long_all_buy,21,capped,Carhart,1541,0.000691,0.190036,0.000393,1.7566,0.078989,0.427373
long_all_buy,21,capped,FF5_MOM,1541,0.000714,0.197163,0.000390,1.8322,0.066919,0.433056
long_all_buy,63,ew,CAPM,1541,0.001494,0.456759,0.000481,3.1079,0.001884,0.448716
long_all_buy,63,ew,FF3,1541,0.001600,0.495999,0.000457,3.5001,0.000465,0.499254
long_all_buy,63,ew,FF5,1541,0.001628,0.506614,0.000455,3.5785,0.000346,0.504896
long_all_buy,63,ew,Carhart,1541,0.001580,0.488452,0.000454,3.4803,0.000501,0.501584
