sample,horizon,return_type,n,mean,mean_pct,standard_error,median,t_stat,p_value,win_rate,right_censored
full_sample,5D,spy_bhar,2322,0.000635,0.064%,0.001279,-0.001388,0.496,0.619606,0.484065,23
full_sample,21D,spy_bhar,2322,0.003173,0.317%,0.002697,-0.001731,1.176,0.239438,0.495263,149
full_sample,63D,spy_bhar,2322,0.042903,4.290%,0.004830,0.009641,8.882,0.000000,0.521102,362
full_sample,126D,spy_bhar,2322,0.084560,8.456%,0.007103,0.032062,11.905,0.000000,0.562446,730
full_sample,252D,spy_bhar,2322,0.157459,15.746%,0.009822,0.068101,16.032,0.000000,0.601637,1084
master_clean,5D,spy_bhar,67,0.028788,2.879%,0.007660,0.027691,3.758,0.000171,0.716418,1
master_clean,21D,spy_bhar,67,0.126687,12.669%,0.027560,0.032813,4.597,0.000004,0.746269,17
master_clean,63D,spy_bhar,67,0.208277,20.828%,0.044023,0.053685,4.731,0.000002,0.656716,38
master_clean,126D,spy_bhar,67,0.434171,43.417%,0.050800,0.293372,8.547,0.000000,0.925373,60
master_clean,252D,spy_bhar,67,0.444744,44.474%,0.049843,0.335337,8.923,0.000000,0.940299,66
master_confounded,5D,spy_bhar,1376,-0.002504,-0.250%,0.001784,-0.003952,-1.403,0.160515,0.462209,18
master_confounded,21D,spy_bhar,1376,0.000208,0.021%,0.003634,-0.005460,0.057,0.954324,0.481105,116
master_confounded,63D,spy_bhar,1376,0.044961,4.496%,0.006427,0.016869,6.996,0.000000,0.534157,204
master_confounded,126D,spy_bhar,1376,0.081128,8.113%,0.008903,0.036765,9.113,0.000000,0.584302,376
master_confounded,252D,spy_bhar,1376,0.164277,16.428%,0.013449,0.047420,12.215,0.000000,0.593023,563
master_unknown,5D,spy_bhar,1626,0.000340,0.034%,0.001483,-0.003449,0.229,0.818810,0.468020,19
master_unknown,21D,spy_bhar,1626,0.002663,0.266%,0.002834,-0.004943,0.940,0.347421,0.478475,109
master_unknown,63D,spy_bhar,1626,0.027275,2.727%,0.005111,-0.003362,5.337,0.000000,0.487700,266
master_unknown,126D,spy_bhar,1626,0.067748,6.775%,0.008162,0.010916,8.301,0.000000,0.526445,545
master_unknown,252D,spy_bhar,1626,0.128058,12.806%,0.010949,0.069693,11.696,0.000000,0.576261,801
top5_master_clean,5D,spy_bhar,67,0.028788,2.879%,0.007660,0.027691,3.758,0.000171,0.716418,1
top5_master_clean,21D,spy_bhar,67,0.126687,12.669%,0.027560,0.032813,4.597,0.000004,0.746269,17
top5_master_clean,63D,spy_bhar,67,0.208277,20.828%,0.044023,0.053685,4.731,0.000002,0.656716,38
top5_master_clean,126D,spy_bhar,67,0.434171,43.417%,0.050800,0.293372,8.547,0.000000,0.925373,60
top5_master_clean,252D,spy_bhar,67,0.444744,44.474%,0.049843,0.335337,8.923,0.000000,0.940299,66
non_top_master_clean,5D,spy_bhar,0,,,,,,,,0
non_top_master_clean,21D,spy_bhar,0,,,,,,,,0
non_top_master_clean,63D,spy_bhar,0,,,,,,,,0
non_top_master_clean,126D,spy_bhar,0,,,,,,,,0
non_top_master_clean,252D,spy_bhar,0,,,,,,,,0
low_lookahead_master_clean,5D,spy_bhar,21,0.030742,3.074%,0.011660,0.018080,2.637,0.008376,0.714286,0
low_lookahead_master_clean,21D,spy_bhar,21,0.178443,17.844%,0.052124,0.077189,3.423,0.000618,0.714286,5
low_lookahead_master_clean,63D,spy_bhar,21,0.230072,23.007%,0.057755,0.225194,3.984,0.000068,0.904762,17
low_lookahead_master_clean,126D,spy_bhar,21,0.268233,26.823%,0.056903,0.234477,4.714,0.000002,0.904762,19
low_lookahead_master_clean,252D,spy_bhar,21,0.277271,27.727%,0.055053,0.234477,5.036,0.000000,0.952381,21
duplicate_collapsed_master_clean,5D,spy_bhar,51,0.024815,2.482%,0.008144,0.016679,3.047,0.002311,0.705882,1
duplicate_collapsed_master_clean,21D,spy_bhar,51,0.114835,11.483%,0.028734,0.044753,3.996,0.000064,0.725490,12
duplicate_collapsed_master_clean,63D,spy_bhar,51,0.212228,21.223%,0.050042,0.055565,4.241,0.000022,0.725490,31
duplicate_collapsed_master_clean,126D,spy_bhar,51,0.359897,35.990%,0.055355,0.225194,6.502,0.000000,0.901961,44
duplicate_collapsed_master_clean,252D,spy_bhar,51,0.373787,37.379%,0.054199,0.231159,6.897,0.000000,0.921569,50
