creator,channel_id,transcript_count,event_count,buy_count,sell_count,top5_share,non_top_share,avg_quality_score,avg_pre_event_momentum,mean_1d_ar,mean_5d_ar,t_5d,p_5d,median_5d_ar,win_rate_5d,duplicate_rate,low_lookahead_share,SEC_confounded_share,return_contribution_share
The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,405,497,405,92,0.615694,0.384306,2.955734,,0.001243,0.006698,2.623,0.008715,0.001509,0.520243,0.340040,0.219316,0.420523,2.590284
Couch Investor,UCrGLm-Drgv0vbbemwwHeXJw,416,291,251,40,0.381443,0.618557,3.058419,,-0.001618,-0.007310,-2.186,0.028831,-0.008978,0.414894,0.398625,0.374570,0.402062,-1.613969
Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,407,270,208,62,0.685185,0.314815,3.011111,,-0.002735,-0.001576,-0.482,0.629928,-0.003276,0.460967,0.485185,0.218519,0.522222,-0.331943
"Mark Roussin, CPA",UCC7xhD0o7FBHdKXZxMRFspQ,401,215,173,42,0.627907,0.372093,3.074419,,0.001320,0.005511,1.777,0.075648,0.001467,0.511737,0.274419,0.493023,0.334884,0.918988
Daniel Pronk,UCL-F-8nxFtFZ4M3RWkGn6Qw,303,203,140,63,0.477833,0.522167,2.901478,,0.001575,0.001214,0.361,0.718137,-0.000062,0.500000,0.527094,0.167488,0.467980,0.190102
"Parkev Tatevosian, CFA",UCwKB_00dPL3x5XmHF9IJCrg,409,127,103,24,0.330709,0.669291,2.740157,,-0.001343,-0.010706,-1.911,0.055991,-0.010977,0.391304,0.535433,0.850394,0.496063,-0.963861
HyperChange,UC1LAjODfg7dnSSrrPGGPPMw,245,76,65,11,0.947368,0.052632,3.092105,,0.006735,-0.008080,-0.616,0.537587,-0.021034,0.460526,0.789474,0.092105,0.302632,-0.480757
Ticker Symbol: YOU,UC7kCeZ53sli_9XwuQeFxLqw,250,67,58,9,0.731343,0.268657,3.014925,,0.001551,-0.001737,-0.256,0.798188,-0.002057,0.454545,0.522388,0.164179,0.477612,-0.089726
Financial Education,UCnMn36GT_H0X-w5_ckLtlgQ,249,64,53,11,0.703125,0.296875,3.031250,,0.034453,0.033855,3.210,0.001328,-0.005071,0.459016,0.656250,0.015625,0.312500,1.616783
Dividendology,UCgCh-2AfEBtWrNBC2OoNQYg,414,55,36,19,0.272727,0.727273,2.927273,,0.006967,0.003356,0.787,0.431385,-0.004436,0.436364,0.363636,0.527273,0.290909,0.144515
Sasha Yanshin,UC1pLUC7lcKkGYhWgj4XvUsw,250,49,35,14,0.775510,0.224490,3.102041,,0.006382,-0.006946,-0.608,0.542895,0.012461,0.551020,0.673469,0.204082,0.204082,-0.266463
Joseph Carlson,UCbta0n8i6Rljh0obO7HzG9A,249,44,35,9,0.568182,0.431818,2.977273,,-0.002937,-0.004432,-0.948,0.343117,0.002467,0.522727,0.681818,0.000000,0.568182,-0.152679
"Value Investing with Sven Carlin, Ph.D.",UCrTTBSUr0zhPU56UQljag5A,406,43,26,17,0.744186,0.255814,2.953488,,-0.002466,0.003970,0.612,0.540260,-0.004256,0.488372,0.395349,0.837209,0.441860,0.133630
Learn to Invest - Investors Grow,UCSglJMvX-zSgv3PEJIE_inw,306,38,31,7,0.315789,0.684211,2.894737,,0.010975,0.036254,3.102,0.001923,0.018279,0.736842,0.552632,1.000000,0.210526,1.078541
Everything Money,UChBVf9YnourrEDTsbbwJPRA,250,34,25,9,0.470588,0.529412,3.029412,,0.000946,0.012581,1.036,0.300138,-0.006851,0.441176,0.352941,1.000000,0.088235,0.334878
ZipTrader,UC0BGhWsIbV7Dm-lsvhdlMbA,250,34,17,17,0.441176,0.558824,3.117647,,-0.123494,-0.090239,-3.382,0.000719,-0.151269,0.303030,0.647059,0.029412,0.705882,-2.331343
New Money,UCvSXMi2LebwJEM1s4bz5IBA,250,28,19,9,0.642857,0.357143,2.964286,,-0.000258,0.006650,1.351,0.176628,0.016627,0.571429,0.392857,0.464286,0.500000,0.145770
Chicken Genius Singapore,UC0OnreqP55xLpA6W5nzxb5Q,247,24,18,6,0.875000,0.125000,3.166667,,0.010915,0.016819,1.508,0.131632,-0.000065,0.476190,0.166667,0.958333,0.250000,0.276517
Ale's World of Stocks,UCXhrqxFZbG-k8l7v-XhX3ZQ,250,21,12,9,0.809524,0.190476,2.952381,,-0.000400,-0.009088,-0.841,0.400095,-0.007723,0.210526,0.428571,0.952381,0.619048,-0.135189
