creator,raw_5d_ar,top5_adjusted_5d_ar,non_top_5d_ar,residual_creator_signal_after_ticker_controls,interpretation,top5_event_count,non_top_event_count
Ale's World of Stocks,-0.009088,-0.011388,-0.015786,-0.011388,"ticker-mix-adjusted residual, not causal creator skill",17,4
Best of Us Investors,-0.011911,-0.013889,-0.063894,-0.013889,"ticker-mix-adjusted residual, not causal creator skill",10,2
Bloomberg Television,0.042668,0.040539,-0.022103,0.040539,"ticker-mix-adjusted residual, not causal creator skill",2,1
CNBC Television,0.044070,0.041451,,0.041451,"ticker-mix-adjusted residual, not causal creator skill",3,0
Chicken Genius Singapore,0.016819,0.015780,,0.015780,"ticker-mix-adjusted residual, not causal creator skill",21,3
Chris Sain,-0.012889,-0.013940,-0.007079,-0.013940,"ticker-mix-adjusted residual, not causal creator skill",3,5
Couch Investor,-0.007310,-0.008632,-0.004269,-0.008632,"ticker-mix-adjusted residual, not causal creator skill",111,180
Daniel Pronk,0.001214,-0.000880,-0.003517,-0.000880,"ticker-mix-adjusted residual, not causal creator skill",97,106
Dividend Bull,-0.008211,0.010016,-0.060066,0.010016,"ticker-mix-adjusted residual, not causal creator skill",7,2
Dividendology,0.003356,0.002862,0.006703,0.002862,"ticker-mix-adjusted residual, not causal creator skill",15,40
Dumb Money Live,-0.024716,-0.022695,0.008814,-0.022695,"ticker-mix-adjusted residual, not causal creator skill",10,5
Everything Money,0.012581,0.013473,0.038377,0.013473,"ticker-mix-adjusted residual, not causal creator skill",16,18
Financial Education,0.033855,0.028257,-0.005996,0.028257,"ticker-mix-adjusted residual, not causal creator skill",45,19
Graham Stephan,-0.025619,-0.026668,,-0.026668,"ticker-mix-adjusted residual, not causal creator skill",6,0
HyperChange,-0.008080,-0.008928,0.025920,-0.008928,"ticker-mix-adjusted residual, not causal creator skill",72,4
Investing with Tom,-0.005007,-0.005780,0.001217,-0.005780,"ticker-mix-adjusted residual, not causal creator skill",10,5
Jose Najarro Stocks,-0.001576,-0.006008,-0.006870,-0.006008,"ticker-mix-adjusted residual, not causal creator skill",185,85
Joseph Carlson,-0.004432,-0.005338,0.002102,-0.005338,"ticker-mix-adjusted residual, not causal creator skill",25,19
Kenan Grace,0.019147,0.019131,0.015301,0.019131,"ticker-mix-adjusted residual, not causal creator skill",5,3
Learn to Invest - Investors Grow,0.036254,0.034742,0.013013,0.034742,"ticker-mix-adjusted residual, not causal creator skill",12,26
"Mark Roussin, CPA",0.005511,0.003355,-0.003490,0.003355,"ticker-mix-adjusted residual, not causal creator skill",135,80
Meet Kevin,0.005517,0.003797,0.000890,0.003797,"ticker-mix-adjusted residual, not causal creator skill",10,2
Minority Mindset,-0.138829,-0.139674,,-0.139674,"ticker-mix-adjusted residual, not causal creator skill",1,0
New Money,0.006650,0.005386,-0.005454,0.005386,"ticker-mix-adjusted residual, not causal creator skill",18,10
"Parkev Tatevosian, CFA",-0.010706,-0.006758,-0.024370,-0.006758,"ticker-mix-adjusted residual, not causal creator skill",42,85
STOCK UP! with LARRY JONES,-0.007344,-0.006087,-0.010425,-0.006087,"ticker-mix-adjusted residual, not causal creator skill",12,7
Sasha Yanshin,-0.006946,-0.011003,0.020411,-0.011003,"ticker-mix-adjusted residual, not causal creator skill",38,11
Stock Moe,0.004520,0.000858,0.004768,0.000858,"ticker-mix-adjusted residual, not causal creator skill",4,6
The Investor Channel,0.006698,0.004682,0.004461,0.004682,"ticker-mix-adjusted residual, not causal creator skill",306,191
The Plain Bagel,0.013114,0.042473,0.070914,0.042473,"ticker-mix-adjusted residual, not causal creator skill",6,4
The Swedish Investor,-0.000647,-0.001271,0.003297,-0.001271,"ticker-mix-adjusted residual, not causal creator skill",7,4
Ticker Symbol: YOU,-0.001737,-0.007728,0.009594,-0.007728,"ticker-mix-adjusted residual, not causal creator skill",49,18
Tom Nash,0.024582,0.022054,0.041251,0.022054,"ticker-mix-adjusted residual, not causal creator skill",15,4
"Value Investing with Sven Carlin, Ph.D.",0.003970,0.002513,-0.010762,0.002513,"ticker-mix-adjusted residual, not causal creator skill",32,11
ZipTrader,-0.090239,-0.010540,-0.178758,-0.010540,"ticker-mix-adjusted residual, not causal creator skill",15,19
