removed_creator,remaining_events,headline_5d_mean,headline_5d_p,top5_5d_mean,top5_5d_p,non_top_5d_mean,non_top_5d_p
Ale's World of Stocks,2320,0.000636,0.623932,0.004393,0.014519,-0.004710,0.009412
Best of Us Investors,2329,0.000621,0.631507,0.004276,0.017092,-0.004608,0.010939
Bloomberg Television,2338,0.000501,0.698053,0.004129,0.020521,-0.004715,0.009261
CNBC Television,2338,0.000499,0.699177,0.004145,0.020161,-0.004733,0.008921
Chicken Genius Singapore,2317,0.000406,0.754463,0.004036,0.025006,-0.004733,0.008921
Chris Sain,2333,0.000603,0.641274,0.004293,0.016132,-0.004721,0.009415
Couch Investor,2050,0.001655,0.234333,0.005665,0.002424,-0.004838,0.016369
Daniel Pronk,2138,0.000493,0.720148,0.004079,0.028878,-0.004882,0.013859
Dividend Bull,2332,0.000590,0.648209,0.004221,0.018292,-0.004616,0.010853
Dividendology,2286,0.000487,0.711568,0.004343,0.015833,-0.005240,0.005149
Dumb Money Live,2326,0.000710,0.582734,0.004548,0.010903,-0.004791,0.008281
Everything Money,2307,0.000375,0.772273,0.004481,0.012547,-0.005572,0.001999
Financial Education,2277,-0.000352,0.784646,0.002717,0.124366,-0.004709,0.010468
Graham Stephan,2335,0.000624,0.629051,0.004366,0.014553,-0.004733,0.008921
HyperChange,2265,0.000851,0.498339,0.005030,0.003369,-0.004864,0.007325
Investing with Tom,2326,0.000592,0.647971,0.004325,0.015831,-0.004765,0.008780
Jose Najarro Stocks,2071,0.000838,0.547890,0.004762,0.015044,-0.004522,0.018387
Joseph Carlson,2297,0.000653,0.618582,0.004490,0.013059,-0.004874,0.008242
Kenan Grace,2333,0.000491,0.704453,0.004170,0.019655,-0.004797,0.008210
Learn to Invest - Investors Grow,2303,-0.000044,0.972625,0.003498,0.047470,-0.005236,0.004679
"Mark Roussin, CPA",2126,0.000050,0.971431,0.003517,0.067064,-0.004845,0.012505
Meet Kevin,2329,0.000530,0.682412,0.004217,0.018496,-0.004745,0.008889
Minority Mindset,2340,0.000616,0.632485,0.004339,0.014744,-0.004733,0.008921
New Money,2313,0.000480,0.712523,0.004111,0.022634,-0.004726,0.009725
"Parkev Tatevosian, CFA",2214,0.001149,0.385669,0.003930,0.030869,-0.003061,0.099455
STOCK UP! with LARRY JONES,2322,0.000621,0.631822,0.004321,0.015983,-0.004691,0.009831
Sasha Yanshin,2292,0.000719,0.578518,0.004784,0.007338,-0.005030,0.005893
Stock Moe,2331,0.000538,0.677611,0.004234,0.017758,-0.004794,0.008477
The Investor Channel,1844,-0.001125,0.448306,0.003115,0.128446,-0.007023,0.000810
The Plain Bagel,2331,0.000501,0.697705,0.004365,0.014259,-0.005056,0.005147
The Swedish Investor,2330,0.000561,0.664531,0.004271,0.016916,-0.004768,0.008716
Ticker Symbol: YOU,2274,0.000623,0.634845,0.004605,0.011299,-0.004996,0.006585
Tom Nash,2322,0.000366,0.776440,0.004043,0.023160,-0.004880,0.007083
"Value Investing with Sven Carlin, Ph.D.",2298,0.000491,0.707715,0.004118,0.023485,-0.004662,0.010485
ZipTrader,2307,0.001878,0.126634,0.004102,0.020948,-0.001347,0.386584
