creator,horizon,event_count,top5_share,mean_pre21_spy_bhar,right_censored,n,mean,median,t_stat,p_value,win_rate
Ale's World of Stocks,126D,19,0.8947,0.060830,6,19,0.141356,0.045016,2.563,0.010386,0.5789
Ale's World of Stocks,21D,19,0.8947,0.060830,0,19,-0.024063,-0.023178,-1.088,0.276521,0.3684
Ale's World of Stocks,252D,19,0.8947,0.060830,7,19,0.087215,0.055939,1.334,0.182150,0.5789
Ale's World of Stocks,504D,19,0.8947,0.060830,19,19,0.262698,0.135493,3.152,0.001621,0.6316
Ale's World of Stocks,5D,19,0.8947,0.060830,0,19,-0.009088,-0.007723,-0.841,0.400095,0.2105
Ale's World of Stocks,63D,19,0.8947,0.060830,5,19,0.026676,-0.046348,1.061,0.288889,0.4737
Ale's World of Stocks,end_of_sample,19,0.8947,0.060830,0,19,0.262698,0.135493,3.152,0.001621,0.6316
Best of Us Investors,126D,12,0.8333,0.022415,10,12,0.052755,0.108140,1.436,0.150929,0.6667
Best of Us Investors,21D,12,0.8333,0.022415,1,12,0.019655,0.010420,0.883,0.377478,0.7500
Best of Us Investors,252D,12,0.8333,0.022415,12,12,0.073251,0.145608,1.990,0.046596,0.7500
Best of Us Investors,504D,12,0.8333,0.022415,12,12,0.073251,0.145608,1.990,0.046596,0.7500
Best of Us Investors,5D,12,0.8333,0.022415,0,12,-0.011911,-0.013396,-1.043,0.296800,0.4167
Best of Us Investors,63D,12,0.8333,0.022415,9,12,0.055851,0.108140,1.670,0.094966,0.5833
Best of Us Investors,end_of_sample,12,0.8333,0.022415,0,12,0.073251,0.145608,1.990,0.046596,0.7500
Bloomberg Television,126D,3,0.6667,0.019546,3,3,0.044332,0.075053,1.443,0.149017,0.6667
Bloomberg Television,21D,3,0.6667,0.019546,3,3,0.044332,0.075053,1.443,0.149017,0.6667
Bloomberg Television,252D,3,0.6667,0.019546,3,3,0.044332,0.075053,1.443,0.149017,0.6667
Bloomberg Television,504D,3,0.6667,0.019546,3,3,0.044332,0.075053,1.443,0.149017,0.6667
Bloomberg Television,5D,3,0.6667,0.019546,0,3,0.042668,0.075053,1.318,0.187667,0.6667
Bloomberg Television,63D,3,0.6667,0.019546,3,3,0.044332,0.075053,1.443,0.149017,0.6667
Bloomberg Television,end_of_sample,3,0.6667,0.019546,0,3,0.044332,0.075053,1.443,0.149017,0.6667
CNBC Television,126D,3,1.0000,0.009179,3,3,0.056196,0.046767,5.960,0.000000,1.0000
CNBC Television,21D,3,1.0000,0.009179,3,3,0.056196,0.046767,5.960,0.000000,1.0000
CNBC Television,252D,3,1.0000,0.009179,3,3,0.056196,0.046767,5.960,0.000000,1.0000
CNBC Television,504D,3,1.0000,0.009179,3,3,0.056196,0.046767,5.960,0.000000,1.0000
CNBC Television,5D,3,1.0000,0.009179,0,3,0.044070,0.028578,2.845,0.004445,1.0000
CNBC Television,63D,3,1.0000,0.009179,3,3,0.056196,0.046767,5.960,0.000000,1.0000
CNBC Television,end_of_sample,3,1.0000,0.009179,0,3,0.056196,0.046767,5.960,0.000000,1.0000
Chicken Genius Singapore,126D,21,1.0000,0.123402,0,21,1.050746,1.286234,5.425,0.000000,0.7619
Chicken Genius Singapore,21D,21,1.0000,0.123402,0,21,0.122185,0.045174,2.402,0.016298,0.6667
Chicken Genius Singapore,252D,21,1.0000,0.123402,0,21,0.846418,0.822858,4.217,0.000025,0.8095
Chicken Genius Singapore,504D,21,1.0000,0.123402,0,21,1.011933,1.029040,3.654,0.000258,0.7143
Chicken Genius Singapore,5D,21,1.0000,0.123402,0,21,0.016819,-0.000065,1.508,0.131632,0.4762
Chicken Genius Singapore,63D,21,1.0000,0.123402,0,21,0.522140,0.291896,4.904,0.000001,0.9524
Chicken Genius Singapore,end_of_sample,21,1.0000,0.123402,0,21,1.944230,1.792466,4.004,0.000062,0.8095
Chris Sain,126D,8,0.3750,0.115588,1,8,0.050787,-0.000040,0.461,0.644668,0.5000
Chris Sain,21D,8,0.3750,0.115588,1,8,0.002935,0.004618,0.105,0.916703,0.6250
Chris Sain,252D,8,0.3750,0.115588,8,8,0.051489,0.023735,0.293,0.769572,0.6250
Chris Sain,504D,8,0.3750,0.115588,8,8,0.051489,0.023735,0.293,0.769572,0.6250
Chris Sain,5D,8,0.3750,0.115588,0,8,-0.012889,-0.011062,-1.049,0.294161,0.5000
Chris Sain,63D,8,0.3750,0.115588,1,8,0.041689,0.012983,0.818,0.413589,0.6250
Chris Sain,end_of_sample,8,0.3750,0.115588,0,8,0.051489,0.023735,0.293,0.769572,0.6250
Couch Investor,126D,290,0.3828,-0.006193,173,290,-0.033928,-0.075299,-1.867,0.061959,0.3897
Couch Investor,21D,290,0.3828,-0.006193,28,290,-0.021500,-0.043324,-3.193,0.001407,0.3379
Couch Investor,252D,290,0.3828,-0.006193,290,290,0.043215,-0.049745,1.536,0.124423,0.4621
Couch Investor,504D,290,0.3828,-0.006193,290,290,0.043215,-0.049745,1.536,0.124423,0.4621
Couch Investor,5D,290,0.3828,-0.006193,8,290,-0.006954,-0.008670,-2.133,0.032917,0.4241
Couch Investor,63D,290,0.3828,-0.006193,59,290,-0.029882,-0.040641,-2.600,0.009324,0.3931
Couch Investor,end_of_sample,290,0.3828,-0.006193,0,290,0.043215,-0.049745,1.536,0.124423,0.4621
Daniel Pronk,126D,200,0.4850,0.009828,21,200,0.047852,0.004134,2.298,0.021568,0.5200
Daniel Pronk,21D,200,0.4850,0.009828,4,200,0.007720,0.001062,1.517,0.129152,0.5200
Daniel Pronk,252D,200,0.4850,0.009828,44,200,0.069902,-0.003819,2.738,0.006190,0.4950
Daniel Pronk,504D,200,0.4850,0.009828,99,200,0.233383,0.093280,5.564,0.000000,0.6500
Daniel Pronk,5D,200,0.4850,0.009828,0,200,0.001214,-0.000062,0.361,0.718137,0.5000
Daniel Pronk,63D,200,0.4850,0.009828,6,200,0.040558,0.025134,3.348,0.000815,0.5800
Daniel Pronk,end_of_sample,200,0.4850,0.009828,0,200,0.367828,0.103916,6.657,0.000000,0.6900
Dividend Bull,126D,9,0.7778,-0.105973,1,9,0.320699,0.266699,1.813,0.069787,0.7778
Dividend Bull,21D,9,0.7778,-0.105973,0,9,0.042617,0.051610,1.196,0.231766,0.7778
Dividend Bull,252D,9,0.7778,-0.105973,1,9,0.463610,0.330299,1.960,0.049978,0.6667
Dividend Bull,504D,9,0.7778,-0.105973,2,9,0.921087,0.677899,2.218,0.026551,0.7778
Dividend Bull,5D,9,0.7778,-0.105973,0,9,-0.008211,-0.010432,-0.540,0.589098,0.4444
Dividend Bull,63D,9,0.7778,-0.105973,0,9,0.193352,0.080168,1.712,0.086872,0.5556
Dividend Bull,end_of_sample,9,0.7778,-0.105973,0,9,1.269677,0.855332,2.349,0.018825,0.7778
Dividendology,126D,55,0.2727,0.002529,17,55,0.041566,-0.033133,1.511,0.130731,0.4545
Dividendology,21D,55,0.2727,0.002529,3,55,0.001208,0.001203,0.164,0.870119,0.5273
Dividendology,252D,55,0.2727,0.002529,26,55,0.107651,0.069693,2.508,0.012140,0.6000
Dividendology,504D,55,0.2727,0.002529,55,55,0.054171,-0.041238,0.862,0.388959,0.4000
Dividendology,5D,55,0.2727,0.002529,0,55,0.003356,-0.004436,0.787,0.431385,0.4364
Dividendology,63D,55,0.2727,0.002529,8,55,-0.005709,-0.033229,-0.388,0.697800,0.3273
Dividendology,end_of_sample,55,0.2727,0.002529,0,55,0.054171,-0.041238,0.862,0.388959,0.4000
Dumb Money Live,126D,14,0.7143,0.001694,9,14,0.100836,0.053156,2.487,0.012898,0.7143
Dumb Money Live,21D,14,0.7143,0.001694,0,14,0.011084,0.030329,0.437,0.662048,0.5714
Dumb Money Live,252D,14,0.7143,0.001694,14,14,0.110689,0.053156,2.660,0.007817,0.8571
Dumb Money Live,504D,14,0.7143,0.001694,14,14,0.110689,0.053156,2.660,0.007817,0.8571
Dumb Money Live,5D,14,0.7143,0.001694,0,14,-0.024716,0.002971,-1.515,0.129715,0.5714
Dumb Money Live,63D,14,0.7143,0.001694,1,14,0.053269,0.071147,1.677,0.093631,0.7143
