creator,horizon,event_count,mean_residual,t_stat,p_value,notes
Ale's World of Stocks,126D,19,0.038122,0.769,0.441884,residual column: after_ticker_residual
Ale's World of Stocks,21D,19,-0.034936,-1.659,0.097154,residual column: after_ticker_residual
Ale's World of Stocks,252D,19,-0.085231,-2.652,0.007991,residual column: after_ticker_residual
Ale's World of Stocks,504D,19,-0.004895,-0.120,0.904514,residual column: after_ticker_residual
Ale's World of Stocks,5D,19,-0.011461,-1.112,0.266030,residual column: after_ticker_residual
Ale's World of Stocks,63D,19,-0.028954,-1.181,0.237648,residual column: after_ticker_residual
Ale's World of Stocks,end_of_sample,19,-0.101967,-2.281,0.022546,residual column: after_ticker_residual
Best of Us Investors,126D,12,-0.035934,-1.033,0.301745,residual column: after_ticker_residual
Best of Us Investors,21D,12,0.009448,0.437,0.662096,residual column: after_ticker_residual
Best of Us Investors,252D,12,-0.087118,-2.195,0.028164,residual column: after_ticker_residual
Best of Us Investors,504D,12,-0.191580,-2.727,0.006382,residual column: after_ticker_residual
Best of Us Investors,5D,12,-0.014019,-1.313,0.189343,residual column: after_ticker_residual
Best of Us Investors,63D,12,0.002770,0.100,0.920484,residual column: after_ticker_residual
Best of Us Investors,end_of_sample,12,-0.280451,-2.846,0.004428,residual column: after_ticker_residual
Bloomberg Television,126D,3,-0.054158,-0.698,0.485463,residual column: after_ticker_residual
Bloomberg Television,21D,3,0.034397,1.753,0.079676,residual column: after_ticker_residual
Bloomberg Television,252D,3,-0.161434,-1.290,0.196968,residual column: after_ticker_residual
Bloomberg Television,504D,3,-0.350825,-1.990,0.046578,residual column: after_ticker_residual
Bloomberg Television,5D,3,0.040120,1.406,0.159724,residual column: after_ticker_residual
Bloomberg Television,63D,3,-0.006344,-0.349,0.726987,residual column: after_ticker_residual
Bloomberg Television,end_of_sample,3,-0.483368,-1.977,0.048020,residual column: after_ticker_residual
CNBC Television,126D,3,-0.005592,-0.089,0.929385,residual column: after_ticker_residual
CNBC Television,21D,3,0.046086,11.613,0.000000,residual column: after_ticker_residual
CNBC Television,252D,3,-0.060379,-0.534,0.593399,residual column: after_ticker_residual
CNBC Television,504D,3,-0.146496,-0.770,0.441426,residual column: after_ticker_residual
CNBC Television,5D,3,0.041435,3.044,0.002331,residual column: after_ticker_residual
CNBC Television,63D,3,0.015988,0.790,0.429808,residual column: after_ticker_residual
CNBC Television,end_of_sample,3,-0.244326,-1.011,0.312195,residual column: after_ticker_residual
Chicken Genius Singapore,126D,21,0.876209,4.568,0.000005,residual column: after_ticker_residual
Chicken Genius Singapore,21D,21,0.111547,2.193,0.028289,residual column: after_ticker_residual
Chicken Genius Singapore,252D,21,0.578669,2.915,0.003558,residual column: after_ticker_residual
Chicken Genius Singapore,504D,21,0.579455,2.123,0.033765,residual column: after_ticker_residual
Chicken Genius Singapore,5D,21,0.015792,1.416,0.156892,residual column: after_ticker_residual
Chicken Genius Singapore,63D,21,0.449458,4.232,0.000023,residual column: after_ticker_residual
Chicken Genius Singapore,end_of_sample,21,1.415887,2.946,0.003223,residual column: after_ticker_residual
Chris Sain,126D,8,-0.021920,-0.251,0.801480,residual column: after_ticker_residual
Chris Sain,21D,8,-0.004201,-0.183,0.855019,residual column: after_ticker_residual
Chris Sain,252D,8,-0.100987,-0.767,0.442929,residual column: after_ticker_residual
Chris Sain,504D,8,-0.272771,-2.374,0.017590,residual column: after_ticker_residual
Chris Sain,5D,8,-0.014279,-1.337,0.181327,residual column: after_ticker_residual
Chris Sain,63D,8,0.007572,0.156,0.876021,residual column: after_ticker_residual
Chris Sain,end_of_sample,8,-0.420388,-4.101,0.000041,residual column: after_ticker_residual
Couch Investor,126D,290,-0.071285,-6.433,0.000000,residual column: after_ticker_residual
Couch Investor,21D,290,-0.020273,-3.137,0.001708,residual column: after_ticker_residual
Couch Investor,252D,290,-0.058995,-4.096,0.000042,residual column: after_ticker_residual
Couch Investor,504D,290,-0.145010,-8.931,0.000000,residual column: after_ticker_residual
Couch Investor,5D,290,-0.008330,-2.568,0.010242,residual column: after_ticker_residual
Couch Investor,63D,290,-0.046888,-5.028,0.000000,residual column: after_ticker_residual
Couch Investor,end_of_sample,290,-0.236321,-11.561,0.000000,residual column: after_ticker_residual
Daniel Pronk,126D,200,0.000716,0.037,0.970191,residual column: after_ticker_residual
Daniel Pronk,21D,200,0.000001,0.000,0.999921,residual column: after_ticker_residual
