creator,horizon,event_count,mean_residual,t_stat,p_value,notes
Ale's World of Stocks,126D,19,0.032615,0.698,0.485142,residual column: after_pretrend_residual
Ale's World of Stocks,21D,19,-0.033389,-1.405,0.160062,residual column: after_pretrend_residual
Ale's World of Stocks,252D,19,-0.098419,-1.597,0.110283,residual column: after_pretrend_residual
Ale's World of Stocks,504D,19,-0.025068,-0.320,0.748683,residual column: after_pretrend_residual
Ale's World of Stocks,5D,19,-0.011777,-1.067,0.285953,residual column: after_pretrend_residual
Ale's World of Stocks,63D,19,-0.025546,-0.935,0.349625,residual column: after_pretrend_residual
Ale's World of Stocks,end_of_sample,19,-0.141296,-1.802,0.071512,residual column: after_pretrend_residual
Best of Us Investors,126D,12,-0.039856,-1.069,0.285172,residual column: after_pretrend_residual
Best of Us Investors,21D,12,0.014434,0.665,0.506249,residual column: after_pretrend_residual
Best of Us Investors,252D,12,-0.093588,-2.417,0.015628,residual column: after_pretrend_residual
Best of Us Investors,504D,12,-0.191781,-4.854,0.000001,residual column: after_pretrend_residual
Best of Us Investors,5D,12,-0.013229,-1.140,0.254495,residual column: after_pretrend_residual
Best of Us Investors,63D,12,0.009846,0.294,0.769036,residual column: after_pretrend_residual
Best of Us Investors,end_of_sample,12,-0.291323,-6.596,0.000000,residual column: after_pretrend_residual
Bloomberg Television,126D,3,-0.047074,-2.877,0.004010,residual column: after_pretrend_residual
Bloomberg Television,21D,3,0.039417,1.456,0.145319,residual column: after_pretrend_residual
Bloomberg Television,252D,3,-0.121104,-8.658,0.000000,residual column: after_pretrend_residual
Bloomberg Television,504D,3,-0.219002,-20.897,0.000000,residual column: after_pretrend_residual
Bloomberg Television,5D,3,0.041452,1.330,0.183504,residual column: after_pretrend_residual
Bloomberg Television,63D,3,-0.001209,-0.048,0.961704,residual column: after_pretrend_residual
Bloomberg Television,end_of_sample,3,-0.317299,-72.514,0.000000,residual column: after_pretrend_residual
CNBC Television,126D,3,-0.030857,-430.970,0.000000,residual column: after_pretrend_residual
