creator,horizon,event_count,mean_residual,t_stat,p_value,notes
Ale's World of Stocks,126D,19,-0.010051,-0.187,0.851472,residual column: after_top5_exposure_residual
Ale's World of Stocks,21D,19,-0.037776,-1.696,0.089837,residual column: after_top5_exposure_residual
Ale's World of Stocks,252D,19,-0.170333,-2.607,0.009123,residual column: after_top5_exposure_residual
Ale's World of Stocks,504D,19,-0.124736,-1.320,0.186830,residual column: after_top5_exposure_residual
Ale's World of Stocks,5D,19,-0.012534,-1.162,0.245282,residual column: after_top5_exposure_residual
Ale's World of Stocks,63D,19,-0.053356,-2.275,0.022890,residual column: after_top5_exposure_residual
Ale's World of Stocks,end_of_sample,19,-0.253203,-2.553,0.010666,residual column: after_top5_exposure_residual
Best of Us Investors,126D,12,-0.085333,-3.774,0.000160,residual column: after_top5_exposure_residual
Best of Us Investors,21D,12,0.008042,0.386,0.699495,residual column: after_top5_exposure_residual
Best of Us Investors,252D,12,-0.164354,-8.901,0.000000,residual column: after_top5_exposure_residual
Best of Us Investors,504D,12,-0.287533,-11.754,0.000000,residual column: after_top5_exposure_residual
Best of Us Investors,5D,12,-0.014797,-1.368,0.171351,residual column: after_top5_exposure_residual
Best of Us Investors,63D,12,-0.016783,-0.662,0.508183,residual column: after_top5_exposure_residual
Best of Us Investors,end_of_sample,12,-0.408578,-11.628,0.000000,residual column: after_top5_exposure_residual
Bloomberg Television,126D,3,-0.057604,-1.385,0.165972,residual column: after_top5_exposure_residual
Bloomberg Television,21D,3,0.038419,1.988,0.046759,residual column: after_top5_exposure_residual
Bloomberg Television,252D,3,-0.139143,-1.794,0.072734,residual column: after_top5_exposure_residual
Bloomberg Television,504D,3,-0.244119,-2.142,0.032161,residual column: after_top5_exposure_residual
Bloomberg Television,5D,3,0.041302,1.407,0.159284,residual column: after_top5_exposure_residual
Bloomberg Television,63D,3,-0.008222,-0.871,0.383716,residual column: after_top5_exposure_residual
Bloomberg Television,end_of_sample,3,-0.345017,-2.237,0.025294,residual column: after_top5_exposure_residual
CNBC Television,126D,3,-0.118045,-12.520,0.000000,residual column: after_top5_exposure_residual
CNBC Television,21D,3,0.038882,4.124,0.000037,residual column: after_top5_exposure_residual
CNBC Television,252D,3,-0.235540,-24.981,0.000000,residual column: after_top5_exposure_residual
CNBC Television,504D,3,-0.376923,-39.975,0.000000,residual column: after_top5_exposure_residual
CNBC Television,5D,3,0.039664,2.560,0.010458,residual column: after_top5_exposure_residual
CNBC Television,63D,3,-0.036519,-3.873,0.000107,residual column: after_top5_exposure_residual
CNBC Television,end_of_sample,3,-0.518114,-54.950,0.000000,residual column: after_top5_exposure_residual
Chicken Genius Singapore,126D,21,0.876505,4.525,0.000006,residual column: after_top5_exposure_residual
Chicken Genius Singapore,21D,21,0.104872,2.062,0.039228,residual column: after_top5_exposure_residual
Chicken Genius Singapore,252D,21,0.554683,2.764,0.005715,residual column: after_top5_exposure_residual
Chicken Genius Singapore,504D,21,0.578814,2.090,0.036618,residual column: after_top5_exposure_residual
Chicken Genius Singapore,5D,21,0.012413,1.113,0.265826,residual column: after_top5_exposure_residual
Chicken Genius Singapore,63D,21,0.429426,4.033,0.000055,residual column: after_top5_exposure_residual
Chicken Genius Singapore,end_of_sample,21,1.369920,2.821,0.004786,residual column: after_top5_exposure_residual
Chris Sain,126D,8,0.012118,0.101,0.919425,residual column: after_top5_exposure_residual
Chris Sain,21D,8,0.006998,0.237,0.812700,residual column: after_top5_exposure_residual
Chris Sain,252D,8,-0.037258,-0.201,0.840311,residual column: after_top5_exposure_residual
Chris Sain,504D,8,-0.110377,-0.575,0.565489,residual column: after_top5_exposure_residual
Chris Sain,5D,8,-0.011595,-0.908,0.364112,residual column: after_top5_exposure_residual
Chris Sain,63D,8,0.024276,0.385,0.700207,residual column: after_top5_exposure_residual
Chris Sain,end_of_sample,8,-0.176018,-0.871,0.383528,residual column: after_top5_exposure_residual
Couch Investor,126D,290,-0.074280,-4.663,0.000003,residual column: after_top5_exposure_residual
Couch Investor,21D,290,-0.017702,-2.646,0.008154,residual column: after_top5_exposure_residual
Couch Investor,252D,290,-0.048052,-1.983,0.047357,residual column: after_top5_exposure_residual
Couch Investor,504D,290,-0.122018,-5.169,0.000000,residual column: after_top5_exposure_residual
Couch Investor,5D,290,-0.005730,-1.743,0.081348,residual column: after_top5_exposure_residual
Couch Investor,63D,290,-0.048230,-4.452,0.000008,residual column: after_top5_exposure_residual
Couch Investor,end_of_sample,290,-0.188597,-8.064,0.000000,residual column: after_top5_exposure_residual
Daniel Pronk,126D,200,-0.014677,-0.702,0.482785,residual column: after_top5_exposure_residual
Daniel Pronk,21D,200,0.008021,1.552,0.120773,residual column: after_top5_exposure_residual
Daniel Pronk,252D,200,-0.054571,-2.067,0.038706,residual column: after_top5_exposure_residual
Daniel Pronk,504D,200,0.023777,0.526,0.598866,residual column: after_top5_exposure_residual
Daniel Pronk,5D,200,0.001505,0.450,0.652747,residual column: after_top5_exposure_residual
Daniel Pronk,63D,200,0.009892,0.843,0.399355,residual column: after_top5_exposure_residual
Daniel Pronk,end_of_sample,200,0.079284,1.317,0.187929,residual column: after_top5_exposure_residual
Dividend Bull,126D,9,0.194661,1.156,0.247704,residual column: after_top5_exposure_residual
Dividend Bull,21D,9,0.032904,0.936,0.349428,residual column: after_top5_exposure_residual
Dividend Bull,252D,9,0.244049,1.155,0.248223,residual column: after_top5_exposure_residual
Dividend Bull,504D,9,0.584414,1.566,0.117360,residual column: after_top5_exposure_residual
Dividend Bull,5D,9,-0.010590,-0.737,0.461271,residual column: after_top5_exposure_residual
Dividend Bull,63D,9,0.127412,1.126,0.260345,residual column: after_top5_exposure_residual
Dividend Bull,end_of_sample,9,0.818674,1.677,0.093518,residual column: after_top5_exposure_residual
Dividendology,126D,55,0.025082,0.829,0.407238,residual column: after_top5_exposure_residual
Dividendology,21D,55,0.008769,1.126,0.260080,residual column: after_top5_exposure_residual
Dividendology,252D,55,0.052120,1.064,0.287534,residual column: after_top5_exposure_residual
Dividendology,504D,55,-0.063308,-0.964,0.335138,residual column: after_top5_exposure_residual
Dividendology,5D,55,0.005584,1.270,0.203986,residual column: after_top5_exposure_residual
Dividendology,63D,55,-0.010800,-0.695,0.486798,residual column: after_top5_exposure_residual
Dividendology,end_of_sample,55,-0.116587,-1.708,0.087704,residual column: after_top5_exposure_residual
Dumb Money Live,126D,14,-0.011429,-0.195,0.845556,residual column: after_top5_exposure_residual
Dumb Money Live,21D,14,0.003543,0.125,0.900186,residual column: after_top5_exposure_residual
Dumb Money Live,252D,14,-0.088252,-1.242,0.214161,residual column: after_top5_exposure_residual
Dumb Money Live,504D,14,-0.198429,-2.388,0.016956,residual column: after_top5_exposure_residual
Dumb Money Live,5D,14,-0.026516,-1.582,0.113578,residual column: after_top5_exposure_residual
Dumb Money Live,63D,14,-0.005022,-0.133,0.894303,residual column: after_top5_exposure_residual
Dumb Money Live,end_of_sample,14,-0.305083,-3.147,0.001652,residual column: after_top5_exposure_residual
Everything Money,126D,34,-0.079094,-3.655,0.000258,residual column: after_top5_exposure_residual
Everything Money,21D,34,-0.009621,-0.581,0.561535,residual column: after_top5_exposure_residual
Everything Money,252D,34,-0.116543,-3.345,0.000823,residual column: after_top5_exposure_residual
Everything Money,504D,34,-0.191774,-4.960,0.000001,residual column: after_top5_exposure_residual
Everything Money,5D,34,0.013004,1.042,0.297208,residual column: after_top5_exposure_residual
Everything Money,63D,34,-0.062680,-3.680,0.000233,residual column: after_top5_exposure_residual
Everything Money,end_of_sample,34,-0.268970,-6.084,0.000000,residual column: after_top5_exposure_residual
Financial Education,126D,63,0.125219,2.625,0.008659,residual column: after_top5_exposure_residual
Financial Education,21D,63,0.091926,3.217,0.001296,residual column: after_top5_exposure_residual
Financial Education,252D,63,0.287562,3.782,0.000155,residual column: after_top5_exposure_residual
Financial Education,504D,63,0.294823,3.165,0.001551,residual column: after_top5_exposure_residual
Financial Education,5D,63,0.033393,3.308,0.000941,residual column: after_top5_exposure_residual
Financial Education,63D,63,0.047418,1.250,0.211309,residual column: after_top5_exposure_residual
Financial Education,end_of_sample,63,0.188169,2.079,0.037621,residual column: after_top5_exposure_residual
Graham Stephan,126D,6,-0.171983,-2.680,0.007361,residual column: after_top5_exposure_residual
Graham Stephan,21D,6,0.001766,0.026,0.979498,residual column: after_top5_exposure_residual
Graham Stephan,252D,6,-0.285076,-4.294,0.000018,residual column: after_top5_exposure_residual
Graham Stephan,504D,6,-0.426459,-6.423,0.000000,residual column: after_top5_exposure_residual
Graham Stephan,5D,6,-0.030025,-1.817,0.069147,residual column: after_top5_exposure_residual
Graham Stephan,63D,6,-0.098546,-1.225,0.220559,residual column: after_top5_exposure_residual
Graham Stephan,end_of_sample,6,-0.567651,-8.549,0.000000,residual column: after_top5_exposure_residual
HyperChange,126D,76,-0.079051,-2.483,0.013016,residual column: after_top5_exposure_residual
HyperChange,21D,76,-0.081874,-5.405,0.000000,residual column: after_top5_exposure_residual
HyperChange,252D,76,0.087119,1.993,0.046217,residual column: after_top5_exposure_residual
HyperChange,504D,76,0.079514,1.300,0.193734,residual column: after_top5_exposure_residual
HyperChange,5D,76,-0.012006,-0.915,0.360350,residual column: after_top5_exposure_residual
HyperChange,63D,76,-0.121211,-4.301,0.000017,residual column: after_top5_exposure_residual
HyperChange,end_of_sample,76,-0.060813,-0.957,0.338451,residual column: after_top5_exposure_residual
Investing with Tom,126D,15,-0.041719,-0.756,0.449365,residual column: after_top5_exposure_residual
Investing with Tom,21D,15,0.001915,0.117,0.907192,residual column: after_top5_exposure_residual
Investing with Tom,252D,15,-0.091637,-1.234,0.217195,residual column: after_top5_exposure_residual
Investing with Tom,504D,15,-0.227250,-1.963,0.049698,residual column: after_top5_exposure_residual
Investing with Tom,5D,15,-0.006372,-0.756,0.449679,residual column: after_top5_exposure_residual
Investing with Tom,63D,15,-0.069709,-1.494,0.135254,residual column: after_top5_exposure_residual
Investing with Tom,end_of_sample,15,-0.117688,-0.490,0.623883,residual column: after_top5_exposure_residual
Jose Najarro Stocks,126D,270,0.041411,1.942,0.052132,residual column: after_top5_exposure_residual
Jose Najarro Stocks,21D,270,-0.004224,-0.608,0.543017,residual column: after_top5_exposure_residual
Jose Najarro Stocks,252D,270,0.045242,1.693,0.090408,residual column: after_top5_exposure_residual
Jose Najarro Stocks,504D,270,-0.061756,-2.338,0.019398,residual column: after_top5_exposure_residual
Jose Najarro Stocks,5D,270,-0.002823,-0.865,0.387002,residual column: after_top5_exposure_residual
Jose Najarro Stocks,63D,270,0.060483,3.373,0.000745,residual column: after_top5_exposure_residual
Jose Najarro Stocks,end_of_sample,270,-0.164892,-6.222,0.000000,residual column: after_top5_exposure_residual
Joseph Carlson,126D,44,-0.040929,-1.178,0.238844,residual column: after_top5_exposure_residual
Joseph Carlson,21D,44,0.011415,1.139,0.254880,residual column: after_top5_exposure_residual
Joseph Carlson,252D,44,-0.072149,-1.232,0.218029,residual column: after_top5_exposure_residual
Joseph Carlson,504D,44,-0.157660,-1.750,0.080090,residual column: after_top5_exposure_residual
Joseph Carlson,5D,44,-0.004900,-1.010,0.312462,residual column: after_top5_exposure_residual
Joseph Carlson,63D,44,0.002185,0.104,0.917372,residual column: after_top5_exposure_residual
Joseph Carlson,end_of_sample,44,-0.182433,-1.368,0.171157,residual column: after_top5_exposure_residual
Kenan Grace,126D,8,-0.062840,-1.362,0.173178,residual column: after_top5_exposure_residual
Kenan Grace,21D,8,0.020896,0.776,0.437460,residual column: after_top5_exposure_residual
Kenan Grace,252D,8,-0.154234,-2.610,0.009058,residual column: after_top5_exposure_residual
Kenan Grace,504D,8,-0.254658,-3.645,0.000267,residual column: after_top5_exposure_residual
Kenan Grace,5D,8,0.018162,2.694,0.007066,residual column: after_top5_exposure_residual
Kenan Grace,63D,8,-0.033877,-1.246,0.212645,residual column: after_top5_exposure_residual
Kenan Grace,end_of_sample,8,-0.350520,-4.089,0.000043,residual column: after_top5_exposure_residual
Learn to Invest - Investors Grow,126D,38,0.068796,2.353,0.018604,residual column: after_top5_exposure_residual
