event_id,ticker,creator,recommendation_type,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,actionability_score,interval,start_offset,end_offset,spy_interval_ar,spy_interval_car,right_censored,status,missing_price_reason
1,TSLA,The Investor Channel,buy,True,False,True,False,3,0_5,0,5,-0.131929,-0.138911,False,computed,
1,TSLA,The Investor Channel,buy,True,False,True,False,3,6_20,5,20,-0.033560,-0.027018,False,computed,
1,TSLA,The Investor Channel,buy,True,False,True,False,3,21_63,20,63,-0.057757,-0.043518,False,computed,
1,TSLA,The Investor Channel,buy,True,False,True,False,3,64_126,63,126,-0.349085,-0.368361,False,computed,
1,TSLA,The Investor Channel,buy,True,False,True,False,3,127_252,126,252,0.238867,0.279320,False,computed,
1,TSLA,The Investor Channel,buy,True,False,True,False,3,253_504,252,504,0.840908,0.771448,False,computed,
1,TSLA,The Investor Channel,buy,True,False,True,False,3,505_end_of_sample,504,end_of_sample,-0.110076,-0.061041,False,computed,
2,GOOGL,The Investor Channel,buy,False,False,True,True,3,0_5,0,5,0.011080,0.011322,False,computed,
2,GOOGL,The Investor Channel,buy,False,False,True,True,3,6_20,5,20,-0.068305,-0.062133,False,computed,
2,GOOGL,The Investor Channel,buy,False,False,True,True,3,21_63,20,63,-0.007596,-0.003878,False,computed,
2,GOOGL,The Investor Channel,buy,False,False,True,True,3,64_126,63,126,0.020072,0.027423,False,computed,
2,GOOGL,The Investor Channel,buy,False,False,True,True,3,127_252,126,252,-0.084403,-0.061976,False,computed,
2,GOOGL,The Investor Channel,buy,False,False,True,True,3,253_504,252,504,0.377769,0.315138,False,computed,
2,GOOGL,The Investor Channel,buy,False,False,True,True,3,505_end_of_sample,504,end_of_sample,0.468016,0.370901,False,computed,
3,AMZN,The Investor Channel,buy,True,False,True,True,3,0_5,0,5,-0.015281,-0.014744,False,computed,
3,AMZN,The Investor Channel,buy,True,False,True,True,3,6_20,5,20,-0.036601,-0.034521,False,computed,
3,AMZN,The Investor Channel,buy,True,False,True,True,3,21_63,20,63,0.051497,0.060826,False,computed,
3,AMZN,The Investor Channel,buy,True,False,True,True,3,64_126,63,126,0.088768,0.087090,False,computed,
3,AMZN,The Investor Channel,buy,True,False,True,True,3,127_252,126,252,0.051356,0.054584,False,computed,
3,AMZN,The Investor Channel,buy,True,False,True,True,3,253_504,252,504,0.055663,0.087091,False,computed,
3,AMZN,The Investor Channel,buy,True,False,True,True,3,505_end_of_sample,504,end_of_sample,-0.007706,0.027818,False,computed,
4,NVDA,The Investor Channel,buy,True,False,True,False,3,0_5,0,5,-0.021042,-0.018914,False,computed,
4,NVDA,The Investor Channel,buy,True,False,True,False,3,6_20,5,20,0.029973,0.031962,False,computed,
4,NVDA,The Investor Channel,buy,True,False,True,False,3,21_63,20,63,-0.018202,-0.005732,False,computed,
