name,n_events,mean_spy_bhar_5D,mean_spy_bhar_21D,mean_spy_bhar_63D,share_of_sample,rank
The Investor Channel,494,0.006697622982513617,0.02309613909299958,0.06084063751618991,0.2127476313522825,1
Couch Investor,290,-0.0069536010220242585,-0.021499872716398416,-0.029882094201963784,0.12489233419465978,2
Jose Najarro Stocks,270,-0.0012888267442626841,0.002322393171134073,0.11526803738747286,0.11627906976744186,3
"Mark Roussin, CPA",213,0.005511000407898545,0.010593325971167994,0.04768001740177959,0.0917312661498708,4
Daniel Pronk,200,0.0012141076249894327,0.0077198150318519435,0.040558373337910805,0.08613264427217916,5
"Parkev Tatevosian, CFA",127,-0.010291835762732685,0.001739596428803175,0.037602196649350356,0.05469422911283377,6
HyperChange,76,-0.008080008485318107,-0.06636093493038538,-0.034837613715907455,0.03273040482342808,7
Ticker Symbol: YOU,66,-0.0017365017694154579,0.016057429963250776,0.08363243034113199,0.028423772609819122,8
Financial Education,63,0.03519337181571205,0.09946685006217201,0.10570860884786024,0.027131782945736434,9
Dividendology,55,0.0033562245327735485,0.0012084196863880923,-0.005708797095360047,0.023686477174849268,10
Sasha Yanshin,49,-0.006946089679685684,-0.020955850488670644,0.04047204868613641,0.021102497846683894,11
Joseph Carlson,44,-0.004432266246115618,0.013958899519145938,0.042872847938030784,0.018949181739879414,12
"Value Investing with Sven Carlin, Ph.D.",43,0.003969512890344958,0.02531789714222683,0.06826615383170394,0.018518518518518517,13
Learn to Invest - Investors Grow,38,0.03625379201660452,0.03988142566350827,0.09534287881890802,0.01636520241171404,14
Everything Money,34,0.012580803644090017,-0.010414832916297268,-0.03375038833890662,0.014642549526270457,15
ZipTrader,33,-0.09023863028049495,-0.3186002156165379,-0.33048340518570946,0.014211886304909561,16
New Money,28,0.006649827666219432,0.002842819614659282,0.0361193042209153,0.012058570198105082,17
Chicken Genius Singapore,21,0.016819099553350793,0.1221850580126325,0.5221398830244185,0.00904392764857881,18
Ale's World of Stocks,19,-0.009088423364820648,-0.024063052438902954,0.026676356852788113,0.00818260120585702,19
STOCK UP! with LARRY JONES,19,-0.007343868821918773,-0.024218908745764576,-0.022683384446776783,0.00818260120585702,20
Tom Nash,18,0.02458181707253354,0.08778864807780365,0.08874675797295893,0.007751937984496124,21
Investing with Tom,15,-0.005006501863629087,0.007827865109025141,-0.017155489219592184,0.006459948320413436,22
Dumb Money Live,14,-0.024716469307452436,0.011083845664733737,0.05326882040758419,0.006029285099052541,23
Meet Kevin,12,0.005517138982670107,-0.01128512920059479,-0.04837452498053133,0.00516795865633075,24
Best of Us Investors,12,-0.011910769879030924,0.019655241821321508,0.055851057282545025,0.00516795865633075,25
The Swedish Investor,11,-0.0006465950750528088,0.0007296973746498706,0.03654064978924866,0.004737295434969853,26
Stock Moe,10,0.00452036500807112,-0.0240536801663295,-0.054191322850593956,0.004306632213608958,27
The Plain Bagel,10,0.01311388965654233,-0.05104899654207895,-0.01486760352631456,0.004306632213608958,28
Dividend Bull,9,-0.008211310284216946,0.042616630229931535,0.19335224980907476,0.003875968992248062,29
Chris Sain,8,-0.012889424362167187,0.0029352391553733644,0.0416888827444363,0.0034453057708871662,30
Kenan Grace,8,0.019147488900129662,0.025383441907606143,0.013656971492903326,0.0034453057708871662,31
Graham Stephan,6,-0.025619349397099433,0.0190791262444921,-0.0058316749882115215,0.002583979328165375,32
Bloomberg Television,3,0.04266812576460393,0.04433177794454204,0.04433177794454204,0.0012919896640826874,33
CNBC Television,3,0.04406989662160917,0.05619572936465924,0.05619572936465924,0.0012919896640826874,34
Minority Mindset,1,-0.1388291288738472,-0.0928070568100151,0.084412955153396,0.0004306632213608958,35
