name,n_events,mean_spy_bhar_5D,mean_spy_bhar_21D,mean_spy_bhar_63D,share_of_sample,rank
NVDA,391,0.006398501574689741,0.021029949213770667,0.09956670461112764,0.16838931955211026,1
TSLA,307,0.0010344136423227116,0.010691643519580398,0.073861684357563,0.132213608957795,2
AMZN,246,0.0008846792986290407,0.009560375528480363,0.049092561566287905,0.10594315245478036,3
GOOGL,240,0.010971385877037994,0.026444334891877773,0.06906396725013723,0.10335917312661498,4
AAPL,231,0.0007531769527819514,0.004648949975617079,0.010527554601621698,0.09948320413436693,5
MSFT,226,-0.0058274945615175355,-0.013294645336922177,-0.02065097965765759,0.09732988802756244,6
AMD,187,0.014920265109005015,0.04625631394916843,0.2682468299563125,0.08053402239448751,7
META,112,-0.005152879903281063,-0.012255310961890422,-0.04710711373677876,0.04823428079242033,8
PYPL,99,-0.005000224814848991,-0.028474275304321922,-0.12984592351442367,0.04263565891472868,9
NFLX,92,0.004266891585044249,0.006591296347090489,0.04463194830962216,0.03962101636520241,10
SOFI,61,-0.0027735492385846444,-0.058551252067714825,-0.13829589925737645,0.02627045650301464,11
UBER,50,-0.014350397336262333,-0.02404360079010116,-0.04397769024893591,0.02153316106804479,12
DIS,32,0.006137375935919779,0.01122142648106044,0.024189766751664142,0.013781223083548665,13
AMC,20,-0.1699873634798115,-0.5117868691549167,-0.5386707922613374,0.008613264427217916,14
PLTR,12,-0.02706473569777214,-0.08271616027072405,-0.1960546678580571,0.00516795865633075,15
HOOD,9,-0.08002750365909489,-0.028725879924006652,-0.1078708863994124,0.003875968992248062,16
CRM,5,-0.0037517216975834996,-0.01470472765997986,-0.04477788155327413,0.002153316106804479,17
COIN,1,-0.0564771412771638,-0.1672148554447362,-0.5051254540292219,0.0004306632213608958,18
ROKU,1,0.0471836016491156,0.172079674999299,0.146404228014763,0.0004306632213608958,19
