event_id,video_id,ticker,company_name,creator,publish_date,recommendation_type,event_quality_score,classification_confidence,direction_confidence,ticker_disambiguation_score,evidence_verb_count,explicit_buy_sell_hold_terms,conditional_language_flag,ambiguous_language_flag,historical_discussion_flag,option_or_crypto_confusion_flag,ticker_false_positive_risk,duplicate_cluster_id,duplicate_nearby_event_count,lookahead_risk_score,low_lookahead_flag,top5_flag,evidence_excerpt_short_hash,reason_codes,confidence_bucket
1,-AtxEBm7naw,TSLA,Tesla,The Investor Channel,2023-10-13,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,1e5dbe5b627fdb00,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
2,-AtxEBm7naw,GOOGL,Alphabet,The Investor Channel,2023-10-13,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,6a193449b981da87,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
3,-GlySQJDMq0,AMZN,Amazon,The Investor Channel,2023-06-23,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,a0665e51ce01bd9e,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
4,-GlySQJDMq0,NVDA,Nvidia,The Investor Channel,2023-06-23,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,0924f2d3e86f2ba4,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
5,-GlySQJDMq0,TSLA,Tesla,The Investor Channel,2023-06-23,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,bb1aaae8061e44bd,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
6,0HEghfHYEk4,PYPL,PayPal,"Parkev Tatevosian, CFA",2026-03-07,buy,2,50,50,90,1,buy,True,True,False,False,False,,,20,True,False,250c8ff15ca80eab,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
7,0RRkXdEEnLE,MSFT,Microsoft,"Parkev Tatevosian, CFA",2026-02-06,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,7231e2013744f965,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
8,0RRkXdEEnLE,UBER,Uber,"Parkev Tatevosian, CFA",2026-02-06,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,4ebda6a6bddf78bc,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
9,0RRkXdEEnLE,NVDA,Nvidia,"Parkev Tatevosian, CFA",2026-02-06,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,cae7ab6f2864069c,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
10,0RRkXdEEnLE,NFLX,Netflix,"Parkev Tatevosian, CFA",2026-02-06,buy,3,70,70,90,1,buy,False,False,False,False,False,,,20,True,False,a9d30bc76403a89a,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
11,0d64alYucZQ,NFLX,Netflix,The Investor Channel,2023-02-10,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,5f9a644e84f7e1fb,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
12,0dWfXNl_uFg,AMZN,Amazon,The Investor Channel,2023-06-16,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,9f6fed5dcfc9e574,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
13,0dWfXNl_uFg,NFLX,Netflix,The Investor Channel,2023-06-16,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,e68fa04e5a812f4f,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
14,0dWfXNl_uFg,NVDA,Nvidia,The Investor Channel,2023-06-16,sell,2,45,45,90,1,sell,True,True,False,False,False,,,70,False,True,63dce4153d7c9db6,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
15,0dWfXNl_uFg,TSLA,Tesla,The Investor Channel,2023-06-16,sell,3,65,65,90,1,sell,False,False,False,False,False,,,70,False,True,7bfde1399d5288b8,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
16,10KzfNZryVI,GOOGL,Alphabet,"Mark Roussin, CPA",2024-01-08,buy,3,60,60,90,1,buy,False,False,False,False,False,,,70,False,False,369145515e2bfc41,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
17,10KzfNZryVI,TSLA,Tesla,"Mark Roussin, CPA",2024-01-08,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,d3066f2fb5430f24,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
18,1U8L8x1VUFE,TSLA,Tesla,"Mark Roussin, CPA",2023-08-18,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,34a15e1cc4caaa11,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
19,1U8L8x1VUFE,AAPL,Apple,"Mark Roussin, CPA",2023-08-18,buy,3,75,75,90,1,buy,False,False,False,False,False,,,20,True,True,5ff60ce99193fd2d,proxy_quality_from_locked_manifest_no_transcript_text_exported,high
20,1X7DdlfHaRw,AMZN,Amazon,The Investor Channel,2023-03-03,buy,3,65,65,90,1,buy,False,False,False,False,False,,,70,False,True,11d2da5545319fd2,proxy_quality_from_locked_manifest_no_transcript_text_exported,medium
