sample,horizon,return_type,n,mean,mean_pct,standard_error,median,t_stat,p_value,win_rate,right_censored
high_confidence,5D,spy_bhar,492,0.003734,0.373%,0.002310,-0.000277,1.617,0.105916,0.489837,2
high_confidence,21D,spy_bhar,492,0.018498,1.850%,0.006162,0.005192,3.002,0.002685,0.526423,23
high_confidence,63D,spy_bhar,492,0.087808,8.781%,0.011974,0.023583,7.333,0.000000,0.554878,82
high_confidence,126D,spy_bhar,492,0.143493,14.349%,0.017935,0.054511,8.000,0.000000,0.615854,129
high_confidence,252D,spy_bhar,492,0.247530,24.753%,0.024272,0.112584,10.198,0.000000,0.693089,234
medium_or_high_confidence,5D,spy_bhar,2233,0.000256,0.026%,0.001302,-0.001417,0.197,0.843868,0.482759,21
medium_or_high_confidence,21D,spy_bhar,2233,0.002531,0.253%,0.002772,-0.002172,0.913,0.361144,0.494402,145
medium_or_high_confidence,63D,spy_bhar,2233,0.043247,4.325%,0.004942,0.009714,8.752,0.000000,0.520824,350
medium_or_high_confidence,126D,spy_bhar,2233,0.085264,8.526%,0.007273,0.031776,11.723,0.000000,0.562920,702
medium_or_high_confidence,252D,spy_bhar,2233,0.157618,15.762%,0.010032,0.069590,15.712,0.000000,0.602777,1041
excluding_ambiguous,5D,spy_bhar,2156,0.000083,0.008%,0.001326,-0.001687,0.063,0.949825,0.480983,17
excluding_ambiguous,21D,spy_bhar,2156,0.001919,0.192%,0.002816,-0.002172,0.681,0.495643,0.493506,128
excluding_ambiguous,63D,spy_bhar,2156,0.043561,4.356%,0.005038,0.010907,8.646,0.000000,0.523191,313
excluding_ambiguous,126D,spy_bhar,2156,0.086006,8.601%,0.007445,0.032348,11.552,0.000000,0.565399,662
excluding_ambiguous,252D,spy_bhar,2156,0.159892,15.989%,0.010295,0.069693,15.531,0.000000,0.605288,992
excluding_ticker_false_positive_risk,5D,spy_bhar,2322,0.000635,0.064%,0.001279,-0.001388,0.496,0.619606,0.484065,23
excluding_ticker_false_positive_risk,21D,spy_bhar,2322,0.003173,0.317%,0.002697,-0.001731,1.176,0.239438,0.495263,149
excluding_ticker_false_positive_risk,63D,spy_bhar,2322,0.042903,4.290%,0.004830,0.009641,8.882,0.000000,0.521102,362
excluding_ticker_false_positive_risk,126D,spy_bhar,2322,0.084560,8.456%,0.007103,0.032062,11.905,0.000000,0.562446,730
excluding_ticker_false_positive_risk,252D,spy_bhar,2322,0.157459,15.746%,0.009822,0.068101,16.032,0.000000,0.601637,1084
top5_high_confidence,5D,spy_bhar,445,0.003986,0.399%,0.002480,-0.000258,1.607,0.107990,0.492135,2
top5_high_confidence,21D,spy_bhar,445,0.022475,2.248%,0.006630,0.006069,3.390,0.000699,0.541573,22
top5_high_confidence,63D,spy_bhar,445,0.100662,10.066%,0.012782,0.037038,7.875,0.000000,0.579775,76
top5_high_confidence,126D,spy_bhar,445,0.166966,16.697%,0.019060,0.075530,8.760,0.000000,0.644944,113
top5_high_confidence,252D,spy_bhar,445,0.284139,28.414%,0.025569,0.118196,11.112,0.000000,0.732584,203
non_top_high_confidence,5D,spy_bhar,47,0.001349,0.135%,0.005813,-0.006213,0.232,0.816523,0.468085,0
non_top_high_confidence,21D,spy_bhar,47,-0.019160,-1.916%,0.013847,-0.027884,-1.384,0.166432,0.382979,1
non_top_high_confidence,63D,spy_bhar,47,-0.033895,-3.389%,0.027107,-0.042738,-1.250,0.211151,0.319149,6
non_top_high_confidence,126D,spy_bhar,47,-0.078752,-7.875%,0.039442,-0.139196,-1.997,0.045865,0.340426,16
non_top_high_confidence,252D,spy_bhar,47,-0.099094,-9.909%,0.056469,-0.202004,-1.755,0.079287,0.319149,31
