event_id,video_id,ticker,company_name,creator,publish_date,recommendation_type,event_quality_score,classification_confidence,direction_confidence,ticker_disambiguation_score,evidence_verb_count,explicit_buy_sell_hold_terms,conditional_language_flag,ambiguous_language_flag,historical_discussion_flag,option_or_crypto_confusion_flag,ticker_false_positive_risk,duplicate_cluster_id,duplicate_nearby_event_count,lookahead_risk_score,low_lookahead_flag,top5_flag,evidence_excerpt_short_hash,reason_codes,confidence_bucket
88,GVA7lniVgiU,META,Meta,"Parkev Tatevosian, CFA",2026-02-24,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,e8816c3d8af783aa,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
121,Kf5IeXjfEV0,GOOGL,Alphabet,"Mark Roussin, CPA",2023-07-05,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,aefb6c9d39a9859a,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
138,MdBJZubgoCU,PYPL,PayPal,Jose Najarro Stocks,2025-08-19,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,bce427d0ef38987e,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
176,SD5NKdETIs0,UBER,Uber,"Parkev Tatevosian, CFA",2026-03-03,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,34ab1275877a1239,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
177,SFBjjF7uLeY,MSFT,Microsoft,The Investor Channel,2023-01-25,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,83df7664134e28cd,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
237,bybEREMXLTA,MSFT,Microsoft,"Parkev Tatevosian, CFA",2026-02-24,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,37c3a4df7a1a90ba,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
274,hxiv9hXcyz4,MSFT,Microsoft,Dividendology,2025-01-10,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,4d3abb8a6e31c6e4,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
481,HcjSjEiIw4s,META,Meta,Daniel Pronk,2022-02-17,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,f1edff524b21f7d3,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
486,IUUDPM8NXgA,GOOGL,Alphabet,"Parkev Tatevosian, CFA",2026-03-27,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,77e6ace9c977ab33,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
504,N2abqrg8TyA,GOOGL,Alphabet,The Investor Channel,2024-04-25,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,72794867a996f2c0,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
522,PmODfnAbAq0,META,Meta,Couch Investor,2025-11-04,sell,2,40,40,90,1,sell,True,True,False,False,False,,,70,False,False,82363321a6cd8552,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
523,PmODfnAbAq0,GOOGL,Alphabet,Couch Investor,2025-11-04,sell,2,40,40,90,1,sell,True,True,False,False,False,,,70,False,False,290b6ef15003f47a,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
595,e067Z5l9jPE,ROKU,Roku,"Parkev Tatevosian, CFA",2026-04-08,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,78ba8dae5faec5a2,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
683,4RbHcZBVnoA,PYPL,PayPal,Couch Investor,2025-11-20,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,929b5d3cfb193851,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
735,Pi2GdZ3dx2k,UBER,Uber,Couch Investor,2025-11-20,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,1d2086f9759bc056,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
739,S-l7D8KmXy8,GOOGL,Alphabet,The Investor Channel,2024-08-16,buy,2,40,40,90,1,buy,True,True,False,False,False,,,70,False,False,bcf1e54044e82e01,proxy_quality_from_locked_manifest_no_transcript_text_exported,low
