sample,model,horizon,n,mean_alpha,mean_alpha_pct,standard_error,t_stat,p_value,win_rate,bh_q_value
all,CAPM,126D,1466,0.000831,0.083%,0.008736,0.095,0.924257,0.450205,0.962022
all,CAPM,21D,2048,-0.012184,-1.218%,0.002727,-4.468,0.000008,0.430664,0.000300
all,CAPM,252D,1203,-0.001088,-0.109%,0.013623,-0.080,0.936368,0.440565,0.962022
all,CAPM,5D,2119,-0.003068,-0.307%,0.001284,-2.389,0.016874,0.461538,0.081000
all,CAPM,63D,1760,-0.012055,-1.205%,0.004978,-2.422,0.015452,0.406250,0.079924
all,Carhart,126D,1466,0.018739,1.874%,0.008433,2.222,0.026268,0.465211,0.103689
all,Carhart,21D,2048,-0.008714,-0.871%,0.002620,-3.326,0.000882,0.433105,0.010136
all,Carhart,252D,1203,0.041902,4.190%,0.013905,3.013,0.002583,0.482959,0.021525
all,Carhart,5D,2119,-0.001096,-0.110%,0.001218,-0.900,0.368045,0.468617,0.538723
all,Carhart,63D,1760,-0.000390,-0.039%,0.004793,-0.081,0.935159,0.463636,0.962022
all,FF3,126D,1466,0.017926,1.793%,0.008341,2.149,0.031628,0.478172,0.108641
all,FF3,21D,2048,-0.008686,-0.869%,0.002621,-3.314,0.000920,0.437500,0.010136
all,FF3,252D,1203,0.029015,2.902%,0.013413,2.163,0.030531,0.463009,0.108641
all,FF3,5D,2119,-0.001116,-0.112%,0.001233,-0.905,0.365363,0.467673,0.538723
all,FF3,63D,1760,0.002262,0.226%,0.004783,0.473,0.636289,0.462500,0.788788
all,FF5,126D,1466,0.019008,1.901%,0.008613,2.207,0.027324,0.479536,0.105092
all,FF5,21D,2048,-0.006273,-0.627%,0.002635,-2.381,0.017280,0.466309,0.081000
all,FF5,252D,1203,0.049566,4.957%,0.013021,3.807,0.000141,0.524522,0.003021
all,FF5,5D,2119,-0.000829,-0.083%,0.001235,-0.671,0.502017,0.485134,0.660711
all,FF5,63D,1760,0.005468,0.547%,0.004905,1.115,0.264949,0.471023,0.443423
all,FF5_MOM,126D,1466,0.021159,2.116%,0.008719,2.427,0.015233,0.482947,0.079924
all,FF5_MOM,21D,2048,-0.006120,-0.612%,0.002594,-2.359,0.018320,0.461914,0.083273
all,FF5_MOM,252D,1203,0.060210,6.021%,0.013554,4.442,0.000009,0.538653,0.000300
