sample,model,horizon,n,mean_alpha,mean_alpha_pct,standard_error,t_stat,p_value,win_rate,bh_q_value,regression_type
all,CAPM,21D,2048,-0.012184,-1.218%,0.002727,-4.468,0.000008,0.430664,0.000300,event_level_beta_estimated_summary_not_hac_calendar_time
all,CAPM,63D,1760,-0.012055,-1.205%,0.004978,-2.422,0.015452,0.406250,0.079924,event_level_beta_estimated_summary_not_hac_calendar_time
all,Carhart,21D,2048,-0.008714,-0.871%,0.002620,-3.326,0.000882,0.433105,0.010136,event_level_beta_estimated_summary_not_hac_calendar_time
all,Carhart,63D,1760,-0.000390,-0.039%,0.004793,-0.081,0.935159,0.463636,0.962022,event_level_beta_estimated_summary_not_hac_calendar_time
all,FF3,21D,2048,-0.008686,-0.869%,0.002621,-3.314,0.000920,0.437500,0.010136,event_level_beta_estimated_summary_not_hac_calendar_time
all,FF3,63D,1760,0.002262,0.226%,0.004783,0.473,0.636289,0.462500,0.788788,event_level_beta_estimated_summary_not_hac_calendar_time
all,FF5,21D,2048,-0.006273,-0.627%,0.002635,-2.381,0.017280,0.466309,0.081000,event_level_beta_estimated_summary_not_hac_calendar_time
all,FF5,63D,1760,0.005468,0.547%,0.004905,1.115,0.264949,0.471023,0.443423,event_level_beta_estimated_summary_not_hac_calendar_time
all,FF5_MOM,21D,2048,-0.006120,-0.612%,0.002594,-2.359,0.018320,0.461914,0.083273,event_level_beta_estimated_summary_not_hac_calendar_time
all,FF5_MOM,63D,1760,0.003812,0.381%,0.004935,0.773,0.439818,0.489205,0.610858,event_level_beta_estimated_summary_not_hac_calendar_time
top5,CAPM,21D,1234,-0.011144,-1.114%,0.003618,-3.080,0.002067,0.427066,0.018238,event_level_beta_estimated_summary_not_hac_calendar_time
top5,CAPM,63D,1078,-0.005240,-0.524%,0.006729,-0.779,0.436130,0.410019,0.610858,event_level_beta_estimated_summary_not_hac_calendar_time
top5,Carhart,21D,1234,-0.006245,-0.624%,0.003451,-1.809,0.070380,0.428687,0.173611,event_level_beta_estimated_summary_not_hac_calendar_time
top5,Carhart,63D,1078,0.008348,0.835%,0.006327,1.319,0.187039,0.478664,0.374264,event_level_beta_estimated_summary_not_hac_calendar_time
top5,FF3,21D,1234,-0.006777,-0.678%,0.003476,-1.950,0.051204,0.435981,0.144917,event_level_beta_estimated_summary_not_hac_calendar_time
top5,FF3,63D,1078,0.012094,1.209%,0.006423,1.883,0.059726,0.476809,0.152705,event_level_beta_estimated_summary_not_hac_calendar_time
top5,FF5,21D,1234,-0.003962,-0.396%,0.003451,-1.148,0.250823,0.466775,0.432453,event_level_beta_estimated_summary_not_hac_calendar_time
