event_id,ticker,creator,recommendation_type,event_date,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_cluster_id,status
1,TSLA,The Investor Channel,buy,2023-10-13,1D,SPY_adjusted,0.000629,True,False,1,computed
1,TSLA,The Investor Channel,buy,2023-10-13,1D,FF3,-0.018252,True,False,1,computed
1,TSLA,The Investor Channel,buy,2023-10-13,1D,FF5,-0.010553,True,False,1,computed
1,TSLA,The Investor Channel,buy,2023-10-13,1D,Carhart,-0.018025,True,False,1,computed
1,TSLA,The Investor Channel,buy,2023-10-13,5D,SPY_adjusted,-0.131929,True,False,1,computed
1,TSLA,The Investor Channel,buy,2023-10-13,5D,FF3,-0.110324,True,False,1,computed
1,TSLA,The Investor Channel,buy,2023-10-13,5D,FF5,-0.088588,True,False,1,computed
1,TSLA,The Investor Channel,buy,2023-10-13,5D,Carhart,-0.118430,True,False,1,computed
2,GOOGL,The Investor Channel,buy,2023-10-13,1D,SPY_adjusted,0.002146,False,False,2,computed
2,GOOGL,The Investor Channel,buy,2023-10-13,1D,FF3,-0.000305,False,False,2,computed
2,GOOGL,The Investor Channel,buy,2023-10-13,1D,FF5,0.002632,False,False,2,computed
2,GOOGL,The Investor Channel,buy,2023-10-13,1D,Carhart,-0.000295,False,False,2,computed
2,GOOGL,The Investor Channel,buy,2023-10-13,5D,SPY_adjusted,0.011080,False,False,2,computed
2,GOOGL,The Investor Channel,buy,2023-10-13,5D,FF3,0.014052,False,False,2,computed
2,GOOGL,The Investor Channel,buy,2023-10-13,5D,FF5,0.019450,False,False,2,computed
2,GOOGL,The Investor Channel,buy,2023-10-13,5D,Carhart,0.013699,False,False,2,computed
3,AMZN,The Investor Channel,buy,2023-06-23,1D,SPY_adjusted,-0.011379,True,False,3,computed
3,AMZN,The Investor Channel,buy,2023-06-23,1D,FF3,0.003753,True,False,3,computed
3,AMZN,The Investor Channel,buy,2023-06-23,1D,FF5,0.004029,True,False,3,computed
3,AMZN,The Investor Channel,buy,2023-06-23,1D,Carhart,-0.004047,True,False,3,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,SPY_adjusted,-0.015281,True,False,3,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,FF3,-0.023374,True,False,3,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,FF5,-0.021125,True,False,3,computed
3,AMZN,The Investor Channel,buy,2023-06-23,5D,Carhart,-0.018895,True,False,3,computed
4,NVDA,The Investor Channel,buy,2023-06-23,1D,SPY_adjusted,-0.033276,True,False,4,computed
4,NVDA,The Investor Channel,buy,2023-06-23,1D,FF3,-0.018169,True,False,4,computed
4,NVDA,The Investor Channel,buy,2023-06-23,1D,FF5,-0.018613,True,False,4,computed
4,NVDA,The Investor Channel,buy,2023-06-23,1D,Carhart,-0.014031,True,False,4,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,SPY_adjusted,-0.021042,True,False,4,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,FF3,-0.059106,True,False,4,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,FF5,-0.059836,True,False,4,computed
4,NVDA,The Investor Channel,buy,2023-06-23,5D,Carhart,-0.061482,True,False,4,computed
5,TSLA,The Investor Channel,buy,2023-06-23,1D,SPY_adjusted,-0.056514,True,False,5,computed
5,TSLA,The Investor Channel,buy,2023-06-23,1D,FF3,-0.041910,True,False,5,computed
5,TSLA,The Investor Channel,buy,2023-06-23,1D,FF5,-0.038535,True,False,5,computed
5,TSLA,The Investor Channel,buy,2023-06-23,1D,Carhart,-0.066841,True,False,5,computed
5,TSLA,The Investor Channel,buy,2023-06-23,5D,SPY_adjusted,-0.003097,True,False,5,computed
5,TSLA,The Investor Channel,buy,2023-06-23,5D,FF3,-0.035075,True,False,5,computed
5,TSLA,The Investor Channel,buy,2023-06-23,5D,FF5,-0.011767,True,False,5,computed
