strategy,sequence,event_date,equity,drawdown
long_all_buys,1,2020-02-21,0.479509,-0.520491
long_all_buys,2,2020-02-21,0.229929,-0.770071
long_all_buys,3,2020-04-30,0.251988,-0.748012
long_all_buys,4,2020-05-18,0.306535,-0.693465
long_all_buys,5,2020-05-22,0.375153,-0.624847
long_all_buys,6,2020-06-01,0.450119,-0.549881
long_all_buys,7,2020-06-05,0.705243,-0.294757
long_all_buys,8,2020-06-15,1.098563,0.000000
long_all_buys,9,2020-06-22,1.756521,0.000000
long_all_buys,10,2020-07-10,1.608756,-0.084124
long_all_buys,11,2020-07-10,1.473421,-0.161171
long_all_buys,12,2020-07-12,1.458663,-0.169572
long_all_buys,13,2020-07-12,1.444053,-0.177890
long_all_buys,14,2020-07-13,1.322117,-0.247310
long_all_buys,15,2020-11-27,1.499898,-0.146097
long_all_buys,16,2021-03-08,1.644628,-0.063701
long_all_buys,17,2021-04-01,1.768075,0.000000
long_all_buys,18,2021-05-04,1.706953,-0.034570
long_all_buys,19,2021-05-14,1.730530,-0.021235
long_all_buys,20,2021-06-04,1.901062,0.000000
long_all_buys,21,2021-07-17,1.731551,-0.089166
long_all_buys,22,2021-07-19,1.779446,-0.063973
long_all_buys,23,2021-08-02,1.840316,-0.031954
long_all_buys,24,2021-09-13,1.947048,0.000000
long_all_buys,25,2021-09-13,2.059970,0.000000
long_all_buys,26,2021-09-13,1.766268,-0.142576
long_all_buys,27,2021-09-13,1.654645,-0.196763
long_all_buys,28,2021-12-05,1.780238,-0.135794
long_all_buys,29,2021-12-05,1.915364,-0.070198
long_all_buys,30,2021-12-05,2.060747,0.000000
long_all_buys,31,2021-12-10,2.151578,0.000000
long_all_buys,32,2021-12-21,2.158510,0.000000
long_all_buys,33,2021-12-31,1.896714,-0.121285
long_all_buys,34,2022-01-20,1.626790,-0.246337
long_all_buys,35,2022-02-17,1.652328,-0.234505
long_all_buys,36,2022-02-17,1.678267,-0.222488
long_all_buys,37,2022-02-17,1.704613,-0.210283
long_all_buys,38,2022-02-17,1.731373,-0.197885
long_all_buys,39,2022-05-26,1.794746,-0.168526
long_all_buys,40,2022-05-26,1.860439,-0.138091
long_all_buys,41,2022-06-06,1.853365,-0.141368
long_all_buys,42,2022-06-06,1.638254,-0.241025
long_all_buys,43,2022-06-06,1.448111,-0.329116
long_all_buys,44,2022-06-06,1.468817,-0.319523
long_all_buys,45,2022-06-06,1.365569,-0.367356
long_all_buys,46,2022-06-06,1.269577,-0.411827
long_all_buys,47,2022-06-06,1.264750,-0.414063
long_all_buys,48,2022-06-06,1.117957,-0.482070
long_all_buys,49,2022-06-24,1.193607,-0.447023
long_all_buys,50,2022-07-06,1.485449,-0.311817
long_all_buys,51,2022-08-15,1.273909,-0.409820
long_all_buys,52,2022-08-19,1.122902,-0.479779
long_all_buys,53,2022-08-19,0.989795,-0.541445
long_all_buys,54,2022-08-19,0.851615,-0.605462
long_all_buys,55,2022-08-23,0.746867,-0.653989
long_all_buys,56,2022-09-12,0.612321,-0.716322
long_all_buys,57,2022-09-12,0.535231,-0.752037
long_all_buys,58,2022-09-20,0.405722,-0.812036
long_all_buys,59,2022-09-20,0.290783,-0.865286
long_all_buys,60,2022-09-20,0.285714,-0.867634
long_all_buys,61,2022-09-20,0.280734,-0.869941
long_all_buys,62,2022-09-20,0.212805,-0.901411
long_all_buys,63,2022-09-30,0.211570,-0.901983
long_all_buys,64,2022-09-30,0.238426,-0.889541
long_all_buys,65,2022-10-02,0.251555,-0.883459
long_all_buys,66,2022-10-02,0.265407,-0.877042
long_all_buys,67,2022-10-11,0.314743,-0.854185
long_all_buys,68,2022-10-15,0.319840,-0.851824
long_all_buys,69,2022-10-17,0.325019,-0.849425
long_all_buys,70,2022-10-19,0.351532,-0.837142
long_all_buys,71,2022-10-25,0.288666,-0.866266
long_all_buys,72,2022-11-02,0.293966,-0.863811
long_all_buys,73,2022-11-02,0.299363,-0.861311
long_all_buys,74,2022-11-02,0.382097,-0.822981
long_all_buys,75,2022-11-02,0.389112,-0.819731
long_all_buys,76,2022-11-02,0.396255,-0.816422
long_all_buys,77,2022-11-02,0.505768,-0.765687
long_all_buys,78,2022-11-09,0.553167,-0.743728
long_all_buys,79,2022-11-14,0.517178,-0.760401
long_all_buys,80,2022-11-14,0.483530,-0.775989
long_all_buys,81,2022-11-14,0.395846,-0.816612
long_all_buys,82,2022-11-14,0.324062,-0.849868
long_all_buys,83,2022-11-14,0.350766,-0.837496
long_all_buys,84,2022-11-14,0.287158,-0.866965
long_all_buys,85,2022-11-17,0.284978,-0.867975
long_all_buys,86,2022-11-18,0.248495,-0.884877
long_all_buys,87,2022-11-18,0.216683,-0.899615
long_all_buys,88,2022-11-18,0.216299,-0.899792
long_all_buys,89,2022-11-18,0.204496,-0.905261
long_all_buys,90,2022-11-30,0.178146,-0.917468
long_all_buys,91,2022-12-01,0.160318,-0.925727
long_all_buys,92,2022-12-01,0.143667,-0.933441
long_all_buys,93,2022-12-01,0.134785,-0.937556
long_all_buys,94,2022-12-09,0.143525,-0.933507
long_all_buys,95,2022-12-15,0.116868,-0.945857
long_all_buys,96,2022-12-15,0.095162,-0.955913
long_all_buys,97,2022-12-15,0.077488,-0.964101
long_all_buys,98,2022-12-15,0.063096,-0.970769
long_all_buys,99,2022-12-15,0.051377,-0.976198
long_all_buys,100,2022-12-15,0.041835,-0.980619
long_all_buys,101,2022-12-15,0.034065,-0.984218
long_all_buys,102,2022-12-15,0.027738,-0.987150
long_all_buys,103,2022-12-15,0.022586,-0.989536
long_all_buys,104,2022-12-15,0.018391,-0.991480
long_all_buys,105,2023-01-25,0.019051,-0.991174
long_all_buys,106,2023-01-26,0.024633,-0.988588
long_all_buys,107,2023-01-26,0.024848,-0.988488
long_all_buys,108,2023-01-26,0.025509,-0.988182
long_all_buys,109,2023-01-26,0.023294,-0.989208
long_all_buys,110,2023-01-26,0.021271,-0.990145
long_all_buys,111,2023-01-26,0.019550,-0.990943
long_all_buys,112,2023-01-31,0.019811,-0.990822
long_all_buys,113,2023-01-31,0.017411,-0.991934
long_all_buys,114,2023-02-03,0.015553,-0.992795
long_all_buys,115,2023-02-03,0.015245,-0.992937
long_all_buys,116,2023-02-08,0.012724,-0.994105
long_all_buys,117,2023-02-10,0.010772,-0.995010
long_all_buys,118,2023-02-13,0.010538,-0.995118
long_all_buys,119,2023-02-13,0.010158,-0.995294
long_all_buys,120,2023-02-13,0.010933,-0.994935
long_all_buys,121,2023-02-14,0.011095,-0.994860
long_all_buys,122,2023-02-16,0.011018,-0.994896
long_all_buys,123,2023-02-22,0.014410,-0.993324
long_all_buys,124,2023-02-25,0.016163,-0.992512
long_all_buys,125,2023-02-25,0.018126,-0.991602
long_all_buys,126,2023-02-25,0.018754,-0.991312
long_all_buys,127,2023-02-25,0.020587,-0.990463
long_all_buys,128,2023-02-25,0.020566,-0.990472
long_all_buys,129,2023-02-26,0.023069,-0.989313
long_all_buys,130,2023-02-28,0.025913,-0.987995
long_all_buys,131,2023-03-02,0.028096,-0.986983
long_all_buys,132,2023-03-02,0.030463,-0.985887
long_all_buys,133,2023-03-02,0.033030,-0.984698
long_all_buys,134,2023-03-02,0.035813,-0.983409
long_all_buys,135,2023-03-03,0.038557,-0.982137
long_all_buys,136,2023-03-07,0.038791,-0.982029
long_all_buys,137,2023-03-07,0.043302,-0.979939
long_all_buys,138,2023-03-07,0.046689,-0.978370
long_all_buys,139,2023-03-07,0.051850,-0.975979
long_all_buys,140,2023-03-08,0.059466,-0.972450
long_all_buys,141,2023-03-17,0.061003,-0.971738
long_all_buys,142,2023-03-17,0.065456,-0.969676
long_all_buys,143,2023-03-17,0.070136,-0.967507
long_all_buys,144,2023-03-17,0.076939,-0.964355
long_all_buys,145,2023-03-17,0.078927,-0.963434
long_all_buys,146,2023-03-21,0.081456,-0.962263
long_all_buys,147,2023-03-24,0.079804,-0.963028
long_all_buys,148,2023-03-28,0.083014,-0.961541
long_all_buys,149,2023-03-28,0.093546,-0.956662
long_all_buys,150,2023-03-28,0.105414,-0.951164
long_all_buys,151,2023-03-28,0.118788,-0.944968
long_all_buys,152,2023-03-31,0.121113,-0.943890
long_all_buys,153,2023-04-07,0.128091,-0.940658
long_all_buys,154,2023-04-14,0.138629,-0.935776
long_all_buys,155,2023-04-14,0.149580,-0.930702
long_all_buys,156,2023-04-14,0.155633,-0.927898
long_all_buys,157,2023-04-18,0.158164,-0.926726
long_all_buys,158,2023-04-18,0.182499,-0.915451
long_all_buys,159,2023-04-18,0.185466,-0.914077
long_all_buys,160,2023-04-19,0.209883,-0.902765
long_all_buys,161,2023-04-21,0.239605,-0.888995
long_all_buys,162,2023-04-21,0.273536,-0.873275
long_all_buys,163,2023-04-25,0.317762,-0.852787
long_all_buys,164,2023-04-26,0.335341,-0.844642
long_all_buys,165,2023-04-26,0.369996,-0.828587
long_all_buys,166,2023-04-26,0.408232,-0.810873
long_all_buys,167,2023-04-26,0.450420,-0.791328
long_all_buys,168,2023-04-26,0.496967,-0.769764
long_all_buys,169,2023-04-26,0.590460,-0.726450
long_all_buys,170,2023-04-27,0.644309,-0.701503
long_all_buys,171,2023-04-28,0.672564,-0.688413
long_all_buys,172,2023-04-28,0.702059,-0.674748
long_all_buys,173,2023-04-28,0.807110,-0.626080
long_all_buys,174,2023-04-28,0.929163,-0.569535
long_all_buys,175,2023-04-28,1.135225,-0.474070
long_all_buys,176,2023-05-05,1.219213,-0.435160
long_all_buys,177,2023-05-12,1.874690,-0.131489
long_all_buys,178,2023-05-12,2.882568,0.000000
long_all_buys,179,2023-05-12,3.118406,0.000000
long_all_buys,180,2023-05-12,3.278327,0.000000
long_all_buys,181,2023-05-12,3.446448,0.000000
long_all_buys,182,2023-05-19,3.610981,0.000000
long_all_buys,183,2023-05-19,5.191955,0.000000
long_all_buys,184,2023-05-19,5.439818,0.000000
long_all_buys,185,2023-05-21,5.740059,0.000000
long_all_buys,186,2023-05-22,5.869211,0.000000
long_all_buys,187,2023-05-22,6.001268,0.000000
long_all_buys,188,2023-05-22,8.392872,0.000000
long_all_buys,189,2023-05-24,11.147217,0.000000
long_all_buys,190,2023-05-26,11.948127,0.000000
long_all_buys,191,2023-05-26,11.493490,-0.038051
long_all_buys,192,2023-05-26,12.319279,0.000000
long_all_buys,193,2023-05-26,12.398022,0.000000
long_all_buys,194,2023-05-31,12.825740,0.000000
long_all_buys,195,2023-05-31,12.462776,-0.028300
long_all_buys,196,2023-06-09,12.095145,-0.056963
long_all_buys,197,2023-06-09,12.787108,-0.003012
long_all_buys,198,2023-06-09,13.377679,0.000000
long_all_buys,199,2023-06-16,14.757383,0.000000
long_all_buys,200,2023-06-19,15.210917,0.000000
long_all_buys,201,2023-06-19,15.678389,0.000000
long_all_buys,202,2023-06-23,15.614948,-0.004046
long_all_buys,203,2023-06-23,16.859616,0.000000
long_all_buys,204,2023-06-23,17.387776,0.000000
long_all_buys,205,2023-06-26,18.210551,0.000000
long_all_buys,206,2023-06-26,18.673212,0.000000
long_all_buys,207,2023-07-04,18.610913,-0.003336
long_all_buys,208,2023-07-05,19.588558,0.000000
long_all_buys,209,2023-07-05,17.933558,-0.084488
long_all_buys,210,2023-07-07,19.607737,0.000000
long_all_buys,211,2023-07-07,18.342238,-0.064541
long_all_buys,212,2023-07-07,17.909651,-0.086603
long_all_buys,213,2023-07-14,17.188966,-0.123358
long_all_buys,214,2023-07-14,16.497281,-0.158634
long_all_buys,215,2023-07-19,12.375614,-0.368840
long_all_buys,216,2023-07-21,13.087064,-0.332556
long_all_buys,217,2023-07-21,12.246955,-0.375402
long_all_buys,218,2023-07-25,11.403747,-0.418406
long_all_buys,219,2023-07-26,10.797150,-0.449342
long_all_buys,220,2023-07-26,10.222819,-0.478633
long_all_buys,221,2023-07-28,10.011907,-0.489390
long_all_buys,222,2023-07-28,9.573091,-0.511770
long_all_buys,223,2023-07-28,9.375585,-0.521843
long_all_buys,224,2023-08-03,9.280830,-0.526675
long_all_buys,225,2023-08-03,9.187033,-0.531459
long_all_buys,226,2023-08-03,9.094184,-0.536194
long_all_buys,227,2023-08-04,9.165665,-0.532549
long_all_buys,228,2023-08-04,9.936235,-0.493249
long_all_buys,229,2023-08-05,9.661524,-0.507260
long_all_buys,230,2023-08-05,9.394409,-0.520883
long_all_buys,231,2023-08-06,9.134678,-0.534129
long_all_buys,232,2023-08-06,8.882128,-0.547009
long_all_buys,233,2023-08-07,8.431492,-0.569992
long_all_buys,234,2023-08-07,8.426174,-0.570263
long_all_buys,235,2023-08-08,8.311369,-0.576118
long_all_buys,236,2023-08-11,8.220934,-0.580730
long_all_buys,237,2023-08-11,1.162575,-0.940708
long_all_buys,238,2023-08-11,0.164407,-0.991615
long_all_buys,239,2023-08-12,0.185623,-0.990533
long_all_buys,240,2023-08-12,0.192523,-0.990181
long_all_buys,241,2023-08-12,0.186410,-0.990493
long_all_buys,242,2023-08-12,0.193580,-0.990127
long_all_buys,243,2023-08-12,0.200702,-0.989764
long_all_buys,244,2023-08-18,0.207918,-0.989396
long_all_buys,245,2023-08-18,0.212856,-0.989144
long_all_buys,246,2023-08-18,0.213428,-0.989115
long_all_buys,247,2023-08-18,0.263416,-0.986566
long_all_buys,248,2023-08-18,0.284623,-0.985484
long_all_buys,249,2023-08-23,0.250671,-0.987216
long_all_buys,250,2023-08-25,0.227883,-0.988378
long_all_buys,251,2023-08-25,0.219665,-0.988797
long_all_buys,252,2023-08-25,0.199528,-0.989824
long_all_buys,253,2023-08-25,0.181389,-0.990749
long_all_buys,254,2023-08-27,0.164036,-0.991634
long_all_buys,255,2023-08-30,0.157120,-0.991987
long_all_buys,256,2023-08-30,0.138352,-0.992944
long_all_buys,257,2023-09-01,0.134448,-0.993143
long_all_buys,258,2023-09-01,0.130653,-0.993337
long_all_buys,259,2023-09-01,0.116891,-0.994039
long_all_buys,260,2023-09-01,0.104578,-0.994666
long_all_buys,261,2023-09-08,0.104792,-0.994656
long_all_buys,262,2023-09-08,0.105006,-0.994645
long_all_buys,263,2023-09-08,0.105221,-0.994634
long_all_buys,264,2023-09-08,0.105437,-0.994623
long_all_buys,265,2023-09-08,0.105652,-0.994612
long_all_buys,266,2023-09-13,0.109330,-0.994424
long_all_buys,267,2023-09-13,0.113136,-0.994230
long_all_buys,268,2023-09-13,0.117075,-0.994029
long_all_buys,269,2023-09-13,0.121150,-0.993821
long_all_buys,270,2023-09-13,0.125367,-0.993606
long_all_buys,271,2023-09-13,0.129732,-0.993384
long_all_buys,272,2023-09-13,0.134248,-0.993153
long_all_buys,273,2023-09-14,0.136288,-0.993049
long_all_buys,274,2023-09-14,0.138359,-0.992944
long_all_buys,275,2023-09-15,0.138223,-0.992951
long_all_buys,276,2023-09-22,0.119364,-0.993912
long_all_buys,277,2023-09-22,0.103077,-0.994743
long_all_buys,278,2023-09-22,0.107766,-0.994504
long_all_buys,279,2023-09-22,0.106393,-0.994574
long_all_buys,280,2023-09-22,0.104017,-0.994695
long_all_buys,281,2023-09-25,0.095593,-0.995125
long_all_buys,282,2023-09-25,0.099264,-0.994937
long_all_buys,283,2023-09-30,0.104047,-0.994694
long_all_buys,284,2023-09-30,0.106705,-0.994558
long_all_buys,285,2023-09-30,0.111846,-0.994296
long_all_buys,286,2023-10-02,0.089002,-0.995461
long_all_buys,287,2023-10-02,0.093290,-0.995242
long_all_buys,288,2023-10-02,0.074236,-0.996214
long_all_buys,289,2023-10-06,0.074778,-0.996186
long_all_buys,290,2023-10-06,0.075565,-0.996146
long_all_buys,291,2023-10-09,0.076514,-0.996098
long_all_buys,292,2023-10-13,0.067971,-0.996533
long_all_buys,293,2023-10-13,0.065193,-0.996675
long_all_buys,294,2023-10-19,0.070410,-0.996409
long_all_buys,295,2023-10-19,0.076045,-0.996122
long_all_buys,296,2023-10-20,0.092432,-0.995286
long_all_buys,297,2023-10-21,0.101760,-0.994810
long_all_buys,298,2023-10-21,0.112029,-0.994286
long_all_buys,299,2023-10-25,0.124090,-0.993671
long_all_buys,300,2023-10-25,0.134726,-0.993129
long_all_buys,301,2023-10-25,0.149229,-0.992389
long_all_buys,302,2023-10-25,0.165294,-0.991570
long_all_buys,303,2023-10-26,0.190837,-0.990267
long_all_buys,304,2023-10-26,0.212412,-0.989167
long_all_buys,305,2023-10-26,0.243182,-0.987598
long_all_buys,306,2023-10-27,0.279296,-0.985756
long_all_buys,307,2023-10-27,0.324966,-0.983427
long_all_buys,308,2023-10-27,0.373226,-0.980965
long_all_buys,309,2023-10-27,0.418210,-0.978671
long_all_buys,310,2023-10-27,0.472929,-0.975880
long_all_buys,311,2023-10-31,0.564147,-0.971228
long_all_buys,312,2023-11-01,0.649991,-0.966850
long_all_buys,313,2023-11-01,0.748897,-0.961806
long_all_buys,314,2023-11-02,0.825430,-0.957903
long_all_buys,315,2023-11-02,0.879657,-0.955137
long_all_buys,316,2023-11-02,0.937447,-0.952190
long_all_buys,317,2023-11-02,0.999034,-0.949049
long_all_buys,318,2023-11-08,1.028965,-0.947523
long_all_buys,319,2023-11-08,1.059793,-0.945950
