sample,news_clean_status,horizon,return_type,diagnostic_only_flag,n,mean,median,t_stat,p_value,winsorized_mean,warning_flag
neutral_mixed_non_top,official_confounded,5D,spy_bhar,True,95,-0.042371,-0.015256,-4.376,1.2e-05,-0.038499,
neutral_mixed_non_top,official_confounded,21D,spy_bhar,True,95,-0.110753,-0.030584,-3.922,8.8e-05,-0.110777,
neutral_mixed_non_top,official_confounded,63D,spy_bhar,True,95,-0.13713,-0.052718,-4.131,3.6e-05,-0.138432,
neutral_mixed_non_top,media_confounded,5D,spy_bhar,True,10,0.000405,-0.000988,0.075,0.939888,0.000622,n_lt_50
neutral_mixed_non_top,media_confounded,21D,spy_bhar,True,10,0.007621,0.014066,0.455,0.648843,0.007681,n_lt_50
neutral_mixed_non_top,media_confounded,63D,spy_bhar,True,10,-0.000171,-0.008854,-0.007,0.994372,-0.000121,n_lt_50
neutral_mixed_non_top,market_implied_confounded,5D,spy_bhar,True,28,0.030512,0.011757,2.346,0.018959,0.03119,n_lt_50
neutral_mixed_non_top,market_implied_confounded,21D,spy_bhar,True,28,0.001177,-0.001731,0.076,0.939523,0.001182,n_lt_50
neutral_mixed_non_top,market_implied_confounded,63D,spy_bhar,True,28,-0.027207,-0.016287,-1.069,0.285118,-0.028948,n_lt_50
neutral_mixed_non_top,multi_source_clean,5D,spy_bhar,False,0,,,,,,n_lt_50
neutral_mixed_non_top,multi_source_clean,21D,spy_bhar,False,0,,,,,,n_lt_50
neutral_mixed_non_top,multi_source_clean,63D,spy_bhar,False,0,,,,,,n_lt_50
neutral_mixed_non_top,unknown_news_coverage,5D,spy_bhar,True,89,-0.003636,3.9e-05,-1.031,0.302578,-0.004035,
neutral_mixed_non_top,unknown_news_coverage,21D,spy_bhar,True,89,0.009134,-0.005847,0.721,0.471021,0.009516,
neutral_mixed_non_top,unknown_news_coverage,63D,spy_bhar,True,89,0.009722,0.002149,0.425,0.671043,0.011432,
