cluster,group_left_out,horizon,n_full,mean_full,mean_leave_one,influence
ticker,AAPL,5D,2322,0.0006350032743213214,0.0006219482194555129,1.30550548658085e-05
ticker,AMC,5D,2322,0.0006350032743213214,0.002117386999378948,-0.0014823837250576264
ticker,AMD,5D,2322,0.0006350032743213214,-0.000616211696679077,0.0012512149710003984
ticker,AMZN,5D,2322,0.0006350032743213214,0.0006054173870478633,2.9585887273458097e-05
ticker,COIN,5D,2322,0.0006350032743213214,0.0006596099716722413,-2.460669735091989e-05
ticker,CRM,5D,2322,0.0006350032743213214,0.0006444696639887897,-9.46638966746829e-06
ticker,DIS,5D,2322,0.0006350032743213214,0.0005581142240282425,7.688905029307885e-05
ticker,GOOGL,5D,2322,0.0006350032743213214,-0.0005565105703722431,0.0011915138446935646
ticker,HOOD,5D,2322,0.0006350032743213214,0.0009488651690038747,-0.0003138618946825533
ticker,META,5D,2322,0.0006350032743213214,0.0009283258606975508,-0.0002933225863762294
ticker,MSFT,5D,2322,0.0006350032743213214,0.001331818403567305,-0.0006968151292459836
ticker,NFLX,5D,2322,0.0006350032743213214,0.00048516752338566694,0.00014983575093565444
ticker,NVDA,5D,2322,0.0006350032743213214,-0.0005320230516465979,0.0011670263259679192
ticker,PLTR,5D,2322,0.0006350032743213214,0.0007788980222283003,-0.00014389474790697896
ticker,PYPL,5D,2322,0.0006350032743213214,0.0008859648491426714,-0.00025096157482135
ticker,ROKU,5D,2322,0.0006350032743213214,0.0006149478678694496,2.0055406451871777e-05
ticker,SOFI,5D,2322,0.0006350032743213214,0.0007269633376947242,-9.196006337340286e-05
ticker,TSLA,5D,2322,0.0006350032743213214,0.0005741501810327722,6.085309328854923e-05
ticker,UBER,5D,2322,0.0006350032743213214,0.0009647876187443772,-0.0003297843444230558
ticker,AAPL,21D,2322,0.0031728652593852537,0.003009797076960791,0.00016306818242446284
ticker,AMC,21D,2322,0.0031728652593852537,0.007646885541003863,-0.004474020281618609
ticker,AMD,21D,2322,0.0031728652593852537,-0.0006007201762069963,0.00377358543559225
ticker,AMZN,21D,2322,0.0031728652593852537,0.002415963753509822,0.0007569015058754318
ticker,COIN,21D,2322,0.0031728652593852537,0.0032462765996283047,-7.341134024305097e-05
ticker,CRM,21D,2322,0.0031728652593852537,0.003211444441343314,-3.857918195806012e-05
ticker,DIS,21D,2322,0.0031728652593852537,0.00306039628161512,0.00011246897777013364
ticker,GOOGL,21D,2322,0.0031728652593852537,0.0004902751000201217,0.002682590159365132
ticker,HOOD,21D,2322,0.0031728652593852537,0.0032969848904490355,-0.00012411963106378175
ticker,META,21D,2322,0.0031728652593852537,0.0039547456832689076,-0.0007818804238836539
ticker,MSFT,21D,2322,0.0031728652593852537,0.00494846516146802,-0.0017755999020827667
ticker,NFLX,21D,2322,0.0031728652593852537,0.003031835815408177,0.00014102944397707687
ticker,NVDA,21D,2322,0.0031728652593852537,-0.00044293993282846806,0.0036158051922137216
ticker,PLTR,21D,2322,0.0031728652593852537,0.003619042015385822,-0.0004461767560005681
ticker,PYPL,21D,2322,0.0031728652593852537,0.004582252086109055,-0.0014093868267238013
ticker,ROKU,21D,2322,0.0031728652593852537,0.003100091967812693,7.277329157256074e-05
ticker,SOFI,21D,2322,0.0031728652593852537,0.004838133351801488,-0.001665268092416234
ticker,TSLA,21D,2322,0.0031728652593852537,0.002027324353241378,0.0011455409061438757
ticker,UBER,21D,2322,0.0031728652593852537,0.0037718191777278247,-0.000598953918342571
creator,Ale's World of Stocks,5D,2322,0.0006350032743213214,0.0007152225996116807,-8.021932529035929e-05
creator,Best of Us Investors,5D,2322,0.0006350032743213214,0.0007001761218712032,-6.517284754988179e-05
creator,Bloomberg Television,5D,2322,0.0006350032743213214,0.000580626660491719,5.437661382960235e-05
creator,CNBC Television,5D,2322,0.0006350032743213214,0.0005788132441178442,5.6190030203477214e-05
creator,Chicken Genius Singapore,5D,2322,0.0006350032743213214,0.0004872996576939338,0.0001477036166273876
creator,Chris Sain,5D,2322,0.0006350032743213214,0.000681760154654903,-4.675688033358165e-05
creator,Couch Investor,5D,2322,0.0006350032743213214,0.0017180225882682792,-0.0010830193139469578
creator,Daniel Pronk,5D,2322,0.0006350032743213214,0.0005804222799133938,5.4580994407927566e-05
creator,Dividend Bull,5D,2322,0.0006350032743213214,0.0006694247278564898,-3.442145353516838e-05
creator,Dividendology,5D,2322,0.0006350032743213214,0.0005689833496566225,6.601992466469893e-05
