analyst_event_time_source,raw_latest_grade,normalized_latest_grade,grade_mapping_confidence,grade_mapping_rule,n
yfinance,Buy,bullish,high,exact:buy,593
finnhub,legacy_event_time_counts_no_raw_grade,bullish,legacy_counts,legacy_alignment_inferred_no_raw_grade,417
yfinance,Overweight,bullish,high,exact:overweight,350
yfinance,Outperform,bullish,high,exact:outperform,272
yfinance,Neutral,neutral,high,exact:neutral,233
yfinance,Equal-Weight,neutral,high,exact:equal_weight,63
yfinance,Market Perform,neutral,high,exact:market_perform,61
yfinance,Hold,neutral,high,exact:hold,61
yfinance,Sell,bearish,high,exact:sell,53
yfinance,Market Outperform,bullish,high,exact:market_outperform,47
yfinance,Positive,bullish,high,exact:positive,40
yfinance,Strong Buy,bullish,high,exact:strong_buy,32
finnhub,legacy_event_time_counts_no_raw_grade,neutral,legacy_counts,legacy_alignment_inferred_no_raw_grade,29
yfinance,Underweight,bearish,high,exact:underweight,16
none,strong_buy,bullish,high,exact:strong_buy,14
none,hold,neutral,high,exact:hold,9
yfinance,Underperform,bearish,high,exact:underperform,9
yfinance,Sector Outperform,bullish,high,exact:sector_outperform,8
yfinance,Peer Perform,neutral,high,exact:peer_perform,5
yfinance,Sector Perform,neutral,high,exact:sector_perform,3
yfinance,Reduce,bearish,high,exact:reduce,3
yfinance,In-Line,neutral,high,exact:in_line,2
yfinance,Perform,neutral,high,exact:perform,1
yfinance,legacy_event_time_counts_no_raw_grade,neutral,legacy_counts,legacy_alignment_inferred_no_raw_grade,1
