event_id,ticker,event_date,recommendation_type,top5_flag,high_confidence,finfluencer_direction,fmp_provider_status,fmp_has_event_time_data,fmp_latest_only,fmp_error_class_safe,finnhub_provider_status,finnhub_has_event_time_data,finnhub_latest_only,finnhub_error_class_safe,yfinance_provider_status,yfinance_has_data,yfinance_latest_only,diagnostic_yfinance_fallback,yf_error_class_safe,yf_has_event_time_data,analyst_bullish_aligned,analyst_bearish_aligned,analyst_neutral_or_mixed,finfluencer_contrarian_to_analyst,recent_analyst_upgrade_relay,recent_analyst_downgrade_relay,analyst_relay_likely,analyst_unknown,analyst_event_time_usable,diagnostic_current_only,analyst_alignment,analyst_data_mode,primary_analyst_source,yf_recommendation_key,yf_recommendation_mean,yf_number_of_analysts,yf_target_mean,yf_target_median,yf_target_high,yf_target_low,fmp_rating_date,finnhub_period_date
1,TSLA,2023-10-13,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,True,False,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,buy,2.3617,41,412.25366,450.0,600.0,123.0,,
2,GOOGL,2023-10-13,buy,False,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,True,False,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,strong_buy,1.39683,52,427.88712,430.0,515.0,334.22,,
3,AMZN,2023-06-23,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,True,False,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,strong_buy,1.34848,62,311.55145,317.0,370.0,207.0,,
4,NVDA,2023-06-23,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,True,False,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,strong_buy,1.29508,57,272.93738,275.0,380.0,140.0,,
5,TSLA,2023-06-23,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,True,,True,False,False,False,False,False,False,False,True,False,False,analyst_unknown,event_time_historical,yfinance_upgrades_downgrades,buy,2.3617,41,412.25366,450.0,600.0,123.0,,
6,PYPL,2026-03-09,buy,False,False,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,False,,True,False,False,True,False,True,True,False,False,True,False,analyst_neutral_or_mixed,event_time_historical,finnhub_recommendation,hold,2.88636,34,52.52618,48.0,147.39,32.0,,2026-03-01
7,MSFT,2026-02-06,buy,False,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,False,,True,True,False,False,False,True,False,True,False,True,False,analyst_bullish_aligned,event_time_historical,finnhub_recommendation,strong_buy,1.30909,54,561.5561,562.5,870.0,400.0,,2026-02-01
8,UBER,2026-02-06,buy,False,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,False,,True,True,False,False,False,True,True,True,False,True,False,analyst_bullish_aligned,event_time_historical,finnhub_recommendation,buy,1.51923,50,104.9312,107.0,150.0,70.0,,2026-02-01
9,NVDA,2026-02-06,buy,True,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,False,,True,True,False,False,False,True,True,True,False,True,False,analyst_bullish_aligned,event_time_historical,finnhub_recommendation,strong_buy,1.29508,57,272.93738,275.0,380.0,140.0,,2026-02-01
10,NFLX,2026-02-06,buy,False,True,bullish,skipped,False,False,http_429,ok,True,False,,ok,True,False,False,,True,True,False,False,False,True,True,True,False,True,False,analyst_bullish_aligned,event_time_historical,finnhub_recommendation,buy,1.68,44,114.555,115.0,151.4,80.0,,2026-02-01
