ticker,provider,endpoint,status,error_class_safe,ts_utc
AAPL,FMP,ratings-historical,http_429,http_429,2026-05-17T03:06:06.742277+00:00
AAPL,FMP,grades,http_429,http_429,2026-05-17T03:06:12.870568+00:00
AAPL,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:06:19.004511+00:00
AAPL,FMP,price-target-summary,http_429,http_429,2026-05-17T03:06:25.138629+00:00
AAPL,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:06:31.269783+00:00
AAPL,Finnhub,stock/recommendation,ok,,2026-05-17T03:06:31.893482+00:00
AAPL,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:06:32.260272+00:00
AAPL,yfinance,info,ok,,2026-05-17T03:06:33.705359+00:00
AAPL,yfinance,ticker,ok,,2026-05-17T03:06:33.842941+00:00
AMC,FMP,ratings-historical,http_429,http_429,2026-05-17T03:06:39.623846+00:00
AMC,FMP,grades,http_429,http_429,2026-05-17T03:06:45.764416+00:00
AMC,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:06:51.904991+00:00
AMC,FMP,price-target-summary,http_429,http_429,2026-05-17T03:06:58.036393+00:00
AMC,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:07:04.161278+00:00
AMC,Finnhub,stock/recommendation,ok,,2026-05-17T03:07:04.858277+00:00
AMC,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:07:05.264264+00:00
AMC,yfinance,info,ok,,2026-05-17T03:07:05.647145+00:00
AMC,yfinance,ticker,ok,,2026-05-17T03:07:05.728453+00:00
AMD,FMP,ratings-historical,http_429,http_429,2026-05-17T03:07:11.506845+00:00
AMD,FMP,grades,http_429,http_429,2026-05-17T03:07:17.625341+00:00
AMD,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:07:23.756257+00:00
AMD,FMP,price-target-summary,http_429,http_429,2026-05-17T03:07:29.886826+00:00
AMD,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:07:36.071949+00:00
AMD,Finnhub,stock/recommendation,ok,,2026-05-17T03:07:36.700696+00:00
AMD,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:07:37.065697+00:00
AMD,yfinance,info,ok,,2026-05-17T03:07:37.454034+00:00
AMD,yfinance,ticker,ok,,2026-05-17T03:07:37.578247+00:00
