feature_set,target,status,n_train,n_test,accuracy,auc
market_only,positive_5d_bhar,computed,1056,453,0.5607064017660044,0.568789123630673
market_only_time,positive_5d_bhar,computed,1056,453,0.49448123620309054,0.5072236303372977
market_only_creator_out,positive_5d_bhar,computed,875,634,0.4889589905362776,0.49897549176395334
market_only_ticker_out,positive_5d_bhar,computed,538,971,0.49742533470648814,0.5042543882007103
analyst_only,positive_5d_bhar,computed,1625,697,0.5365853658536586,0.5039759375103432
analyst_only_time,positive_5d_bhar,computed,1625,697,0.4806312769010043,0.4973282757483302
analyst_only_creator_out,positive_5d_bhar,computed,1552,770,0.5272727272727272,0.49957344816379595
analyst_only_ticker_out,positive_5d_bhar,computed,810,1512,0.5105820105820106,0.5021073266356285
transcript_only,positive_5d_bhar,computed,1625,697,0.5265423242467718,0.5003475325191142
transcript_only_time,positive_5d_bhar,computed,1625,697,0.4878048780487805,0.5122742640389214
transcript_only_creator_out,positive_5d_bhar,computed,1552,770,0.5311688311688312,0.5161074098147547
transcript_only_ticker_out,positive_5d_bhar,computed,810,1512,0.5165343915343915,0.4974297266076242
creator_only,positive_5d_bhar,computed,1625,697,0.5351506456241033,0.4822055075629696
creator_only_time,positive_5d_bhar,computed,1625,697,0.4806312769010043,0.4956708171847942
creator_only_creator_out,positive_5d_bhar,computed,1552,770,0.5298701298701298,0.482805898602535
creator_only_ticker_out,positive_5d_bhar,computed,810,1512,0.49933862433862436,0.5049007596177407
market_plus_analyst,positive_5d_bhar,computed,1056,453,0.5364238410596026,0.5479068857589984
market_plus_analyst_time,positive_5d_bhar,computed,1056,453,0.5033112582781457,0.5056346266328718
market_plus_analyst_creator_out,positive_5d_bhar,computed,875,634,0.501577287066246,0.48939509035662887
market_plus_analyst_ticker_out,positive_5d_bhar,computed,538,971,0.4933058702368692,0.5041630558529167
market_plus_transcript,positive_5d_bhar,computed,1056,453,0.5408388520971302,0.5382237871674491
market_plus_transcript_time,positive_5d_bhar,computed,1056,453,0.5121412803532008,0.5109670501072334
market_plus_transcript_creator_out,positive_5d_bhar,computed,875,634,0.5126182965299685,0.5041030305453382
market_plus_transcript_ticker_out,positive_5d_bhar,computed,538,971,0.4984552008238929,0.5058516422830539
