as_of,spy_prior_21d_return,spy_prior_63d_return,spy_drawdown_from_63d_high,vix_level,vix_percentile_1y,vix_change_5d,vix_change_21d,sentiment_regime,event_id,ticker,top5_flag,high_confidence,vix_tercile,spy_trend_regime
2025-09-12,0.019414031293279344,0.09209671432646904,-0.0003347065098450175,14.76,0.1111111111111111,-0.41999999999999993,-0.07000000000000028,neutral,1,SOFI,False,True,vix_low_tercile,spy_uptrend_21d
2025-09-12,0.019414031293279344,0.09209671432646904,-0.0003347065098450175,14.76,0.1111111111111111,-0.41999999999999993,-0.07000000000000028,neutral,2,NVDA,True,True,vix_low_tercile,spy_uptrend_21d
2026-05-01,0.09982607159903467,0.0442911855435677,0.0,16.99,0.4603174603174603,-1.7200000000000024,-7.550000000000001,risk_on,3,SOFI,False,True,vix_mid_tercile,spy_uptrend_21d
2026-05-01,0.09982607159903467,0.0442911855435677,0.0,16.99,0.4603174603174603,-1.7200000000000024,-7.550000000000001,risk_on,4,SOFI,False,True,vix_mid_tercile,spy_uptrend_21d
2026-01-13,0.009649401572861871,0.04943906269933129,-0.0019994751058702853,15.98,0.2777777777777778,1.2300000000000004,1.1300000000000008,neutral,5,NVDA,True,True,vix_low_tercile,spy_flat_21d
2026-01-13,0.009649401572861871,0.04943906269933129,-0.0019994751058702853,15.98,0.2777777777777778,1.2300000000000004,1.1300000000000008,neutral,6,NVDA,True,True,vix_low_tercile,spy_flat_21d
2025-08-28,0.02279093737199922,0.10302231274037266,0.0,14.43,0.07539682539682539,-2.1700000000000017,-1.0500000000000007,risk_on,7,NVDA,True,True,vix_low_tercile,spy_uptrend_21d
2026-01-20,0.012186758801042696,0.02286631898634628,-0.02528912096608693,20.09,0.746031746031746,4.109999999999999,3.219999999999999,neutral,8,AMD,True,True,vix_high_tercile,spy_uptrend_21d
2026-01-14,0.015606504713590041,0.04555813174453727,-0.006904884552784818,16.75,0.4444444444444444,1.3699999999999992,1.0099999999999998,neutral,9,MSFT,False,True,vix_mid_tercile,spy_uptrend_21d
2026-01-14,0.015606504713590041,0.04555813174453727,-0.006904884552784818,16.75,0.4444444444444444,1.3699999999999992,1.0099999999999998,neutral,10,NFLX,False,True,vix_mid_tercile,spy_uptrend_21d
2026-01-14,0.015606504713590041,0.04555813174453727,-0.006904884552784818,16.75,0.4444444444444444,1.3699999999999992,1.0099999999999998,neutral,11,NVDA,True,True,vix_mid_tercile,spy_uptrend_21d
2025-07-30,0.026883514202886705,0.1479571108206572,-0.004143684173762097,15.48,0.1865079365079365,0.11000000000000121,-1.3499999999999979,risk_on,12,MSFT,False,True,vix_low_tercile,spy_uptrend_21d
2025-07-30,0.026883514202886705,0.1479571108206572,-0.004143684173762097,15.48,0.1865079365079365,0.11000000000000121,-1.3499999999999979,risk_on,13,GOOGL,False,True,vix_low_tercile,spy_uptrend_21d
2025-09-22,0.05214197788532404,0.11420279985292536,0.0,16.1,0.32142857142857145,0.4100000000000019,1.8800000000000008,risk_on,14,AMD,True,True,vix_low_tercile,spy_uptrend_21d
2025-09-22,0.05214197788532404,0.11420279985292536,0.0,16.1,0.32142857142857145,0.4100000000000019,1.8800000000000008,risk_on,15,NVDA,True,True,vix_low_tercile,spy_uptrend_21d
2026-05-01,0.09982607159903467,0.0442911855435677,0.0,16.99,0.4603174603174603,-1.7200000000000024,-7.550000000000001,risk_on,16,META,False,False,vix_mid_tercile,spy_uptrend_21d
2025-05-29,0.0644572787671922,0.011580270009794225,-0.008069169588827418,19.18,0.6468253968253969,-1.1000000000000014,-5.52,risk_on,17,NVDA,True,True,vix_high_tercile,spy_uptrend_21d
2025-06-05,0.06129204567361746,0.038630194985205035,-0.005099915593460791,18.48,0.5912698412698413,-0.6999999999999993,-5.07,risk_on,18,AAPL,True,True,vix_mid_tercile,spy_uptrend_21d
2025-06-05,0.06129204567361746,0.038630194985205035,-0.005099915593460791,18.48,0.5912698412698413,-0.6999999999999993,-5.07,risk_on,19,DIS,False,True,vix_mid_tercile,spy_uptrend_21d
2025-06-05,0.06129204567361746,0.038630194985205035,-0.005099915593460791,18.48,0.5912698412698413,-0.6999999999999993,-5.07,risk_on,20,PYPL,False,True,vix_mid_tercile,spy_uptrend_21d
2025-08-11,0.01972352830339341,0.13016966633170535,-0.001977539647394999,16.25,0.2857142857142857,-1.2699999999999996,-0.14999999999999858,neutral,21,AMD,True,True,vix_low_tercile,spy_uptrend_21d
2025-10-03,0.03380799622216757,0.08117762446088683,-1.4767362221612679e-05,16.65,0.4523809523809524,1.3599999999999994,1.3499999999999979,risk_on,22,NVDA,True,True,vix_mid_tercile,spy_uptrend_21d
2025-04-22,-0.06512632775664051,-0.12306432199956174,-0.1371997924565891,30.57,0.9603174603174603,-0.3200000000000003,11.29,risk_off,23,TSLA,True,True,vix_high_tercile,spy_downtrend_21d
2025-04-22,-0.06512632775664051,-0.12306432199956174,-0.1371997924565891,30.57,0.9603174603174603,-0.3200000000000003,11.29,risk_off,24,TSLA,True,True,vix_high_tercile,spy_downtrend_21d
2025-04-22,-0.06512632775664051,-0.12306432199956174,-0.1371997924565891,30.57,0.9603174603174603,-0.3200000000000003,11.29,risk_off,25,TSLA,True,True,vix_high_tercile,spy_downtrend_21d
2025-04-22,-0.06512632775664051,-0.12306432199956174,-0.1371997924565891,30.57,0.9603174603174603,-0.3200000000000003,11.29,risk_off,26,TSLA,True,True,vix_high_tercile,spy_downtrend_21d
2025-04-22,-0.06512632775664051,-0.12306432199956174,-0.1371997924565891,30.57,0.9603174603174603,-0.3200000000000003,11.29,risk_off,27,TSLA,True,True,vix_high_tercile,spy_downtrend_21d
2025-04-22,-0.06512632775664051,-0.12306432199956174,-0.1371997924565891,30.57,0.9603174603174603,-0.3200000000000003,11.29,risk_off,28,AMZN,True,True,vix_high_tercile,spy_downtrend_21d
2025-08-18,0.025048578883750894,0.08583272684203225,-0.002558411755695378,14.99,0.11904761904761904,-1.2599999999999998,-1.42,risk_on,29,NVDA,True,True,vix_low_tercile,spy_uptrend_21d
