regime_variable,bucket,sample,horizon,n,mean_spy_bhar,t_stat,p_value
vix_tercile,vix_high_tercile,full,5D,771,0.004320836214386904,1.9201236173789746,0.05484228676340175
vix_tercile,vix_low_tercile,full,5D,786,0.0031077166192942153,1.455697679633653,0.14547621162494195
vix_tercile,vix_mid_tercile,full,5D,765,-0.005620329909913004,-2.4994282296556043,0.012439389308045223
vix_tercile,nan,full,5D,0,,,
vix_tercile,vix_high_tercile,top5,5D,425,0.0030330267859618094,0.8875302896087714,0.37479346608752806
vix_tercile,vix_low_tercile,top5,5D,516,0.005646877331760934,2.047690622807854,0.0405903232513003
vix_tercile,vix_mid_tercile,top5,5D,421,0.004271398041837679,1.3701396636641716,0.17064330849037912
vix_tercile,vix_high_tercile,non_top,5D,346,0.005902683055660503,2.1494520779819655,0.03159858099559942
vix_tercile,vix_low_tercile,non_top,5D,270,-0.0017449016311977359,-0.5319331124719476,0.5947723225975385
vix_tercile,vix_mid_tercile,non_top,5D,344,-0.017726194641561367,-5.689871866213829,1.2713473385161933e-08
vix_tercile,nan,non_top,5D,0,,,
vix_tercile,vix_high_tercile,full,21D,771,0.01768569909348239,3.9945975156625773,6.480424539567764e-05
vix_tercile,vix_low_tercile,full,21D,786,-0.005667232978392837,-1.1796215935182333,0.238150750699623
vix_tercile,vix_mid_tercile,full,21D,765,-0.0023710271212622138,-0.5012207684839664,0.6162157594387876
vix_tercile,nan,full,21D,0,,,
vix_tercile,vix_high_tercile,top5,21D,425,0.03158819192422765,4.433883709600623,9.255056059309652e-06
vix_tercile,vix_low_tercile,top5,21D,516,0.0051379142519133785,1.046368275293193,0.2953910340350818
vix_tercile,vix_mid_tercile,top5,21D,421,0.01782562924983295,2.557330650472872,0.010547890321249254
vix_tercile,vix_high_tercile,non_top,21D,346,0.0006089376684340271,0.13848708927530584,0.8898554725647676
vix_tercile,vix_low_tercile,non_top,21D,270,-0.026317069907422493,-2.5628027746722486,0.01038310114343366
vix_tercile,vix_mid_tercile,non_top,21D,344,-0.02708844669170135,-4.592052477427624,4.389079626410108e-06
vix_tercile,nan,non_top,21D,0,,,
sentiment_regime,neutral,full,5D,1147,-0.004367522333976395,-2.3609335303354304,0.018228997615326037
sentiment_regime,risk_off,full,5D,319,0.0024026852096404924,0.6518800695139763,0.51447854308844
sentiment_regime,risk_on,full,5D,856,0.006679403198796397,3.36629880620092,0.0007618413451069284
sentiment_regime,nan,full,5D,0,,,
sentiment_regime,neutral,top5,5D,650,-0.0038745630600890532,-1.4434016415972581,0.14890736194345688
sentiment_regime,risk_off,top5,5D,180,0.010602994004494784,2.306092232735112,0.021105479230792756
sentiment_regime,risk_on,top5,5D,532,0.012426711900535521,4.625516097551859,3.7366678191652625e-06
sentiment_regime,neutral,non_top,5D,497,-0.005012237682118794,-2.060779613879602,0.03932407021833617
sentiment_regime,risk_off,non_top,5D,139,-0.00821641970455931,-1.3911010312274374,0.16419479223046496
sentiment_regime,risk_on,non_top,5D,324,-0.00275753578060241,-0.9997926443304717,0.3174108662699555
sentiment_regime,nan,non_top,5D,0,,,
sentiment_regime,neutral,full,21D,1147,-0.009156122821607717,-2.438824757301035,0.014735111977465465
sentiment_regime,risk_off,full,21D,319,0.004950609680338152,0.6569799342138647,0.5111938187799452
sentiment_regime,risk_on,full,21D,856,0.0190306326175803,4.271608099480422,1.940684127821335e-05
sentiment_regime,nan,full,21D,0,,,
sentiment_regime,neutral,top5,21D,650,0.0005374399996882892,0.11563550389608827,0.9079414236021206
sentiment_regime,risk_off,top5,21D,180,0.02458081358406242,2.4425284464400057,0.014584780153669819
sentiment_regime,risk_on,top5,21D,532,0.035351227050817856,5.524716424805816,3.3001820165523554e-08
sentiment_regime,neutral,non_top,21D,497,-0.021833820676421405,-3.5597543948170207,0.0003712017944372814
sentiment_regime,risk_off,non_top,21D,139,-0.020469798252542193,-1.8542145930992995,0.0637084651282449
sentiment_regime,risk_on,non_top,21D,324,-0.007767380464155436,-1.5625848881016942,0.11815026503877757
sentiment_regime,nan,non_top,21D,0,,,
spy_trend_regime,spy_downtrend_21d,full,5D,564,0.004020439944145466,1.3757049461559732,0.16891300000587228
spy_trend_regime,spy_flat_21d,full,5D,502,-0.014699466126287138,-5.629197738136666,1.8104974408572616e-08
spy_trend_regime,spy_uptrend_21d,full,5D,1256,0.005243695437796345,3.196936564023277,0.0013889546866694413
spy_trend_regime,nan,full,5D,0,,,
spy_trend_regime,spy_downtrend_21d,top5,5D,314,0.005712577056585697,1.332988537774482,0.18253556534174864
spy_trend_regime,spy_flat_21d,top5,5D,283,-0.013606552781464101,-4.295690294825661,1.7415057336656048e-05
spy_trend_regime,spy_uptrend_21d,top5,5D,765,0.010533318829049027,4.55995578803446,5.116439165897546e-06
spy_trend_regime,spy_downtrend_21d,non_top,5D,250,0.0018951157309205365,0.497054973435942,0.6191502854432043
spy_trend_regime,spy_flat_21d,non_top,5D,219,-0.016111769672336997,-3.683353006835844,0.0002301860428199909
spy_trend_regime,spy_uptrend_21d,non_top,5D,491,-0.002997774815377387,-1.423266445953264,0.15465893003734732
spy_trend_regime,nan,non_top,5D,0,,,
spy_trend_regime,spy_downtrend_21d,full,21D,564,0.00431042129032774,0.9537015462433537,0.3402347372629648
spy_trend_regime,spy_flat_21d,full,21D,502,-0.032845820395370186,-5.398505207396397,6.719841794122772e-08
spy_trend_regime,spy_uptrend_21d,full,21D,1256,0.01705805522533722,4.513577631795652,6.374310166812336e-06
spy_trend_regime,nan,full,21D,0,,,
spy_trend_regime,spy_downtrend_21d,top5,21D,314,0.011485349727040512,1.922020926718682,0.05460312462191341
spy_trend_regime,spy_flat_21d,top5,21D,283,-0.017562756591159884,-3.2809707802286567,0.001034504608149689
spy_trend_regime,spy_uptrend_21d,top5,21D,765,0.0326073144274134,5.879345453400346,4.118919649798158e-09
spy_trend_regime,spy_downtrend_21d,non_top,21D,250,-0.004701288826183501,-0.684043169279968,0.49394790648831366
spy_trend_regime,spy_flat_21d,non_top,21D,219,-0.052595167685742406,-4.383886559537714,1.1658049716478658e-05
