bucket,sample,n,mean_spy_bhar_21d
ambiguous_mixed,full,21,0.19360305807028308
ambiguous_mixed,top5,21,0.19360305807028308
ambiguous_mixed,non_top,0,
analyst_relay,full,3,0.5850518223170041
analyst_relay,top5,3,0.5850518223170041
analyst_relay,non_top,0,
insufficient_external_data,full,1626,0.0026632370614772397
insufficient_external_data,top5,692,0.015037434834825543
insufficient_external_data,non_top,934,-0.0065047981196330665
official_news_relay,full,668,-0.006020240200942076
official_news_relay,top5,642,0.009527009666206503
official_news_relay,non_top,26,-0.38991771768976463
valuation_or_fundamental_original_like,full,4,0.30941760953322917
valuation_or_fundamental_original_like,top5,4,0.30941760953322917
valuation_or_fundamental_original_like,non_top,0,
