event_id,ticker,event_date,recommendation_type,top5_flag,yf_snapshot_available,yf_event_time_usable,yf_diagnostic_current_only,yf_provider_status,yf_error_class_safe,yf_recommendation_key_current,yf_recommendation_mean_current,yf_number_of_analysts_current,yf_target_mean_current,yf_target_median_current,yf_target_high_current,yf_target_low_current,yf_target_upside_vs_event_price_current,yf_current_bullish_aligned,yf_current_bearish_aligned,yf_current_neutral_or_mixed,yf_current_contrarian_to_finfluencer,yf_analyst_relay_likely_diagnostic,yf_latest_recommendation_date_pre_event,yf_latest_firm_pre_event,yf_latest_to_grade_pre_event,yf_latest_from_grade_pre_event,yf_latest_recommendation_action_pre_event,yf_recent_upgrade_pre_event,yf_recent_downgrade_pre_event,yf_consensus_bucket_event_time_if_available,yf_event_time_bullish_aligned,yf_event_time_bearish_aligned,yf_event_time_neutral_or_mixed,yf_event_time_contrarian_to_finfluencer,yf_analyst_relay_likely_event_time
1,TSLA,2023-10-13,buy,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.6416600351063959,True,False,False,False,True,2023-10-11,Citigroup,,,main,False,False,unknown,False,False,False,False,False
2,GOOGL,2023-10-13,buy,False,True,True,False,ok,,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,2.1408238512028244,True,False,False,False,True,2023-10-13,Keybanc,,,main,False,False,unknown,False,False,False,False,False
3,AMZN,2023-06-23,buy,True,True,True,False,ok,,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,1.408965016539498,True,False,False,False,True,2023-06-22,Morgan Stanley,,,reit,False,False,unknown,False,False,False,False,False
4,NVDA,2023-06-23,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,5.471386357195465,True,False,False,False,True,2023-06-22,Mizuho,,,reit,False,False,unknown,False,False,False,False,False
5,TSLA,2023-06-23,buy,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.6066003514968421,True,False,False,False,True,2023-06-23,Morgan Stanley,,,reit,False,False,unknown,False,False,False,False,False
6,PYPL,2026-03-09,buy,False,True,True,False,ok,,hold,2.88636,34.0,52.52618,48.0,147.39,32.0,0.13791551502669241,False,False,True,False,False,2026-03-02,KGI Securities,,,down,False,False,unknown,False,False,False,False,False
7,MSFT,2026-02-06,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.40309574189786024,True,False,False,False,True,2026-02-05,Stifel,,,down,False,False,unknown,False,False,False,False,False
8,UBER,2026-02-06,buy,False,True,True,False,ok,,buy,1.51923,50.0,104.9312,107.0,150.0,70.0,0.4033864479212934,True,False,False,False,True,2026-02-06,Citigroup,,,main,False,False,unknown,False,False,False,False,False
9,NVDA,2026-02-06,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.4721544439692875,True,False,False,False,True,2026-01-16,Jefferies,,,main,False,False,unknown,False,False,False,False,False
10,NFLX,2026-02-06,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,0.3936131904254252,True,False,False,False,True,2026-01-27,Freedom Broker,,,up,False,False,unknown,False,False,False,False,False
11,NFLX,2023-02-10,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,2.2978753972453267,True,False,False,False,True,2023-02-06,Jefferies,,,main,False,False,unknown,False,False,False,False,False
12,AMZN,2023-06-16,sell,True,True,True,False,ok,,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,1.4826795386371479,False,False,False,True,True,2023-06-12,B of A Securities,,,main,False,False,unknown,False,False,False,False,False
13,NFLX,2023-06-16,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,1.6519817174298006,True,False,False,False,True,2023-06-14,Barclays,,,main,False,False,unknown,False,False,False,False,False
14,NVDA,2023-06-16,sell,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,5.398171511442218,False,False,False,True,True,2023-06-16,Morgan Stanley,,,main,False,False,unknown,False,False,False,False,False
15,TSLA,2023-06-16,sell,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.5823046230111715,False,False,False,True,True,2023-06-15,Wedbush,,,reit,False,False,unknown,False,False,False,False,False
16,GOOGL,2024-01-08,buy,False,True,True,False,ok,,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,2.107343864263575,True,False,False,False,True,2023-12-07,Roth MKM,,,main,False,False,unknown,False,False,False,False,False
17,TSLA,2024-01-08,buy,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.7145089009451693,True,False,False,False,True,2024-01-02,Oppenheimer,,,reit,False,False,unknown,False,False,False,False,False
18,TSLA,2023-08-18,buy,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.9130987493203153,True,False,False,False,True,2023-08-07,Bernstein,,,main,False,False,unknown,False,False,False,False,False
19,AAPL,2023-08-18,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.7878543260743007,True,False,False,False,True,2023-08-17,Wedbush,,,reit,False,False,unknown,False,False,False,False,False
20,AMZN,2023-03-03,buy,True,True,True,False,ok,,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,2.282944625823225,True,False,False,False,True,2023-02-14,Loop Capital,,,main,False,False,unknown,False,False,False,False,False
21,NVDA,2025-08-27,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.5032089234782375,True,False,False,False,True,2025-08-25,Baird,,,main,False,False,unknown,False,False,False,False,False
22,NVDA,2025-08-27,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.5032089234782375,True,False,False,False,True,2025-08-25,Baird,,,main,False,False,unknown,False,False,False,False,False
23,DIS,2023-10-06,buy,False,True,True,False,ok,,strong_buy,1.46667,29.0,130.66553,132.0,164.0,77.0,0.612522551859082,True,False,False,False,True,2023-10-06,Bernstein,,,init,False,False,unknown,False,False,False,False,False
24,AMD,2023-10-06,sell,True,True,True,False,ok,,buy,1.5098,48.0,457.83334,474.0,625.0,225.0,3.2692404804185156,False,False,False,True,True,2023-08-03,Benchmark,,,main,False,False,unknown,False,False,False,False,False
25,MSFT,2023-10-06,sell,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.7490346208679441,False,False,False,True,True,2023-10-02,Wells Fargo,,,reit,False,False,unknown,False,False,False,False,False
26,AAPL,2023-10-06,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.757635157822653,True,False,False,False,True,2023-10-04,Keybanc,,,down,False,False,unknown,False,False,False,False,False
27,AAPL,2024-12-17,sell,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.22310777579204055,False,False,False,True,True,2024-12-13,Morgan Stanley,,,reit,False,False,unknown,False,False,False,False,False
28,NVDA,2023-05-24,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,7.945543746192694,True,False,False,False,True,2023-05-24,Citigroup,,,main,False,False,unknown,False,False,False,False,False
29,NFLX,2023-07-28,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,1.6904740096081494,True,False,False,False,True,2023-07-26,Needham,,,reit,False,False,unknown,False,False,False,False,False
30,MSFT,2023-07-28,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.6951887339887681,True,False,False,False,True,2023-07-28,Oppenheimer,,,reit,False,False,unknown,False,False,False,False,False
31,NFLX,2023-08-25,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,1.7535273474352642,True,False,False,False,True,2023-08-25,Loop Capital,,,up,False,False,unknown,False,False,False,False,False
32,NFLX,2023-08-25,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,1.7535273474352642,True,False,False,False,True,2023-08-25,Loop Capital,,,up,False,False,unknown,False,False,False,False,False
33,MSFT,2023-08-25,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.7722119920728945,True,False,False,False,True,2023-08-11,Redburn Partners,,,main,False,False,unknown,False,False,False,False,False
34,AAPL,2023-09-08,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.7508288695589131,True,False,False,False,True,2023-09-08,JP Morgan,,,main,False,False,unknown,False,False,False,False,False
35,AAPL,2023-09-08,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.7508288695589131,True,False,False,False,True,2023-09-08,JP Morgan,,,main,False,False,unknown,False,False,False,False,False
36,AAPL,2023-09-08,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.7508288695589131,True,False,False,False,True,2023-09-08,JP Morgan,,,main,False,False,unknown,False,False,False,False,False
37,AAPL,2023-09-08,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.7508288695589131,True,False,False,False,True,2023-09-08,JP Morgan,,,main,False,False,unknown,False,False,False,False,False
38,AAPL,2023-09-08,sell,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.7508288695589131,False,False,False,True,True,2023-09-08,JP Morgan,,,main,False,False,unknown,False,False,False,False,False
39,AAPL,2023-09-08,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.7508288695589131,True,False,False,False,True,2023-09-08,JP Morgan,,,main,False,False,unknown,False,False,False,False,False
40,AMD,2025-07-11,buy,True,True,True,False,ok,,buy,1.5098,48.0,457.83334,474.0,625.0,225.0,2.126849786405088,True,False,False,False,True,2025-07-10,HSBC,,,up,False,False,unknown,False,False,False,False,False
41,AMZN,2023-10-02,buy,True,True,True,False,ok,,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,1.4065459125812634,True,False,False,False,True,2023-10-02,Morgan Stanley,,,reit,False,False,unknown,False,False,False,False,False
42,MSFT,2023-10-02,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.7787105644428987,True,False,False,False,True,2023-10-02,Wells Fargo,,,reit,False,False,unknown,False,False,False,False,False
43,MSFT,2023-10-02,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.7787105644428987,True,False,False,False,True,2023-10-02,Wells Fargo,,,reit,False,False,unknown,False,False,False,False,False
44,NVDA,2025-10-06,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.4712049101685496,True,False,False,False,True,2025-10-03,Cantor Fitzgerald,,,reit,False,False,unknown,False,False,False,False,False
45,MSFT,2023-07-07,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.7009695873049973,True,False,False,False,True,2023-07-06,Morgan Stanley,,,main,False,False,unknown,False,False,False,False,False
46,AAPL,2023-11-20,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.627329473104036,True,False,False,False,True,2023-11-16,Tigress Financial,,,main,False,False,unknown,False,False,False,False,False
47,AAPL,2023-11-20,buy,True,True,True,False,ok,,buy,1.95833,43.0,308.06512,310.0,400.0,215.0,0.627329473104036,True,False,False,False,True,2023-11-16,Tigress Financial,,,main,False,False,unknown,False,False,False,False,False
48,UBER,2023-11-20,buy,False,True,True,False,ok,,buy,1.51923,50.0,104.9312,107.0,150.0,70.0,0.916551598173516,True,False,False,False,True,2023-11-13,JMP Securities,,,main,False,False,unknown,False,False,False,False,False
49,PYPL,2023-08-07,buy,False,True,True,False,ok,,hold,2.88636,34.0,52.52618,48.0,147.39,32.0,-0.180269898968347,False,False,True,False,False,2023-08-07,Barclays,,,main,False,False,unknown,False,False,False,False,False
50,MSFT,2024-11-01,sell,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.3844206724417225,False,False,False,True,True,2024-10-31,Morgan Stanley,,,main,False,False,unknown,False,False,False,False,False
51,MSFT,2024-11-01,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.3844206724417225,True,False,False,False,True,2024-10-31,Morgan Stanley,,,main,False,False,unknown,False,False,False,False,False
52,TSLA,2023-04-14,sell,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,1.2283981621621622,False,False,False,True,True,2023-04-11,Baird,,,main,False,False,unknown,False,False,False,False,False
53,MSFT,2023-04-14,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,1.0089985107854562,True,False,False,False,True,2023-04-14,Stifel,,,main,False,False,unknown,False,False,False,False,False
54,NVDA,2024-02-01,sell,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,3.333130948432524,False,False,False,True,True,2024-01-29,Cantor Fitzgerald,,,reit,False,False,unknown,False,False,False,False,False
55,AMZN,2024-02-01,sell,True,True,True,False,ok,,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,0.9559985709925511,False,False,False,True,True,2024-01-24,Telsey Advisory Group,,,main,False,False,unknown,False,False,False,False,False
56,NVDA,2025-08-25,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.5181733036452849,True,False,False,False,True,2025-08-25,Baird,,,main,False,False,unknown,False,False,False,False,False
57,NVDA,2025-08-25,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.5181733036452849,True,False,False,False,True,2025-08-25,Baird,,,main,False,False,unknown,False,False,False,False,False
58,TSLA,2023-08-07,buy,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.6395055279513773,True,False,False,False,True,2023-08-07,Bernstein,,,main,False,False,unknown,False,False,False,False,False
59,AMZN,2023-08-07,buy,True,True,True,False,ok,,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,1.1906303426092721,True,False,False,False,True,2023-08-07,Barclays,,,main,False,False,unknown,False,False,False,False,False
60,NVDA,2025-08-28,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.5151398270676801,True,False,False,False,True,2025-08-28,Needham,,,reit,False,False,unknown,False,False,False,False,False
61,GOOGL,2025-08-28,buy,False,True,True,False,ok,,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,1.0263260642521876,True,False,False,False,True,2025-08-21,Needham,,,reit,False,False,unknown,False,False,False,False,False
62,TSLA,2023-07-21,sell,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,0.5854691078320278,False,False,False,True,True,2023-07-21,Morgan Stanley,,,reit,False,False,unknown,False,False,False,False,False
63,MSFT,2023-10-26,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.7456739246870896,True,False,False,False,True,2023-10-26,HSBC,,,up,False,False,unknown,False,False,False,False,False
64,GOOGL,2023-10-26,buy,False,True,True,False,ok,,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,2.528161847013815,True,False,False,False,True,2023-10-25,Keybanc,,,main,False,False,unknown,False,False,False,False,False
65,TSLA,2023-10-26,buy,True,True,True,False,ok,,buy,2.3617,41.0,412.25366,450.0,600.0,123.0,1.0035656639089954,True,False,False,False,True,2023-10-19,Deutsche Bank,,,main,False,False,unknown,False,False,False,False,False
66,SOFI,2025-09-12,buy,False,True,True,False,ok,,hold,2.70833,20.0,21.1,18.5,31.0,12.0,-0.20527304684261583,False,False,True,False,False,2025-09-10,Needham,,,main,False,False,unknown,False,False,False,False,False
67,NVDA,2025-09-12,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.5350767670952048,True,False,False,False,True,2025-09-11,DA Davidson,,,up,False,False,unknown,False,False,False,False,False
68,NFLX,2026-03-04,sell,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,0.16110881560807355,False,False,False,True,True,2026-03-02,JP Morgan,,,up,False,False,unknown,False,False,False,False,False
69,NVDA,2025-08-21,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,0.56007977402283,True,False,False,False,True,2025-08-21,Wedbush,,,main,False,False,unknown,False,False,False,False,False
70,MSFT,2025-08-21,buy,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.11829936280091435,True,False,False,False,True,2025-08-18,Truist Securities,,,main,False,False,unknown,False,False,False,False,False
71,DIS,2026-02-12,buy,False,True,True,False,ok,,strong_buy,1.46667,29.0,130.66553,132.0,164.0,77.0,0.27627987405164456,True,False,False,False,True,2026-02-03,Jefferies,,,main,False,False,unknown,False,False,False,False,False
72,UBER,2025-07-15,buy,False,True,True,False,ok,,buy,1.51923,50.0,104.9312,107.0,150.0,70.0,0.13795901791381193,True,False,False,False,True,2025-07-14,Needham,,,main,False,False,unknown,False,False,False,False,False
73,NFLX,2023-04-18,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,2.4328739486576256,True,False,False,False,True,2023-04-18,Rosenblatt,,,reit,False,False,unknown,False,False,False,False,False
74,NFLX,2023-04-18,buy,False,True,True,False,ok,,buy,1.68,44.0,114.555,115.0,151.4,80.0,2.4328739486576256,True,False,False,False,True,2023-04-18,Rosenblatt,,,reit,False,False,unknown,False,False,False,False,False
75,GOOGL,2023-04-18,buy,False,True,True,False,ok,,strong_buy,1.39683,52.0,427.88712,430.0,515.0,334.22,3.1284555922238075,True,False,False,False,True,2023-04-06,UBS,,,main,False,False,unknown,False,False,False,False,False
76,NVDA,2024-02-22,buy,True,True,True,False,ok,,strong_buy,1.29508,57.0,272.93738,275.0,380.0,140.0,2.4773510167931185,True,False,False,False,True,2024-02-22,Wedbush,,,main,False,False,unknown,False,False,False,False,False
77,MSFT,2026-03-06,sell,False,True,True,False,ok,,strong_buy,1.30909,54.0,561.5561,562.5,870.0,400.0,0.3731321198486568,False,False,False,True,True,2026-02-05,Stifel,,,down,False,False,unknown,False,False,False,False,False
78,AMZN,2026-03-06,sell,True,True,True,False,ok,,strong_buy,1.34848,62.0,311.55145,317.0,370.0,207.0,0.4612421565096112,False,False,False,True,True,2026-02-23,Wells Fargo,,,main,False,False,unknown,False,False,False,False,False
79,DIS,2024-08-09,buy,False,True,True,False,ok,,strong_buy,1.46667,29.0,130.66553,132.0,164.0,77.0,0.5392178577751134,True,False,False,False,True,2024-08-08,Needham,,,main,False,False,unknown,False,False,False,False,False
80,PYPL,2025-09-17,buy,False,True,True,False,ok,,hold,2.88636,34.0,52.52618,48.0,147.39,32.0,-0.23044293414618067,False,False,True,False,False,2025-07-30,JMP Securities,,,main,False,False,unknown,False,False,False,False,False
81,META,2025-09-17,buy,False,True,True,False,ok,,strong_buy,1.34921,58.0,826.69104,825.0,1015.0,614.0,0.06821088769078054,True,False,False,False,True,2024-09-30,"Monness, Crespi, Hardt",,,main,False,False,unknown,False,False,False,False,False
