ticker,record_date,firm,to_grade,from_grade,action,source
AAPL,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 7, 'buy': 23, 'hold': 16, 'sell': 1, '",,recommendation,yfinance_recommendations
AAPL,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 7, 'buy': 25, 'hold': 14, 'sell': 1, ",,recommendation,yfinance_recommendations
AAPL,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 6, 'buy': 25, 'hold': 15, 'sell': 1, ",,recommendation,yfinance_recommendations
AAPL,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 5, 'buy': 25, 'hold': 16, 'sell': 1, ",,recommendation,yfinance_recommendations
AMC,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 0, 'buy': 2, 'hold': 4, 'sell': 1, 'st",,recommendation,yfinance_recommendations
AMC,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 0, 'buy': 1, 'hold': 5, 'sell': 1, 's",,recommendation,yfinance_recommendations
AMC,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 0, 'buy': 1, 'hold': 5, 'sell': 1, 's",,recommendation,yfinance_recommendations
AMC,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 0, 'buy': 1, 'hold': 5, 'sell': 1, 's",,recommendation,yfinance_recommendations
AMD,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 4, 'buy': 36, 'hold': 11, 'sell': 0, '",,recommendation,yfinance_recommendations
AMD,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 4, 'buy': 33, 'hold': 13, 'sell': 0, ",,recommendation,yfinance_recommendations
AMD,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 5, 'buy': 34, 'hold': 12, 'sell': 0, ",,recommendation,yfinance_recommendations
AMD,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 6, 'buy': 34, 'hold': 12, 'sell': 0, ",,recommendation,yfinance_recommendations
AMZN,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 15, 'buy': 47, 'hold': 4, 'sell': 0, '",,recommendation,yfinance_recommendations
AMZN,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 14, 'buy': 48, 'hold': 5, 'sell': 0, ",,recommendation,yfinance_recommendations
AMZN,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 15, 'buy': 50, 'hold': 4, 'sell': 0, ",,recommendation,yfinance_recommendations
AMZN,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 15, 'buy': 49, 'hold': 4, 'sell': 0, ",,recommendation,yfinance_recommendations
COIN,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 3, 'buy': 17, 'hold': 10, 'sell': 2, '",,recommendation,yfinance_recommendations
COIN,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 3, 'buy': 17, 'hold': 10, 'sell': 2, ",,recommendation,yfinance_recommendations
COIN,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 3, 'buy': 18, 'hold': 11, 'sell': 2, ",,recommendation,yfinance_recommendations
COIN,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 3, 'buy': 18, 'hold': 11, 'sell': 2, ",,recommendation,yfinance_recommendations
CRM,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 6, 'buy': 27, 'hold': 8, 'sell': 0, 's",,recommendation,yfinance_recommendations
CRM,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 6, 'buy': 29, 'hold': 9, 'sell': 0, '",,recommendation,yfinance_recommendations
CRM,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 7, 'buy': 34, 'hold': 12, 'sell': 0, ",,recommendation,yfinance_recommendations
CRM,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 7, 'buy': 36, 'hold': 12, 'sell': 0, ",,recommendation,yfinance_recommendations
DIS,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 6, 'buy': 21, 'hold': 2, 'sell': 1, 's",,recommendation,yfinance_recommendations
DIS,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 7, 'buy': 20, 'hold': 3, 'sell': 1, '",,recommendation,yfinance_recommendations
DIS,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 6, 'buy': 20, 'hold': 4, 'sell': 1, '",,recommendation,yfinance_recommendations
DIS,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 6, 'buy': 20, 'hold': 4, 'sell': 1, '",,recommendation,yfinance_recommendations
GOOGL,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 13, 'buy': 44, 'hold': 6, 'sell': 0, '",,recommendation,yfinance_recommendations
GOOGL,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 13, 'buy': 46, 'hold': 5, 'sell': 0, ",,recommendation,yfinance_recommendations
GOOGL,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 13, 'buy': 50, 'hold': 6, 'sell': 0, ",,recommendation,yfinance_recommendations
GOOGL,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 12, 'buy': 49, 'hold': 7, 'sell': 0, ",,recommendation,yfinance_recommendations
HOOD,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 4, 'buy': 15, 'hold': 5, 'sell': 2, 's",,recommendation,yfinance_recommendations
HOOD,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 4, 'buy': 15, 'hold': 5, 'sell': 2, '",,recommendation,yfinance_recommendations
HOOD,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 4, 'buy': 16, 'hold': 3, 'sell': 2, '",,recommendation,yfinance_recommendations
HOOD,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 4, 'buy': 15, 'hold': 3, 'sell': 2, '",,recommendation,yfinance_recommendations
META,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 8, 'buy': 48, 'hold': 7, 'sell': 0, 's",,recommendation,yfinance_recommendations
META,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 9, 'buy': 47, 'hold': 7, 'sell': 0, '",,recommendation,yfinance_recommendations
META,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 11, 'buy': 50, 'hold': 6, 'sell': 0, ",,recommendation,yfinance_recommendations
META,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 11, 'buy': 51, 'hold': 5, 'sell': 0, ",,recommendation,yfinance_recommendations
MSFT,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 11, 'buy': 41, 'hold': 3, 'sell': 0, '",,recommendation,yfinance_recommendations
MSFT,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 9, 'buy': 42, 'hold': 3, 'sell': 0, '",,recommendation,yfinance_recommendations
MSFT,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 10, 'buy': 45, 'hold': 3, 'sell': 0, ",,recommendation,yfinance_recommendations
MSFT,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 10, 'buy': 44, 'hold': 3, 'sell': 0, ",,recommendation,yfinance_recommendations
NFLX,1970-01-01,,"{'index': 0, 'period': '0m', 'strongBuy': 8, 'buy': 29, 'hold': 13, 'sell': 0, '",,recommendation,yfinance_recommendations
NFLX,1970-01-01,,"{'index': 1, 'period': '-1m', 'strongBuy': 8, 'buy': 29, 'hold': 12, 'sell': 0, ",,recommendation,yfinance_recommendations
NFLX,1970-01-01,,"{'index': 2, 'period': '-2m', 'strongBuy': 10, 'buy': 27, 'hold': 13, 'sell': 0,",,recommendation,yfinance_recommendations
NFLX,1970-01-01,,"{'index': 3, 'period': '-3m', 'strongBuy': 9, 'buy': 26, 'hold': 10, 'sell': 0, ",,recommendation,yfinance_recommendations
