ticker,record_date,firm,to_grade,from_grade,action,source
AAPL,2026-05-14,Tigress Financial,Strong Buy,Strong Buy,main,yfinance_upgrades_downgrades
AAPL,2026-05-14,Evercore ISI Group,Outperform,Outperform,main,yfinance_upgrades_downgrades
AAPL,2026-05-08,Wedbush,Outperform,Outperform,main,yfinance_upgrades_downgrades
AAPL,2026-05-01,TD Cowen,Buy,Buy,main,yfinance_upgrades_downgrades
AAPL,2026-05-01,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-05-01,Barclays,Underweight,Underweight,main,yfinance_upgrades_downgrades
AAPL,2026-05-01,Rosenblatt,Neutral,Neutral,main,yfinance_upgrades_downgrades
AAPL,2026-05-01,Morgan Stanley,Overweight,Overweight,main,yfinance_upgrades_downgrades
AAPL,2026-05-01,Needham,Hold,Hold,reit,yfinance_upgrades_downgrades
AAPL,2026-04-28,UBS,Neutral,Neutral,main,yfinance_upgrades_downgrades
AAPL,2026-04-21,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-04-21,Rosenblatt,Neutral,Neutral,main,yfinance_upgrades_downgrades
AAPL,2026-04-17,BNP Paribas,Outperform,Neutral,up,yfinance_upgrades_downgrades
AAPL,2026-04-14,B of A Securities,Buy,Buy,main,yfinance_upgrades_downgrades
AAPL,2026-03-31,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-03-27,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-03-23,Morgan Stanley,Overweight,Overweight,reit,yfinance_upgrades_downgrades
AAPL,2026-03-23,B of A Securities,Buy,Buy,main,yfinance_upgrades_downgrades
AAPL,2026-03-05,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-03-05,Rosenblatt,Neutral,Neutral,main,yfinance_upgrades_downgrades
AAPL,2026-03-03,Barclays,Underweight,Underweight,main,yfinance_upgrades_downgrades
AAPL,2026-02-17,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-01-30,JP Morgan,Overweight,Overweight,main,yfinance_upgrades_downgrades
AAPL,2026-01-30,TD Cowen,Buy,Buy,reit,yfinance_upgrades_downgrades
AAPL,2026-01-30,Barclays,Underweight,Underweight,main,yfinance_upgrades_downgrades
AAPL,2026-01-30,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-01-30,Needham,Hold,Hold,reit,yfinance_upgrades_downgrades
AAPL,2026-01-30,Rosenblatt,Neutral,Neutral,main,yfinance_upgrades_downgrades
AAPL,2026-01-26,JP Morgan,Overweight,Overweight,main,yfinance_upgrades_downgrades
AAPL,2026-01-26,Jefferies,Hold,Hold,main,yfinance_upgrades_downgrades
AAPL,2026-01-20,Citigroup,Buy,Buy,main,yfinance_upgrades_downgrades
AAPL,2026-01-20,Evercore ISI Group,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-01-13,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-01-12,Wedbush,Outperform,Outperform,reit,yfinance_upgrades_downgrades
AAPL,2026-01-09,Evercore ISI Group,Outperform,Outperform,main,yfinance_upgrades_downgrades
AAPL,2025-12-17,Morgan Stanley,Overweight,Overweight,main,yfinance_upgrades_downgrades
AAPL,2025-12-09,Citigroup,Buy,Buy,main,yfinance_upgrades_downgrades
