event_id,video_id,ticker,event_date,in_v1_locked_sample,in_v2_live_sample,v1_only,v2_only,shared,notes
1,-AtxEBm7naw,TSLA,2023-10-13,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
2,-AtxEBm7naw,GOOGL,2023-10-13,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
3,-GlySQJDMq0,AMZN,2023-06-23,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
4,-GlySQJDMq0,NVDA,2023-06-23,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
5,-GlySQJDMq0,TSLA,2023-06-23,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
6,0HEghfHYEk4,PYPL,2026-03-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
7,0RRkXdEEnLE,MSFT,2026-02-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
8,0RRkXdEEnLE,UBER,2026-02-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
9,0RRkXdEEnLE,NVDA,2026-02-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
10,0RRkXdEEnLE,NFLX,2026-02-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
11,0d64alYucZQ,NFLX,2023-02-10,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
12,0dWfXNl_uFg,AMZN,2023-06-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
13,0dWfXNl_uFg,NFLX,2023-06-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
14,0dWfXNl_uFg,NVDA,2023-06-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
15,0dWfXNl_uFg,TSLA,2023-06-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
16,10KzfNZryVI,GOOGL,2024-01-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
17,10KzfNZryVI,TSLA,2024-01-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
18,1U8L8x1VUFE,TSLA,2023-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
19,1U8L8x1VUFE,AAPL,2023-08-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
20,1X7DdlfHaRw,AMZN,2023-03-03,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
21,1YqWGg78zqk,NVDA,2025-08-27,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
22,1YqWGg78zqk,NVDA,2025-08-27,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
23,1dB1d_j52FM,DIS,2023-10-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
24,1dB1d_j52FM,AMD,2023-10-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
25,1dB1d_j52FM,MSFT,2023-10-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
26,1dB1d_j52FM,AAPL,2023-10-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
27,1dZfqxqT6_c,AAPL,2024-12-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
28,23PBK_ZYCT8,NVDA,2023-05-24,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
29,2_MQtf3XOUg,NFLX,2023-07-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
30,2_MQtf3XOUg,MSFT,2023-07-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
31,2angHb8-cfU,NFLX,2023-08-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
32,2angHb8-cfU,NFLX,2023-08-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
33,2angHb8-cfU,MSFT,2023-08-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
34,2hF0_S38gc0,AAPL,2023-09-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
35,2hF0_S38gc0,AAPL,2023-09-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
36,2hF0_S38gc0,AAPL,2023-09-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
37,2hF0_S38gc0,AAPL,2023-09-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
38,2hF0_S38gc0,AAPL,2023-09-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
39,2hF0_S38gc0,AAPL,2023-09-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
40,2uKbBJCs6UA,AMD,2025-07-11,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
41,31vaZzJkMaU,AMZN,2023-09-30,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
42,31vaZzJkMaU,MSFT,2023-09-30,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
43,31vaZzJkMaU,MSFT,2023-09-30,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
44,34HX-1xNyng,NVDA,2025-10-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
45,35o0vzF108U,MSFT,2023-07-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
46,3SWmWnFfXdY,AAPL,2023-11-20,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
47,3SWmWnFfXdY,AAPL,2023-11-20,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
48,3SWmWnFfXdY,UBER,2023-11-20,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
49,3xZTFoIDDfE,PYPL,2023-08-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
50,44bWgTeU7sM,MSFT,2024-11-01,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
51,44bWgTeU7sM,MSFT,2024-11-01,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
52,65JAF7VVjdg,TSLA,2023-04-14,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
53,65JAF7VVjdg,MSFT,2023-04-14,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
54,6748pkSNY3U,NVDA,2024-02-01,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
55,6748pkSNY3U,AMZN,2024-02-01,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
56,6KPwRv_UBi0,NVDA,2025-08-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
57,6KPwRv_UBi0,NVDA,2025-08-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
58,7__Qgn7QUEY,TSLA,2023-08-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
59,7__Qgn7QUEY,AMZN,2023-08-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
60,97j1_mHzIQ0,NVDA,2025-08-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
61,97j1_mHzIQ0,GOOGL,2025-08-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
62,9Ru3CaETF20,TSLA,2023-07-21,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
63,9bK8GPEffqA,MSFT,2023-10-26,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
64,9bK8GPEffqA,GOOGL,2023-10-26,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
65,9bK8GPEffqA,TSLA,2023-10-26,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
66,9kJI7BgxLM8,SOFI,2025-09-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
67,9kJI7BgxLM8,NVDA,2025-09-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
68,B6S8a3s2hsc,NFLX,2026-03-04,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
69,BS-FOYQpQP8,NVDA,2025-08-21,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
70,BS-FOYQpQP8,MSFT,2025-08-21,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
71,BcrKHeLTQDU,DIS,2026-02-12,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
72,CG10U8nRJrQ,UBER,2025-07-15,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
73,CLk6va-UIRM,NFLX,2023-04-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
74,CLk6va-UIRM,NFLX,2023-04-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
75,CLk6va-UIRM,GOOGL,2023-04-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
76,DHwoJCG4ndQ,NVDA,2024-02-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
77,DlS4WhVvDkM,MSFT,2026-03-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
78,DlS4WhVvDkM,AMZN,2026-03-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
79,Dncak16KYh8,DIS,2024-08-09,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
80,E0HHNg9gi8c,PYPL,2025-09-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
81,E0HHNg9gi8c,META,2025-09-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
82,EAWKHNBmVtM,DIS,2023-09-15,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
83,EAWKHNBmVtM,AAPL,2023-09-15,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
84,FLfvPzUYoPE,GOOGL,2025-07-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
85,FeENJP2vWA8,NVDA,2023-07-24,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
86,FeENJP2vWA8,NVDA,2023-07-24,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
87,GIPCWsA3i4Y,GOOGL,2025-08-20,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
88,GVA7lniVgiU,META,2026-02-24,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
89,Gp5lBn3CQKM,GOOGL,2023-03-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
90,Gp5lBn3CQKM,GOOGL,2023-03-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
91,Gp5lBn3CQKM,AAPL,2023-03-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
92,Gp5lBn3CQKM,AAPL,2023-03-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
93,Gp5lBn3CQKM,NFLX,2023-03-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
94,Gp5lBn3CQKM,NVDA,2023-03-17,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
95,GrVx-TilfBE,MSFT,2023-07-21,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
96,GrVx-TilfBE,NVDA,2023-07-21,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
97,H-yz9DyYa8A,NVDA,2023-11-23,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
98,H-yz9DyYa8A,AAPL,2023-11-23,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
99,H-yz9DyYa8A,MSFT,2023-11-23,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
100,H8csy_L4fqg,NVDA,2025-08-13,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
101,H8csy_L4fqg,NVDA,2025-08-13,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
102,H9Lco_DOsPs,NVDA,2023-02-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
103,H9Lco_DOsPs,NFLX,2023-02-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
104,H9Lco_DOsPs,MSFT,2023-02-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
105,H9Lco_DOsPs,AMZN,2023-02-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
106,H9Lco_DOsPs,GOOGL,2023-02-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
107,HDde6rXbRCg,TSLA,2023-01-26,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
108,HDde6rXbRCg,TSLA,2023-01-26,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
109,IXgrCqWst4o,NVDA,2025-08-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
110,IgGPrrJCmq0,TSLA,2024-01-25,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
111,J8Yi959ALgg,AMZN,2026-02-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
112,J8Yi959ALgg,META,2026-02-18,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
113,JAzlSk7F9yc,MSFT,2024-08-02,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
114,JJnHO-r1NDU,NVDA,2025-07-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
115,JJnHO-r1NDU,NVDA,2025-07-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
116,JJnHO-r1NDU,AMD,2025-07-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
117,Jr3qnEoyjHQ,NVDA,2024-02-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
118,Jr3qnEoyjHQ,GOOGL,2024-02-08,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
119,KPbZs0kJhsA,AMD,2023-01-26,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
120,Kf5IeXjfEV0,TSLA,2023-07-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
121,Kf5IeXjfEV0,GOOGL,2023-07-05,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
122,L203FYqE18s,MSFT,2023-07-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
123,L203FYqE18s,AAPL,2023-07-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
124,L203FYqE18s,AMZN,2023-07-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
125,L203FYqE18s,GOOGL,2023-07-07,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
126,LOFBkmLXKpg,GOOGL,2025-08-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
127,LOS2PyV2pqo,NVDA,2025-08-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
128,LOS2PyV2pqo,GOOGL,2025-08-28,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
129,LSUYcqxepAM,GOOGL,2025-09-04,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
130,LUz2iGASKj8,AAPL,2023-03-31,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
131,LW5PYybSaQc,AMZN,2023-02-02,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
132,LYrD77UnYwc,PYPL,2025-09-03,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
133,LYrD77UnYwc,AAPL,2025-09-03,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
134,M591u02m3m4,TSLA,2023-11-06,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
135,MD9aPvypKlU,NVDA,2025-07-16,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
136,MQ86Mut9A9I,AMD,2026-02-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
137,MQ86Mut9A9I,AMD,2026-02-22,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
138,MdBJZubgoCU,PYPL,2025-08-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
139,MdBJZubgoCU,PYPL,2025-08-19,True,True,False,False,True,event_id bridge between v1 manifest and v2 live DB
