specification,horizon,requested_horizon_days,n_events,n_full_window,n_right_censored,mean_raw_return,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,mean_spy_car,t_spy_car,p_spy_car,notes
all,1D,1,2322,2322,0,0.001093,-0.000024,-0.029,0.976636,0.000046,0.5026,-0.000024,-0.029,0.976636,right-censored rows retained and counted
all,2D,2,2322,2316,6,0.002528,0.000899,0.937,0.348900,-0.000417,0.4944,0.000901,0.945,0.344487,right-censored rows retained and counted
all,3D,3,2322,2309,13,0.002704,0.000412,0.375,0.707547,-0.000700,0.4819,0.000378,0.345,0.729866,right-censored rows retained and counted
all,5D,5,2322,2299,23,0.004094,0.000635,0.496,0.619606,-0.001388,0.4841,0.000715,0.560,0.575292,right-censored rows retained and counted
all,10D,10,2322,2251,71,0.008135,0.000835,0.412,0.680133,-0.002643,0.4811,-0.001182,-0.508,0.611293,right-censored rows retained and counted
all,21D,21,2322,2173,149,0.016959,0.003173,1.176,0.239438,-0.001731,0.4953,0.000230,0.076,0.939606,right-censored rows retained and counted
all,42D,42,2322,2101,221,0.053878,0.023760,6.328,0.000000,0.000721,0.5017,0.020398,5.747,0.000000,right-censored rows retained and counted
all,63D,63,2322,1960,362,0.090321,0.042903,8.882,0.000000,0.009641,0.5211,0.036747,8.402,0.000000,right-censored rows retained and counted
all,126D,126,2322,1592,730,0.176779,0.084560,11.905,0.000000,0.032062,0.5624,0.068399,11.007,0.000000,right-censored rows retained and counted
all,252D,252,2322,1238,1084,0.315997,0.157459,16.032,0.000000,0.068101,0.6016,0.127823,17.355,0.000000,right-censored rows retained and counted
all,504D,504,2322,721,1601,0.518057,0.253685,18.272,0.000000,0.086060,0.6219,0.183704,19.755,0.000000,right-censored rows retained and counted
all,end_of_sample,,2322,2322,0,0.700227,0.344900,17.515,0.000000,0.095527,0.6301,0.211704,19.327,0.000000,right-censored rows retained and counted
top5,1D,1,1362,1362,0,0.003931,0.003050,3.263,0.001104,0.001380,0.5352,0.003050,3.263,0.001104,right-censored rows retained and counted
top5,2D,2,1362,1361,1,0.006188,0.004781,3.944,0.000080,0.000488,0.5095,0.004732,3.934,0.000084,right-censored rows retained and counted
top5,3D,3,1362,1359,3,0.006925,0.004501,3.179,0.001478,0.001507,0.5162,0.004429,3.167,0.001539,right-censored rows retained and counted
top5,5D,5,1362,1356,6,0.007631,0.004406,2.481,0.013094,0.000533,0.5081,0.004181,2.365,0.018032,right-censored rows retained and counted
top5,10D,10,1362,1336,26,0.018956,0.011788,4.775,0.000002,0.002276,0.5213,0.011489,4.806,0.000002,right-censored rows retained and counted
top5,21D,21,1362,1293,69,0.031435,0.017313,4.781,0.000002,0.005992,0.5367,0.016427,4.961,0.000001,right-censored rows retained and counted
top5,42D,42,1362,1257,105,0.085075,0.054929,10.264,0.000000,0.019636,0.5705,0.051094,11.186,0.000000,right-censored rows retained and counted
top5,63D,63,1362,1183,179,0.140659,0.092714,13.452,0.000000,0.044568,0.6050,0.085150,15.300,0.000000,right-censored rows retained and counted
top5,126D,126,1362,1000,362,0.267753,0.174241,17.588,0.000000,0.083105,0.6762,0.156895,21.840,0.000000,right-censored rows retained and counted
top5,252D,252,1362,796,566,0.455846,0.291735,21.482,0.000000,0.130266,0.7651,0.250958,28.122,0.000000,right-censored rows retained and counted
top5,504D,504,1362,471,891,0.712853,0.433119,23.001,0.000000,0.150631,0.8164,0.348332,33.365,0.000000,right-censored rows retained and counted
top5,end_of_sample,,1362,1362,0,0.955687,0.574310,20.505,0.000000,0.160248,0.8576,0.407662,34.788,0.000000,right-censored rows retained and counted
non_top,1D,1,960,960,0,-0.002934,-0.004384,-3.113,0.001850,-0.001486,0.4562,-0.004384,-3.113,0.001850,right-censored rows retained and counted
non_top,2D,2,960,955,5,-0.002665,-0.004607,-2.984,0.002845,-0.002315,0.4729,-0.004533,-2.953,0.003142,right-censored rows retained and counted
non_top,3D,3,960,950,10,-0.003285,-0.005388,-3.121,0.001800,-0.003018,0.4333,-0.005369,-3.087,0.002021,right-censored rows retained and counted
non_top,5D,5,960,943,17,-0.000924,-0.004715,-2.645,0.008177,-0.004474,0.4500,-0.004202,-2.347,0.018940,right-censored rows retained and counted
non_top,10D,10,960,915,45,-0.007219,-0.014706,-4.378,0.000012,-0.011863,0.4240,-0.019160,-4.328,0.000015,right-censored rows retained and counted
non_top,21D,21,960,880,80,-0.003580,-0.016889,-4.295,0.000018,-0.015185,0.4365,-0.022749,-4.085,0.000044,right-censored rows retained and counted
non_top,42D,42,960,844,116,0.009616,-0.020461,-4.423,0.000010,-0.026145,0.4042,-0.023152,-4.346,0.000014,right-censored rows retained and counted
