specification,horizon,requested_horizon_days,n_events,n_full_window,n_right_censored,mean_raw_return,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,mean_spy_car,t_spy_car,p_spy_car,notes
buy,1D,1,1808,1808,0,0.002121,0.001255,1.631,0.102800,-0.000566,0.4862,0.001255,1.631,0.102800,right-censored rows retained and counted
buy,2D,2,1808,1803,5,0.003794,0.002356,2.471,0.013477,-0.000926,0.4862,0.002356,2.501,0.012394,right-censored rows retained and counted
buy,3D,3,1808,1797,11,0.003817,0.001904,1.713,0.086726,-0.001143,0.4729,0.001904,1.740,0.081946,right-censored rows retained and counted
buy,5D,5,1808,1787,21,0.004635,0.001785,1.268,0.204642,-0.001687,0.4806,0.001653,1.185,0.235905,right-censored rows retained and counted
buy,10D,10,1808,1748,60,0.012329,0.005402,2.666,0.007681,-0.002693,0.4834,0.004595,2.181,0.029199,right-censored rows retained and counted
buy,21D,21,1808,1688,120,0.019761,0.006180,2.197,0.028031,-0.002172,0.4928,0.005095,1.795,0.072688,right-censored rows retained and counted
buy,42D,42,1808,1630,178,0.053241,0.023301,5.753,0.000000,-0.002438,0.4934,0.021163,5.743,0.000000,right-censored rows retained and counted
buy,63D,63,1808,1531,277,0.092438,0.045528,8.549,0.000000,0.006638,0.5160,0.040512,8.798,0.000000,right-censored rows retained and counted
buy,126D,126,1808,1234,574,0.179659,0.088600,11.124,0.000000,0.026710,0.5564,0.074359,11.418,0.000000,right-censored rows retained and counted
buy,252D,252,1808,957,851,0.325429,0.166941,14.998,0.000000,0.070183,0.6007,0.133812,16.195,0.000000,right-censored rows retained and counted
buy,504D,504,1808,552,1256,0.524399,0.262210,16.559,0.000000,0.083004,0.6045,0.189621,18.550,0.000000,right-censored rows retained and counted
buy,end_of_sample,,1808,1808,0,0.703101,0.350122,15.586,0.000000,0.086103,0.6095,0.217818,18.656,0.000000,right-censored rows retained and counted
sell,1D,1,514,514,0,-0.002524,-0.004520,-1.876,0.060611,0.002130,0.5603,-0.004520,-1.876,0.060611,right-censored rows retained and counted
sell,2D,2,514,513,1,-0.001926,-0.004224,-1.541,0.123306,0.002045,0.5233,-0.004217,-1.539,0.123905,right-censored rows retained and counted
sell,3D,3,514,512,2,-0.001210,-0.004835,-1.584,0.113206,0.001427,0.5136,-0.004989,-1.611,0.107202,right-censored rows retained and counted
sell,5D,5,514,512,2,0.002194,-0.003409,-1.144,0.252562,-0.000415,0.4961,-0.002584,-0.853,0.393838,right-censored rows retained and counted
sell,10D,10,514,503,11,-0.006618,-0.015232,-2.684,0.007281,-0.002531,0.4728,-0.021504,-2.911,0.003600,right-censored rows retained and counted
sell,21D,21,514,485,29,0.007104,-0.007404,-1.043,0.296817,0.000932,0.5039,-0.016880,-1.799,0.072073,right-censored rows retained and counted
sell,42D,42,514,471,43,0.056116,0.025377,2.754,0.005892,0.008755,0.5311,0.017708,1.874,0.060887,right-censored rows retained and counted
sell,63D,63,514,429,85,0.082873,0.033669,3.008,0.002627,0.014003,0.5389,0.023503,2.079,0.037661,right-censored rows retained and counted
sell,126D,126,514,358,156,0.166648,0.070348,4.498,0.000007,0.034266,0.5837,0.047437,2.927,0.003426,right-censored rows retained and counted
sell,252D,252,514,281,233,0.282821,0.124106,5.959,0.000000,0.058136,0.6051,0.106758,6.599,0.000000,right-censored rows retained and counted
sell,504D,504,514,169,345,0.495750,0.223700,7.762,0.000000,0.108892,0.6829,0.162893,7.501,0.000000,right-censored rows retained and counted
sell,end_of_sample,,514,514,0,0.690117,0.326535,7.985,0.000000,0.118470,0.7023,0.190197,6.889,0.000000,right-censored rows retained and counted
