creator,horizon,event_count,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,right_censored
Ale's World of Stocks,126D,19,0.141356,2.563,0.010386,0.045016,0.5789,6
Ale's World of Stocks,21D,19,-0.024063,-1.088,0.276521,-0.023178,0.3684,0
Ale's World of Stocks,252D,19,0.087215,1.334,0.182150,0.055939,0.5789,7
Ale's World of Stocks,504D,19,0.262698,3.152,0.001621,0.135493,0.6316,19
Ale's World of Stocks,5D,19,-0.009088,-0.841,0.400095,-0.007723,0.2105,0
Ale's World of Stocks,63D,19,0.026676,1.061,0.288889,-0.046348,0.4737,5
Ale's World of Stocks,end_of_sample,19,0.262698,3.152,0.001621,0.135493,0.6316,0
Best of Us Investors,126D,12,0.052755,1.436,0.150929,0.108140,0.6667,10
Best of Us Investors,21D,12,0.019655,0.883,0.377478,0.010420,0.7500,1
Best of Us Investors,252D,12,0.073251,1.990,0.046596,0.145608,0.7500,12
Best of Us Investors,504D,12,0.073251,1.990,0.046596,0.145608,0.7500,12
Best of Us Investors,5D,12,-0.011911,-1.043,0.296800,-0.013396,0.4167,0
Best of Us Investors,63D,12,0.055851,1.670,0.094966,0.108140,0.5833,9
Best of Us Investors,end_of_sample,12,0.073251,1.990,0.046596,0.145608,0.7500,0
Bloomberg Television,126D,3,0.044332,1.443,0.149017,0.075053,0.6667,3
Bloomberg Television,21D,3,0.044332,1.443,0.149017,0.075053,0.6667,3
Bloomberg Television,252D,3,0.044332,1.443,0.149017,0.075053,0.6667,3
Bloomberg Television,504D,3,0.044332,1.443,0.149017,0.075053,0.6667,3
Bloomberg Television,5D,3,0.042668,1.318,0.187667,0.075053,0.6667,0
Bloomberg Television,63D,3,0.044332,1.443,0.149017,0.075053,0.6667,3
Bloomberg Television,end_of_sample,3,0.044332,1.443,0.149017,0.075053,0.6667,0
CNBC Television,126D,3,0.056196,5.960,0.000000,0.046767,1.0000,3
CNBC Television,21D,3,0.056196,5.960,0.000000,0.046767,1.0000,3
CNBC Television,252D,3,0.056196,5.960,0.000000,0.046767,1.0000,3
CNBC Television,504D,3,0.056196,5.960,0.000000,0.046767,1.0000,3
