ticker,horizon,event_count,mean_spy_bhar,t_spy_bhar,p_spy_bhar,median_spy_bhar,win_rate_spy_bhar,right_censored
AAPL,126D,231,-0.010744,-1.383,0.166526,0.001184,0.5152,27
AAPL,21D,231,0.004649,1.289,0.197395,0.010397,0.5931,5
AAPL,252D,231,-0.005941,-0.856,0.391754,-0.008126,0.4589,50
AAPL,504D,231,0.002956,0.326,0.744242,0.003151,0.5325,111
AAPL,5D,231,0.000753,0.403,0.686945,0.001321,0.5152,0
AAPL,63D,231,0.010528,1.634,0.102294,0.013533,0.5195,13
AAPL,end_of_sample,231,0.049336,5.303,0.000000,0.019070,0.6320,0
AMC,126D,20,-0.798521,-8.799,0.000000,-0.897541,0.0500,0
AMC,21D,20,-0.511787,-6.401,0.000000,-0.426366,0.1500,0
AMC,252D,20,-0.951743,-14.532,0.000000,-1.022206,0.0000,0
AMC,504D,20,-1.333012,-43.846,0.000000,-1.363706,0.0000,2
AMC,5D,20,-0.169987,-5.335,0.000000,-0.179681,0.1000,0
AMC,63D,20,-0.538671,-6.509,0.000000,-0.558742,0.1500,0
AMC,end_of_sample,20,-1.609381,-31.717,0.000000,-1.682888,0.0000,0
AMD,126D,187,0.492357,15.360,0.000000,0.424340,0.8930,89
AMD,21D,187,0.046256,3.081,0.002063,-0.017955,0.4545,19
AMD,252D,187,0.825693,18.636,0.000000,0.845506,0.9305,142
AMD,504D,187,1.028764,20.590,0.000000,0.988689,0.9626,161
AMD,5D,187,0.014920,2.624,0.008695,0.010800,0.5615,3
AMD,63D,187,0.268247,8.894,0.000000,0.216987,0.6578,36
AMD,end_of_sample,187,1.365634,19.726,0.000000,1.075369,1.0000,0
AMZN,126D,246,0.045896,5.843,0.000000,0.033689,0.6301,68
AMZN,21D,246,0.009560,2.349,0.018828,0.014112,0.5650,16
AMZN,252D,246,0.072032,6.962,0.000000,0.058136,0.6951,90
AMZN,504D,246,0.095344,7.754,0.000000,0.074057,0.7927,170
AMZN,5D,246,0.000885,0.355,0.722920,0.003818,0.5325,1
AMZN,63D,246,0.049093,7.356,0.000000,0.046073,0.6748,46
AMZN,end_of_sample,246,0.135257,8.971,0.000000,0.093760,0.8659,0
COIN,126D,1,-0.464805,,,-0.464805,0.0000,0
COIN,21D,1,-0.167215,,,-0.167215,0.0000,0
COIN,252D,1,-0.469762,,,-0.469762,0.0000,1
COIN,504D,1,-0.469762,,,-0.469762,0.0000,1
COIN,5D,1,-0.056477,,,-0.056477,0.0000,0
COIN,63D,1,-0.505125,,,-0.505125,0.0000,0
COIN,end_of_sample,1,-0.469762,,,-0.469762,0.0000,0
CRM,126D,5,-0.166305,-1.545,0.122464,-0.256298,0.2000,0
CRM,21D,5,-0.014705,-1.834,0.066625,-0.009145,0.2000,0
CRM,252D,5,-0.399893,-6.619,0.000000,-0.433536,0.0000,2
CRM,504D,5,-0.626778,-8.373,0.000000,-0.719015,0.0000,5
CRM,5D,5,-0.003752,-0.229,0.818884,-0.025458,0.4000,0
CRM,63D,5,-0.044778,-1.087,0.277014,-0.028720,0.4000,0
CRM,end_of_sample,5,-0.626778,-8.373,0.000000,-0.719015,0.0000,0
DIS,126D,32,-0.027987,-0.857,0.391312,-0.059776,0.3750,2
DIS,21D,32,0.011221,0.995,0.319611,0.016589,0.5312,0
DIS,252D,32,-0.149106,-6.505,0.000000,-0.148556,0.1250,3
DIS,504D,32,-0.279814,-9.089,0.000000,-0.271557,0.0938,9
DIS,5D,32,0.006137,1.342,0.179500,0.003733,0.7188,0
DIS,63D,32,0.024190,1.164,0.244222,0.031649,0.6250,1
DIS,end_of_sample,32,-0.511678,-10.033,0.000000,-0.480515,0.0000,0
GOOGL,126D,240,0.158563,11.825,0.000000,0.140549,0.7917,56
GOOGL,21D,240,0.026444,5.056,0.000000,0.024487,0.6083,15
