sample,horizon,benchmark_or_model,right_censored,n,mean,standard_error,median,t_stat,p_value,win_rate,notes
all,5D,SPY_CAR,23,2322,0.000715,0.001277,-0.001046,0.560,0.575292,0.4905,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
all,10D,SPY_CAR,71,2322,-0.001182,0.002326,-0.000749,-0.508,0.611293,0.4961,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
all,21D,SPY_CAR,149,2322,0.000230,0.003038,0.001998,0.076,0.939606,0.5073,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
all,42D,SPY_CAR,221,2322,0.020398,0.003550,0.008301,5.747,0.000000,0.5220,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
all,63D,SPY_CAR,362,2322,0.036747,0.004374,0.018987,8.402,0.000000,0.5599,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
all,126D,SPY_CAR,730,2322,0.068399,0.006214,0.054654,11.007,0.000000,0.6137,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
all,252D,SPY_CAR,1084,2322,0.127823,0.007365,0.083305,17.355,0.000000,0.6473,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
all,504D,SPY_CAR,1601,2322,0.183704,0.009299,0.111033,19.755,0.000000,0.6761,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
all,end_of_sample,SPY_CAR,0,2322,0.211704,0.010954,0.121283,19.327,0.000000,0.6908,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,5D,SPY_CAR,6,1362,0.004181,0.001768,0.001813,2.365,0.018032,0.5169,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,10D,SPY_CAR,26,1362,0.011489,0.002391,0.004371,4.806,0.000002,0.5419,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,21D,SPY_CAR,69,1362,0.016427,0.003311,0.010350,4.961,0.000001,0.5492,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,42D,SPY_CAR,105,1362,0.051094,0.004568,0.031892,11.186,0.000000,0.5962,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,63D,SPY_CAR,179,1362,0.085150,0.005566,0.053880,15.300,0.000000,0.6564,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,126D,SPY_CAR,362,1362,0.156895,0.007184,0.100085,21.840,0.000000,0.7540,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,252D,SPY_CAR,566,1362,0.250958,0.008924,0.138088,28.122,0.000000,0.8267,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,504D,SPY_CAR,891,1362,0.348332,0.010440,0.155036,33.365,0.000000,0.8935,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
top5,end_of_sample,SPY_CAR,0,1362,0.407662,0.011718,0.183552,34.788,0.000000,0.9471,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
non_top,5D,SPY_CAR,17,960,-0.004202,0.001791,-0.004001,-2.347,0.018940,0.4531,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
non_top,10D,SPY_CAR,45,960,-0.019160,0.004427,-0.010525,-4.328,0.000015,0.4313,BHAR is compounded holding-period abnormal return; CAR is summed daily abnormal return
