sample,model,horizon,right_censored,n,mean,standard_error,median,t_stat,p_value,win_rate,notes
all,CAPM,5D,0,2130,-0.000216,0.001312,-0.002212,-0.164,0.869458,0.4737,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF3,5D,0,2130,-0.002174,0.001514,-0.003888,-1.436,0.151042,0.4784,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF5,5D,0,2130,-0.003720,0.001733,-0.002825,-2.146,0.031844,0.4845,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,Carhart,5D,0,2130,-0.005189,0.001533,-0.007503,-3.386,0.000710,0.4446,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,CAPM,10D,0,2130,-0.001143,0.002078,-0.003585,-0.550,0.582210,0.4765,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF3,10D,0,2130,-0.003110,0.002269,-0.004490,-1.370,0.170556,0.4803,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF5,10D,0,2130,-0.003952,0.002519,-0.004558,-1.568,0.116778,0.4826,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,Carhart,10D,0,2130,-0.008737,0.002281,-0.010426,-3.830,0.000128,0.4549,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,CAPM,21D,0,2130,0.002366,0.002735,-0.003161,0.865,0.387009,0.4901,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF3,21D,0,2130,0.001235,0.003023,-0.002824,0.408,0.682951,0.4883,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF5,21D,0,2130,0.002827,0.003345,0.003528,0.845,0.398085,0.5103,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,Carhart,21D,0,2130,-0.009533,0.003029,-0.014049,-3.147,0.001648,0.4502,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,CAPM,42D,29,2130,0.031621,0.004019,0.003161,7.867,0.000000,0.5117,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF3,42D,29,2130,0.026930,0.004350,0.003581,6.190,0.000000,0.5085,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF5,42D,29,2130,0.030479,0.004814,0.015645,6.332,0.000000,0.5366,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,Carhart,42D,29,2130,0.006093,0.004458,-0.016384,1.367,0.171739,0.4540,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,CAPM,63D,170,2130,0.061909,0.005334,0.019745,11.607,0.000000,0.5540,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF3,63D,170,2130,0.051934,0.005671,0.016119,9.159,0.000000,0.5300,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,FF5,63D,170,2130,0.054846,0.006204,0.038459,8.840,0.000000,0.5770,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
all,Carhart,63D,170,2130,0.022694,0.005870,-0.012603,3.866,0.000110,0.4732,factor-basket stress test using free Kenneth French daily factors; not beta-estimated asset-pricing proof
