event_id,ticker,horizon_days,treated_event_date,control_trading_date,treated_pre21_spy_bhar,control_pre21_spy_bhar,treated_spy_bhar,control_spy_bhar,treated_minus_control,match_rule
1,TSLA,21,2023-10-13,2022-05-04,-0.051779,-0.107617,-0.129290,-0.218294,0.089004,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
2,GOOGL,21,2023-10-13,2020-02-04,0.033139,0.040989,-0.058506,-0.009553,-0.048952,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
3,AMZN,21,2023-06-23,2021-06-18,0.074647,0.065749,-0.052861,-0.014152,-0.038709,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
4,NVDA,21,2023-06-23,2021-06-15,0.325506,0.230252,0.030895,0.038663,-0.007768,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
5,TSLA,21,2023-06-23,2019-11-06,0.331218,0.296106,-0.017488,0.003207,-0.020695,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
6,PYPL,21,2026-03-07,2022-08-24,0.159436,0.158753,-0.006106,0.034450,-0.040556,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
7,MSFT,21,2026-02-06,2025-12-17,-0.171798,-0.068666,0.033287,-0.057553,0.090840,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
8,UBER,21,2026-02-06,2021-08-11,-0.134006,-0.122796,-0.012771,-0.077789,0.065017,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
9,NVDA,21,2026-02-06,2021-07-23,-0.021073,-0.014755,0.016009,0.106073,-0.090064,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
10,NFLX,21,2026-02-06,2024-07-30,-0.095523,-0.073416,0.198780,0.068323,0.130456,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
11,NFLX,21,2023-02-10,2020-07-28,0.029764,0.031348,-0.110938,0.038617,-0.149555,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
12,AMZN,21,2023-06-16,2020-10-30,0.024209,-0.026312,0.042835,-0.060324,0.103159,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
13,NFLX,21,2023-06-16,2023-05-23,0.208336,0.078432,0.069818,0.141041,-0.071223,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
14,NVDA,21,2023-06-16,2020-03-10,0.352535,0.170129,0.066896,0.066789,0.000107,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
15,TSLA,21,2023-06-16,2020-08-26,0.436278,0.376104,0.082092,-0.003673,0.085765,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
16,GOOGL,21,2024-01-08,2021-11-18,0.019977,0.018636,-0.001258,-0.026938,0.025680,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
17,TSLA,21,2024-01-08,2020-10-15,-0.043347,-0.013606,-0.269395,-0.120461,-0.148934,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
18,TSLA,21,2023-08-18,2021-02-16,-0.145658,-0.094297,0.218912,-0.131216,0.350128,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
19,AAPL,21,2023-08-18,2021-10-08,-0.060619,-0.050857,0.008444,-0.016658,0.025102,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
20,AMZN,21,2023-03-03,2022-01-05,-0.081389,-0.065404,0.058531,0.001146,0.057385,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
21,NVDA,21,2025-08-27,2022-02-18,0.016801,0.006990,-0.045051,0.083504,-0.128554,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
22,NVDA,21,2025-08-27,2021-10-25,0.016801,0.022916,-0.045051,0.342624,-0.387675,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
23,DIS,21,2023-10-06,2024-04-09,0.060426,0.051339,-0.001296,-0.102112,0.100816,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
24,AMD,21,2023-10-06,2020-04-09,0.037108,0.038685,0.027738,0.100727,-0.072989,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
25,MSFT,21,2023-10-06,2019-10-15,0.022977,0.038102,0.075122,0.006351,0.068772,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
26,AAPL,21,2023-10-06,2019-09-27,0.030616,0.037406,-0.004514,0.111407,-0.115921,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
27,AAPL,21,2024-12-17,2020-02-06,0.094926,0.055023,-0.122973,-0.000699,-0.122275,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
28,NVDA,21,2023-05-24,2020-08-17,0.151414,0.159008,0.277276,0.011998,0.265277,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
29,NFLX,21,2023-07-28,2019-10-07,-0.056490,-0.042007,0.012859,0.001845,0.011014,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
30,MSFT,21,2023-07-28,2022-01-05,-0.039542,-0.054564,-0.010339,0.009019,-0.019358,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
31,NFLX,21,2023-08-25,2022-08-24,0.034591,0.015118,-0.059797,0.092933,-0.152729,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
32,NFLX,21,2023-08-25,2025-08-26,0.034591,0.030931,-0.059797,-0.037366,-0.022431,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
33,MSFT,21,2023-08-25,2021-10-05,0.006333,-0.000075,-0.004952,0.083661,-0.088613,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
34,AAPL,21,2023-09-08,2021-01-12,0.001810,0.007882,0.030819,0.019190,0.011629,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
35,AAPL,21,2023-09-08,2021-11-12,0.001810,-0.011119,0.030819,0.170645,-0.139826,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
36,AAPL,21,2023-09-08,2022-09-07,0.001810,-0.017214,0.030819,-0.009578,0.040397,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
37,AAPL,21,2023-09-08,2019-12-11,0.001810,0.013000,0.030819,0.122428,-0.091609,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
38,AAPL,21,2023-09-08,2022-09-07,0.001810,-0.017214,0.030819,-0.009578,0.040397,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
39,AAPL,21,2023-09-08,2020-10-26,0.001810,-0.007757,0.030819,-0.067444,0.098263,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
40,AMD,21,2025-07-11,2020-01-17,0.150973,0.146941,0.156892,0.137239,0.019652,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
41,AMZN,21,2023-09-30,2020-06-16,-0.014139,-0.007922,0.049359,0.117541,-0.068182,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
42,MSFT,21,2023-09-30,2022-08-17,0.029629,0.037229,0.072003,-0.067297,0.139300,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
43,MSFT,21,2023-09-30,2022-08-15,0.029629,0.029606,0.072003,-0.058849,0.130852,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
44,NVDA,21,2025-10-05,2020-01-14,0.070418,0.065965,0.065469,0.065686,-0.000217,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
45,MSFT,21,2023-07-07,2021-01-08,-0.017775,-0.017637,-0.048812,0.086383,-0.135195,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
46,AAPL,21,2023-11-20,2019-12-06,0.030359,0.030223,-0.017344,0.084489,-0.101833,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
47,AAPL,21,2023-11-20,2022-02-22,0.030359,0.032251,-0.017344,-0.000491,-0.016853,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
48,UBER,21,2023-11-20,2023-05-17,0.195926,0.190100,0.073312,0.087821,-0.014509,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
49,PYPL,21,2023-08-06,2019-09-26,-0.063212,-0.067083,-0.015185,0.009763,-0.024949,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
50,MSFT,21,2024-11-01,2019-10-23,-0.020483,-0.014572,-0.004699,0.058245,-0.062944,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
51,MSFT,21,2024-11-01,2022-07-20,-0.020483,-0.019984,-0.004699,0.024831,-0.029530,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
52,TSLA,21,2023-04-14,2023-03-23,-0.038375,-0.033306,-0.102144,-0.203849,0.101705,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
53,MSFT,21,2023-04-14,2021-10-21,0.014394,0.004868,0.080165,0.072389,0.007776,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
54,NVDA,21,2024-02-01,2023-01-31,0.273467,0.277788,0.305169,0.214655,0.090514,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
55,AMZN,21,2024-02-01,2021-12-07,0.027347,0.001756,0.067672,-0.076071,0.143743,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
56,NVDA,21,2025-08-25,2019-10-07,0.027940,0.043928,-0.047589,0.089548,-0.137137,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
57,NVDA,21,2025-08-25,2020-02-12,0.027940,0.052717,-0.047589,0.086042,-0.133631,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
58,TSLA,21,2023-08-07,2020-11-09,-0.111465,-0.051583,0.011831,0.400270,-0.388439,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
59,AMZN,21,2023-08-07,2025-06-20,0.068127,0.022164,-0.038273,0.026604,-0.064877,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
60,NVDA,21,2025-08-28,2021-01-22,-0.017771,-0.012310,-0.016199,0.019256,-0.035455,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
61,GOOGL,21,2025-08-28,2021-07-26,0.054093,0.056713,0.128588,0.038156,0.090432,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
62,TSLA,21,2023-07-21,2020-10-26,-0.037479,-0.000661,-0.082134,0.251238,-0.333372,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
63,MSFT,21,2023-10-26,2021-01-29,0.079962,0.038585,0.055394,-0.033949,0.089343,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
64,GOOGL,21,2023-10-26,2022-01-27,-0.031589,-0.024856,0.013919,0.034414,-0.020495,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
65,TSLA,21,2023-10-26,2022-05-10,-0.112763,-0.111528,0.045720,-0.107033,0.152753,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
66,SOFI,21,2025-09-12,2022-08-11,0.095664,0.138409,0.010862,-0.114642,0.125504,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
67,NVDA,21,2025-09-12,2022-10-19,-0.040120,-0.044793,0.047688,0.231037,-0.183349,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
68,NFLX,21,2026-03-04,2022-11-03,0.206904,0.152692,0.040151,0.084753,-0.044601,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
69,NVDA,21,2025-08-21,2021-07-21,0.022480,0.020802,-0.002763,0.007771,-0.010533,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
70,MSFT,21,2025-08-21,2021-10-01,-0.003696,-0.006389,-0.031893,0.079880,-0.111774,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
71,DIS,21,2026-02-12,2022-05-17,-0.075804,-0.082023,-0.018369,-0.030127,0.011759,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
72,UBER,21,2025-07-15,2025-01-10,0.043462,0.040272,-0.051533,0.123682,-0.175215,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
73,NFLX,21,2023-04-18,2024-06-20,0.037402,0.027668,0.016297,-0.063691,0.079987,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
74,NFLX,21,2023-04-18,2021-04-08,0.037402,0.036456,0.016297,-0.124784,0.141080,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
75,GOOGL,21,2023-04-18,2022-01-04,-0.033763,-0.040031,0.153901,0.055741,0.098160,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
76,NVDA,21,2024-02-22,2021-07-02,0.265050,0.168454,0.170403,-0.049933,0.220335,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
77,MSFT,21,2026-03-06,2020-01-03,0.009752,0.015689,-0.072772,0.114918,-0.187690,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
78,AMZN,21,2026-03-06,2020-11-18,-0.064771,-0.072243,0.019521,-0.009650,0.029171,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
79,DIS,21,2024-08-09,2021-10-26,-0.065345,-0.064985,-0.004241,-0.149885,0.145644,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
80,PYPL,21,2025-09-17,2025-03-18,-0.037773,-0.036741,-0.042446,-0.065226,0.022780,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
81,META,21,2025-09-17,2020-06-22,-0.013804,-0.024174,-0.086427,-0.049565,-0.036861,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
82,DIS,21,2023-09-15,2022-09-14,-0.020959,-0.014754,0.018051,-0.072233,0.090284,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
83,AAPL,21,2023-09-15,2022-09-14,-0.020876,-0.023353,0.037731,-0.010580,0.048311,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
84,GOOGL,21,2025-07-25,2020-10-22,0.082445,0.071874,0.070824,0.049631,0.021193,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
85,NVDA,21,2023-07-24,2021-05-25,-0.003640,0.009459,0.059008,0.207919,-0.148911,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
86,NVDA,21,2023-07-24,2022-03-03,-0.003640,0.000723,0.059008,0.083695,-0.024687,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
87,GOOGL,21,2025-08-20,2020-01-07,0.026997,0.011948,0.236102,0.023101,0.213001,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
88,META,21,2026-02-24,2024-11-12,-0.026813,-0.031014,-0.026863,0.066158,-0.093020,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
89,GOOGL,21,2023-03-17,2020-11-27,0.102632,0.069532,-0.033763,-0.042148,0.008385,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
90,GOOGL,21,2023-03-17,2022-03-22,0.102632,0.033993,-0.033763,-0.081981,0.048218,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
91,AAPL,21,2023-03-17,2019-10-16,0.052230,0.065734,0.011896,0.086620,-0.074724,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
92,AAPL,21,2023-03-17,2021-06-28,0.052230,0.052985,0.011896,0.049104,-0.037208,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
93,NFLX,21,2023-03-17,2020-06-15,-0.105902,-0.114704,0.037402,0.176940,-0.139538,"same ticker, same month/quarter, no event within +/-10 trading days, closest pre-21 momentum"
