event_id,ticker,company_name,event_date,provider,window,query_mode,article_count,top_domains,top_titles_truncated,earliest_published_at,latest_published_at,major_news_flag,earnings_news_flag,analyst_news_flag,product_news_flag,legal_regulatory_news_flag,macro_sector_news_flag,query_status,provider_error_class,provider_coverage_status,reason_codes
1380,TSLA,Tesla,2024-06-28,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
474,AMZN,Amazon,2024-07-22,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
1174,TSLA,Tesla,2023-10-02,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
2184,NVDA,Nvidia,2025-07-21,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,json_parse_failed,probe,unknown_provider_failed
906,AAPL,Apple,2024-05-06,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,json_parse_failed,probe,unknown_provider_failed
2340,SOFI,SoFi,2026-04-30,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
807,PYPL,PayPal,2025-11-30,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
965,GOOGL,Alphabet,2024-10-11,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
671,META,Meta,2022-06-06,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429|json_parse_failed,probe,unknown_provider_failed
1404,MSFT,Microsoft,2024-07-05,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
2149,AMD,,2024-02-26,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
862,PYPL,PayPal,2026-02-15,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,json_parse_failed,probe,unknown_provider_failed
848,TSLA,Tesla,2024-11-29,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,json_parse_failed,probe,unknown_provider_failed
1070,NFLX,Netflix,2025-04-11,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429,probe,unknown_provider_failed
2040,TSLA,Tesla,2024-04-23,GDELT_DOC_2,,,0,,,,,False,False,False,False,False,False,all_query_modes_failed,http_429|json_parse_failed,probe,unknown_provider_failed
