query_key,event_id,ticker,time_from,time_to,query_status,priority_non_top_first,priority_unknown_confound_hint,event_count,article_rows_returned,error_message_truncated
AMC_2023-03-28_2023-12-31,,AMC,20230328T0000,20231231T2359,resume_cached_legacy,True,True,20,,
AMC_2024-01-01_2024-05-31,,AMC,20240101T0000,20240531T2359,resume_cached_legacy,True,True,20,,
GOOGL_2021-04-01_2021-12-31,,GOOGL,20210401T0000,20211231T2359,rate_limited,True,True,240,0.0,We have detected your API key as [REDACTED] and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instan
GOOGL_2022-01-01_2022-12-31,,GOOGL,20220101T0000,20221231T2359,planned,True,True,240,,
GOOGL_2023-01-01_2023-12-31,,GOOGL,20230101T0000,20231231T2359,planned,True,True,240,,
GOOGL_2024-01-01_2024-12-31,,GOOGL,20240101T0000,20241231T2359,planned,True,True,240,,
GOOGL_2025-01-01_2025-12-31,,GOOGL,20250101T0000,20251231T2359,planned,True,True,240,,
GOOGL_2026-01-01_2026-05-12,,GOOGL,20260101T0000,20260512T2359,planned,True,True,240,,
META_2021-09-13_2021-12-31,,META,20210913T0000,20211231T2359,planned,True,True,112,,
META_2022-01-01_2022-12-31,,META,20220101T0000,20221231T2359,planned,True,True,112,,
META_2023-01-01_2023-12-31,,META,20230101T0000,20231231T2359,planned,True,True,112,,
META_2024-01-01_2024-12-31,,META,20240101T0000,20241231T2359,planned,True,True,112,,
META_2025-01-01_2025-12-31,,META,20250101T0000,20251231T2359,planned,True,True,112,,
META_2026-01-01_2026-05-09,,META,20260101T0000,20260509T2359,planned,True,True,112,,
MSFT_2021-03-08_2021-12-31,,MSFT,20210308T0000,20211231T2359,planned,True,True,226,,
MSFT_2022-01-01_2022-12-31,,MSFT,20220101T0000,20221231T2359,planned,True,True,226,,
MSFT_2023-01-01_2023-12-31,,MSFT,20230101T0000,20231231T2359,planned,True,True,226,,
MSFT_2024-01-01_2024-12-31,,MSFT,20240101T0000,20241231T2359,planned,True,True,226,,
MSFT_2025-01-01_2025-12-31,,MSFT,20250101T0000,20251231T2359,planned,True,True,226,,
MSFT_2026-01-01_2026-05-05,,MSFT,20260101T0000,20260505T2359,planned,True,True,226,,
NFLX_2021-09-13_2021-12-31,,NFLX,20210913T0000,20211231T2359,planned,True,True,92,,
NFLX_2022-01-01_2022-12-31,,NFLX,20220101T0000,20221231T2359,planned,True,True,92,,
NFLX_2023-01-01_2023-12-31,,NFLX,20230101T0000,20231231T2359,planned,True,True,92,,
NFLX_2024-01-01_2024-12-31,,NFLX,20240101T0000,20241231T2359,planned,True,True,92,,
NFLX_2025-01-01_2025-12-31,,NFLX,20250101T0000,20251231T2359,planned,True,True,92,,
NFLX_2026-01-01_2026-05-08,,NFLX,20260101T0000,20260508T2359,planned,True,True,92,,
PYPL_2023-08-05_2023-12-31,,PYPL,20230805T0000,20231231T2359,planned,True,True,99,,
PYPL_2024-01-01_2024-12-31,,PYPL,20240101T0000,20241231T2359,planned,True,True,99,,
PYPL_2025-01-01_2025-12-31,,PYPL,20250101T0000,20251231T2359,planned,True,True,99,,
PYPL_2026-01-01_2026-05-05,,PYPL,20260101T0000,20260505T2359,planned,True,True,99,,
COIN_2025-11-05_2025-11-05,,COIN,20251105T0000,20251105T2359,planned,True,False,1,,
CRM_2024-07-27_2024-12-31,,CRM,20240727T0000,20241231T2359,planned,True,False,5,,
CRM_2025-01-01_2025-10-09,,CRM,20250101T0000,20251009T2359,planned,True,False,5,,
DIS_2022-09-30_2022-12-31,,DIS,20220930T0000,20221231T2359,planned,True,False,32,,
DIS_2023-01-01_2023-12-31,,DIS,20230101T0000,20231231T2359,planned,True,False,32,,
DIS_2024-01-01_2024-12-31,,DIS,20240101T0000,20241231T2359,planned,True,False,32,,
DIS_2025-01-01_2025-12-31,,DIS,20250101T0000,20251231T2359,planned,True,False,32,,
DIS_2026-01-01_2026-02-12,,DIS,20260101T0000,20260212T2359,planned,True,False,32,,
GME_2026-01-29_2026-01-29,,GME,20260129T0000,20260129T2359,planned,True,False,1,,
HOOD_2026-02-06_2026-04-23,,HOOD,20260206T0000,20260423T2359,planned,True,False,9,,
PLTR_2025-11-04_2025-12-31,,PLTR,20251104T0000,20251231T2359,planned,True,False,12,,
PLTR_2026-01-01_2026-05-12,,PLTR,20260101T0000,20260512T2359,planned,True,False,12,,
ROKU_2026-04-08_2026-04-08,,ROKU,20260408T0000,20260408T2359,planned,True,False,1,,
SHOP_2023-01-08_2023-12-31,,SHOP,20230108T0000,20231231T2359,planned,True,False,10,,
SHOP_2024-01-01_2024-12-31,,SHOP,20240101T0000,20241231T2359,planned,True,False,10,,
SHOP_2025-01-01_2025-12-31,,SHOP,20250101T0000,20251231T2359,planned,True,False,10,,
SHOP_2026-01-01_2026-05-05,,SHOP,20260101T0000,20260505T2359,planned,True,False,10,,
SMCI_2024-03-04_2024-12-31,,SMCI,20240304T0000,20241231T2359,planned,True,False,3,,
SMCI_2025-01-01_2025-12-31,,SMCI,20250101T0000,20251231T2359,planned,True,False,3,,
SMCI_2026-01-01_2026-01-23,,SMCI,20260101T0000,20260123T2359,planned,True,False,3,,
SOFI_2025-04-29_2025-12-31,,SOFI,20250429T0000,20251231T2359,planned,True,False,61,,
SOFI_2026-01-01_2026-05-11,,SOFI,20260101T0000,20260511T2359,planned,True,False,61,,
SQ_2020-11-20_2020-12-31,,SQ,20201120T0000,20201231T2359,planned,True,False,4,,
SQ_2021-01-01_2021-12-31,,SQ,20210101T0000,20211231T2359,planned,True,False,4,,
SQ_2022-01-01_2022-12-31,,SQ,20220101T0000,20221231T2359,planned,True,False,4,,
SQ_2023-01-01_2023-12-31,,SQ,20230101T0000,20231231T2359,planned,True,False,4,,
SQ_2024-01-01_2024-12-14,,SQ,20240101T0000,20241214T2359,planned,True,False,4,,
TGT_2024-10-08_2024-10-08,,TGT,20241008T0000,20241008T2359,planned,True,False,1,,
UBER_2023-11-20_2023-12-31,,UBER,20231120T0000,20231231T2359,planned,True,False,50,,
UBER_2024-01-01_2024-12-31,,UBER,20240101T0000,20241231T2359,planned,True,False,50,,
UBER_2025-01-01_2025-12-31,,UBER,20250101T0000,20251231T2359,planned,True,False,50,,
UBER_2026-01-01_2026-05-09,,UBER,20260101T0000,20260509T2359,planned,True,False,50,,
AMD_2022-09-20_2022-12-31,,AMD,20220920T0000,20221231T2359,resume_cached_legacy,False,True,187,,
