event_id,ticker,event_date,fnspid_coverage_available,fnspid_news_hit,fnspid_hit_sources,fnspid_news_count_pre_1d,fnspid_news_count_post_1d,fnspid_news_count_pre_3d,fnspid_news_count_post_3d,fnspid_news_count_pre_7d,fnspid_news_count_post_7d,fnspid_mean_sentiment_pre_3d,fnspid_mean_sentiment_post_3d,fnspid_max_abs_sentiment_pre_3d,fnspid_source_count_pre_7d,fnspid_unique_title_count_pre_7d,fnspid_first_article_date_near_event,fnspid_last_article_date_near_event
1,TSLA,2023-10-13,True,True,primary_only,15,18,48,61,109,219,0.0,0.0,0.0,0,0,2023-10-06,2023-10-20
2,GOOGL,2023-10-13,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
3,AMZN,2023-06-23,True,True,primary_only,31,24,68,49,107,138,0.0,0.0,0.0,0,0,2023-06-16,2023-06-30
4,NVDA,2023-06-23,True,True,primary_only,18,24,66,43,115,186,0.0,0.0,0.0,0,0,2023-06-16,2023-06-30
5,TSLA,2023-06-23,True,True,primary_only,26,23,82,52,109,131,0.0,0.0,0.0,0,0,2023-06-16,2023-06-30
6,PYPL,2026-03-07,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
7,MSFT,2026-02-06,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
8,UBER,2026-02-06,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
9,NVDA,2026-02-06,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
10,NFLX,2026-02-06,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
11,NFLX,2023-02-10,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
12,AMZN,2023-06-16,True,True,primary_only,26,28,79,39,131,124,0.0,0.0,0.0,0,0,2023-06-09,2023-06-23
13,NFLX,2023-06-16,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
14,NVDA,2023-06-16,True,True,primary_only,31,27,81,49,131,136,0.0,0.0,0.0,0,0,2023-06-09,2023-06-23
15,TSLA,2023-06-16,True,True,primary_only,31,17,87,27,166,128,0.0,0.0,0.0,0,0,2023-06-09,2023-06-23
16,GOOGL,2024-01-08,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
17,TSLA,2024-01-08,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
18,TSLA,2023-08-18,True,True,primary_only,14,27,65,52,120,122,0.0,0.0,0.0,0,0,2023-08-11,2023-08-25
19,AAPL,2023-08-18,True,True,primary_only,22,26,58,46,102,130,0.0,0.0,0.0,0,0,2023-08-11,2023-08-25
20,AMZN,2023-03-03,True,True,primary_only,0,0,0,0,0,27,0.0,0.0,0.0,0,0,2023-03-09,2023-03-10
21,NVDA,2025-08-27,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
22,NVDA,2025-08-27,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
23,DIS,2023-10-06,True,True,primary_only,4,10,15,24,33,58,0.0,0.0,0.0,0,0,2023-09-29,2023-10-13
24,AMD,2023-10-06,True,True,primary_only,6,7,12,16,36,50,0.0,0.0,0.0,0,0,2023-09-29,2023-10-13
25,MSFT,2023-10-06,True,True,primary_only,22,18,75,38,130,117,0.0,0.0,0.0,0,0,2023-09-29,2023-10-13
26,AAPL,2023-10-06,True,True,primary_only,19,18,64,51,126,126,0.0,0.0,0.0,0,0,2023-09-29,2023-10-13
27,AAPL,2024-12-17,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
28,NVDA,2023-05-24,True,True,primary_only,14,135,42,187,88,322,0.0,0.0,0.0,0,0,2023-05-17,2023-05-31
29,NFLX,2023-07-28,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
30,MSFT,2023-07-28,True,True,primary_only,28,23,138,52,225,139,0.0,0.0,0.0,0,0,2023-07-21,2023-08-04
31,NFLX,2023-08-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
32,NFLX,2023-08-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
33,MSFT,2023-08-25,True,True,primary_only,26,22,88,40,122,110,0.0,0.0,0.0,0,0,2023-08-18,2023-09-01
34,AAPL,2023-09-08,True,True,primary_only,54,54,108,101,132,269,0.0,0.0,0.0,0,0,2023-09-01,2023-09-15
35,AAPL,2023-09-08,True,True,primary_only,54,54,108,101,132,269,0.0,0.0,0.0,0,0,2023-09-01,2023-09-15
36,AAPL,2023-09-08,True,True,primary_only,54,54,108,101,132,269,0.0,0.0,0.0,0,0,2023-09-01,2023-09-15
37,AAPL,2023-09-08,True,True,primary_only,54,54,108,101,132,269,0.0,0.0,0.0,0,0,2023-09-01,2023-09-15
38,AAPL,2023-09-08,True,True,primary_only,54,54,108,101,132,269,0.0,0.0,0.0,0,0,2023-09-01,2023-09-15
39,AAPL,2023-09-08,True,True,primary_only,54,54,108,101,132,269,0.0,0.0,0.0,0,0,2023-09-01,2023-09-15
40,AMD,2025-07-11,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
41,AMZN,2023-09-30,True,True,primary_only,37,15,98,68,196,140,0.0,0.0,0.0,0,0,2023-09-23,2023-10-07
42,MSFT,2023-09-30,True,True,primary_only,22,14,72,62,137,126,0.0,0.0,0.0,0,0,2023-09-23,2023-10-07
43,MSFT,2023-09-30,True,True,primary_only,22,14,72,62,137,126,0.0,0.0,0.0,0,0,2023-09-23,2023-10-07
44,NVDA,2025-10-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
45,MSFT,2023-07-07,True,True,primary_only,19,26,45,41,86,183,0.0,0.0,0.0,0,0,2023-06-30,2023-07-14
46,AAPL,2023-11-20,True,True,primary_only,5,22,28,47,107,85,0.0,0.0,0.0,0,0,2023-11-13,2023-11-27
47,AAPL,2023-11-20,True,True,primary_only,5,22,28,47,107,85,0.0,0.0,0.0,0,0,2023-11-13,2023-11-27
48,UBER,2023-11-20,True,True,primary_only,2,9,4,14,12,19,0.0,0.0,0.0,0,0,2023-11-14,2023-11-27
49,PYPL,2023-08-06,True,True,primary_only,2,8,35,18,64,29,0.0,0.0,0.0,0,0,2023-07-30,2023-08-13
50,MSFT,2024-11-01,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
51,MSFT,2024-11-01,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
52,TSLA,2023-04-14,True,True,primary_only,16,26,43,72,91,222,0.0,0.0,0.0,0,0,2023-04-07,2023-04-21
53,MSFT,2023-04-14,True,True,primary_only,21,21,65,57,101,131,0.0,0.0,0.0,0,0,2023-04-07,2023-04-21
54,NVDA,2024-02-01,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
55,AMZN,2024-02-01,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
56,NVDA,2025-08-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
57,NVDA,2025-08-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
58,TSLA,2023-08-07,True,True,primary_only,5,41,19,62,101,117,0.0,0.0,0.0,0,0,2023-07-31,2023-08-14
59,AMZN,2023-08-07,True,True,primary_only,6,48,69,106,185,150,0.0,0.0,0.0,0,0,2023-07-31,2023-08-14
60,NVDA,2025-08-28,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
61,GOOGL,2025-08-28,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
62,TSLA,2023-07-21,True,True,primary_only,59,37,128,69,214,154,0.0,0.0,0.0,0,0,2023-07-14,2023-07-28
63,MSFT,2023-10-26,True,True,primary_only,55,61,154,75,199,169,0.0,0.0,0.0,0,0,2023-10-19,2023-11-02
64,GOOGL,2023-10-26,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
65,TSLA,2023-10-26,True,True,primary_only,14,43,56,56,157,145,0.0,0.0,0.0,0,0,2023-10-19,2023-11-02
66,SOFI,2025-09-12,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
67,NVDA,2025-09-12,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
68,NFLX,2026-03-04,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
69,NVDA,2025-08-21,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
70,MSFT,2025-08-21,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
71,DIS,2026-02-12,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
72,UBER,2025-07-15,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
73,NFLX,2023-04-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
74,NFLX,2023-04-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
75,GOOGL,2023-04-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
76,NVDA,2024-02-22,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
77,MSFT,2026-03-06,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
78,AMZN,2026-03-06,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
79,DIS,2024-08-09,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
80,PYPL,2025-09-17,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
81,META,2025-09-17,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
82,DIS,2023-09-15,True,True,primary_only,7,15,21,23,46,74,0.0,0.0,0.0,0,0,2023-09-08,2023-09-22
83,AAPL,2023-09-15,True,True,primary_only,37,27,147,61,248,156,0.0,0.0,0.0,0,0,2023-09-08,2023-09-22
84,GOOGL,2025-07-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
85,NVDA,2023-07-24,True,True,primary_only,4,36,28,102,108,156,0.0,0.0,0.0,0,0,2023-07-17,2023-07-31
86,NVDA,2023-07-24,True,True,primary_only,4,36,28,102,108,156,0.0,0.0,0.0,0,0,2023-07-17,2023-07-31
87,GOOGL,2025-08-20,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
88,META,2026-02-24,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
89,GOOGL,2023-03-17,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
90,GOOGL,2023-03-17,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
91,AAPL,2023-03-17,True,True,primary_only,12,17,40,29,71,97,0.0,0.0,0.0,0,0,2023-03-10,2023-03-24
92,AAPL,2023-03-17,True,True,primary_only,12,17,40,29,71,97,0.0,0.0,0.0,0,0,2023-03-10,2023-03-24
93,NFLX,2023-03-17,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
94,NVDA,2023-03-17,True,True,primary_only,11,18,24,36,42,98,0.0,0.0,0.0,0,0,2023-03-10,2023-03-24
95,MSFT,2023-07-21,True,True,primary_only,32,33,120,87,206,244,0.0,0.0,0.0,0,0,2023-07-14,2023-07-28
96,NVDA,2023-07-21,True,True,primary_only,23,24,62,44,114,157,0.0,0.0,0.0,0,0,2023-07-14,2023-07-28
97,NVDA,2023-11-23,True,True,primary_only,51,54,145,64,201,164,0.0,0.0,0.0,0,0,2023-11-16,2023-11-30
98,AAPL,2023-11-23,True,True,primary_only,13,29,35,38,78,95,0.0,0.0,0.0,0,0,2023-11-16,2023-11-30
99,MSFT,2023-11-23,True,True,primary_only,40,28,118,39,167,125,0.0,0.0,0.0,0,0,2023-11-16,2023-11-30
100,NVDA,2025-08-13,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
101,NVDA,2025-08-13,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
102,NVDA,2023-02-25,True,True,primary_only,16,5,77,31,101,65,0.0,0.0,0.0,0,0,2023-02-18,2023-03-04
103,NFLX,2023-02-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
104,MSFT,2023-02-25,True,True,primary_only,3,9,46,36,93,89,0.0,0.0,0.0,0,0,2023-02-18,2023-03-04
105,AMZN,2023-02-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
106,GOOGL,2023-02-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
107,TSLA,2023-01-26,True,True,primary_only,32,76,92,85,133,162,0.0,0.0,0.0,0,0,2023-01-19,2023-02-02
108,TSLA,2023-01-26,True,True,primary_only,32,76,92,85,133,162,0.0,0.0,0.0,0,0,2023-01-19,2023-02-02
109,NVDA,2025-08-07,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
110,TSLA,2024-01-25,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
111,AMZN,2026-02-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
112,META,2026-02-18,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
113,MSFT,2024-08-02,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
114,NVDA,2025-07-16,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
115,NVDA,2025-07-16,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
116,AMD,2025-07-16,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
117,NVDA,2024-02-08,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
118,GOOGL,2024-02-08,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
119,AMD,2023-01-26,True,True,primary_only,8,17,30,18,40,78,0.0,0.0,0.0,0,0,2023-01-19,2023-02-02
120,TSLA,2023-07-05,True,True,primary_only,7,57,68,91,127,161,0.0,0.0,0.0,0,0,2023-06-28,2023-07-12
121,GOOGL,2023-07-05,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
122,MSFT,2023-07-07,True,True,primary_only,19,26,45,41,86,183,0.0,0.0,0.0,0,0,2023-06-30,2023-07-14
123,AAPL,2023-07-07,True,True,primary_only,20,25,50,46,127,119,0.0,0.0,0.0,0,0,2023-06-30,2023-07-14
124,AMZN,2023-07-07,True,True,primary_only,18,22,53,43,97,152,0.0,0.0,0.0,0,0,2023-06-30,2023-07-14
125,GOOGL,2023-07-07,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
126,GOOGL,2025-08-19,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
127,NVDA,2025-08-28,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
128,GOOGL,2025-08-28,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
129,GOOGL,2025-09-04,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
130,AAPL,2023-03-31,True,True,primary_only,25,26,62,51,98,129,0.0,0.0,0.0,0,0,2023-03-24,2023-04-07
131,AMZN,2023-02-02,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
132,PYPL,2025-09-03,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
133,AAPL,2025-09-03,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
134,TSLA,2023-11-06,True,True,primary_only,7,32,28,63,117,112,0.0,0.0,0.0,0,0,2023-10-30,2023-11-13
135,NVDA,2025-07-16,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
136,AMD,2026-02-22,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
137,AMD,2026-02-22,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
138,PYPL,2025-08-19,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
139,PYPL,2025-08-19,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
140,SOFI,2025-08-19,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
141,GOOGL,2025-08-19,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
142,AAPL,2023-09-22,True,True,primary_only,26,27,71,50,132,158,0.0,0.0,0.0,0,0,2023-09-15,2023-09-29
143,AMZN,2023-09-22,True,True,primary_only,34,34,90,78,158,223,0.0,0.0,0.0,0,0,2023-09-15,2023-09-29
144,GOOGL,2023-09-22,True,False,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,
145,TSLA,2023-09-22,True,True,primary_only,24,19,59,44,114,134,0.0,0.0,0.0,0,0,2023-09-15,2023-09-29
146,TSLA,2023-09-22,True,True,primary_only,24,19,59,44,114,134,0.0,0.0,0.0,0,0,2023-09-15,2023-09-29
147,NVDA,2023-02-17,True,True,primary_only,11,12,28,24,54,112,0.0,0.0,0.0,0,0,2023-02-10,2023-02-24
