event_id,ticker,event_date,fnspid_checked,fnspid_hit_pre_7d,fnspid_hit_day0,fnspid_hit_post_1d,fnspid_hit_post_3d,fnspid_hit_post_7d,fnspid_total_hits_window,fnspid_unique_publishers_window,fnspid_primary_article_count,fnspid_secondary_article_count,fnspid_hit_sources,fnspid_sample_titles_redacted_or_short,fnspid_status,fnspid_error_category
1,TSLA,2023-10-13,True,109,15,18,61,219,328,0,328,0,primary_only,k:6c46eeefd4 | k:e2dc55b1f6 | k:036146e755 | k:6fbfe2a8f6 | k:b7bc956569,success,
2,GOOGL,2023-10-13,True,0,0,0,0,0,0,0,0,0,none,,success,
3,AMZN,2023-06-23,True,107,17,24,49,138,245,0,245,0,primary_only,k:61763c8dfe | k:74b1214d65 | k:b91c2abe83 | k:46e93617f3 | k:f14fbfeba9,success,
4,NVDA,2023-06-23,True,115,21,24,43,186,301,0,301,0,primary_only,k:61763c8dfe | k:ecd7e4d3d7 | k:809559f794 | k:c4d6496a31 | k:9681ba4c4a,success,
5,TSLA,2023-06-23,True,109,19,23,52,131,240,0,240,0,primary_only,k:9176ceb45f | k:f103af1ba5 | k:48970c3f9a | k:9859997f50 | k:8cdc43615b,success,
6,PYPL,2026-03-07,True,0,0,0,0,0,0,0,0,0,none,,success,
7,MSFT,2026-02-06,True,0,0,0,0,0,0,0,0,0,none,,success,
8,UBER,2026-02-06,True,0,0,0,0,0,0,0,0,0,none,,success,
9,NVDA,2026-02-06,True,0,0,0,0,0,0,0,0,0,none,,success,
10,NFLX,2026-02-06,True,0,0,0,0,0,0,0,0,0,none,,success,
11,NFLX,2023-02-10,True,0,0,0,0,0,0,0,0,0,none,,success,
12,AMZN,2023-06-16,True,131,23,28,39,124,255,0,255,0,primary_only,k:7a01defb33 | k:bc456203b3 | k:39f5427671 | k:ce98afb4e7 | k:b08b6d0e64,success,
13,NFLX,2023-06-16,True,0,0,0,0,0,0,0,0,0,none,,success,
14,NVDA,2023-06-16,True,131,24,27,49,136,267,0,267,0,primary_only,k:bbbddf81a7 | k:f6d53b922f | k:2b09f257d4 | k:1d2aa9ef7a | k:39f5427671,success,
15,TSLA,2023-06-16,True,166,14,17,27,128,294,0,294,0,primary_only,k:9e3d3fb5fc | k:bbbddf81a7 | k:f6d53b922f | k:c59aec84f3 | k:0fc75e4508,success,
16,GOOGL,2024-01-08,True,0,0,0,0,0,0,0,0,0,none,,success,
17,TSLA,2024-01-08,True,0,0,0,0,0,0,0,0,0,none,,success,
18,TSLA,2023-08-18,True,120,18,27,52,122,242,0,242,0,primary_only,k:3ed1612da9 | k:42e9708d8f | k:9455abd37d | k:d828545a31 | k:ba6b310ae4,success,
19,AAPL,2023-08-18,True,102,20,26,46,130,232,0,232,0,primary_only,k:d6abd43e48 | k:ebc7b03442 | k:b106b9ecdc | k:aaaa5884b9 | k:d2a41a690a,success,
20,AMZN,2023-03-03,True,0,0,0,0,27,27,0,27,0,primary_only,k:db4eba4425 | k:50f69569bf | k:74f51fabf9 | k:4217f7b1e9 | k:15bc386501,success,
21,NVDA,2025-08-27,True,0,0,0,0,0,0,0,0,0,none,,success,
22,NVDA,2025-08-27,True,0,0,0,0,0,0,0,0,0,none,,success,
23,DIS,2023-10-06,True,33,8,10,24,58,91,0,91,0,primary_only,k:353b74f418 | k:d9d707b58b | k:791658fc50 | k:bd5fcd0c9a | k:386780b4bb,success,
24,AMD,2023-10-06,True,36,7,7,16,50,86,0,86,0,primary_only,k:fa01f21089 | k:baa8f85c8f | k:8b8e640282 | k:9ef3d052e3 | k:f7e3cc143d,success,
25,MSFT,2023-10-06,True,130,15,18,38,117,247,0,247,0,primary_only,k:c9f897cebb | k:7a3a3b5ac1 | k:96d16cf3a1 | k:791658fc50 | k:dc28707366,success,
26,AAPL,2023-10-06,True,126,13,18,51,126,252,0,252,0,primary_only,k:e84537f9c5 | k:48511453a1 | k:0435121ef7 | k:e1da1858df | k:b93efe15a1,success,
27,AAPL,2024-12-17,True,0,0,0,0,0,0,0,0,0,none,,success,
28,NVDA,2023-05-24,True,88,36,135,187,322,410,0,410,0,primary_only,k:1fd5317f37 | k:d9c18112b3 | k:6e0830b2ff | k:981847e489 | k:8d6296dfed,success,
