ticker,n_events,share_of_sample,fnspid_events_with_hit,hit_rate
NVDA,391,0.167023,44,0.112532
TSLA,307,0.131141,74,0.241042
AMZN,246,0.105083,29,0.117886
GOOGL,240,0.10252,0,0.0
AAPL,231,0.098676,75,0.324675
MSFT,226,0.09654,55,0.243363
AMD,187,0.07988,17,0.090909
META,112,0.047843,0,0.0
PYPL,99,0.04229,8,0.080808
NFLX,92,0.039299,0,0.0
SOFI,61,0.026057,0,0.0
UBER,50,0.021358,1,0.02
DIS,32,0.013669,20,0.625
AMC,20,0.008543,17,0.85
PLTR,12,0.005126,0,0.0
SHOP,10,0.004272,0,0.0
HOOD,9,0.003845,0,0.0
CRM,5,0.002136,0,0.0
SQ,4,0.001709,0,0.0
SMCI,3,0.001282,0,0.0
GME,1,0.000427,0,0.0
COIN,1,0.000427,0,0.0
ROKU,1,0.000427,0,0.0
TGT,1,0.000427,0,0.0
