provider,events,success_events,hit_events,unknown_or_not_checked_events,top_statuses
alpha_vantage_news,2341,684,586,1657,unknown_or_limited:1657; ok:684
gdelt_news,2341,14,14,2327,nan:2291; http_429:34; ok:14; json_parse_failed:2
fnspid_news,2341,2341,1,0,ok:2341
fmp_news,2341,0,0,2341,not_checked:2341
finnhub_news,2341,0,0,2341,not_checked:2341
marketaux_news,2341,0,0,2341,not_checked:2341
eodhd_news,2341,0,0,2341,not_checked:2341
newsapi_news,2341,0,0,2341,not_checked:2341
massive_news,2341,0,0,2341,not_checked:2341
alpaca_news,2341,0,0,2341,not_checked:2341
fmp_press_release,2341,0,0,2341,not_checked:2341
fmp_press_release,2341,0,0,2341,not_checked:2341
