ticker,events,official_news_hit,any_media_news_hit,multi_source_clean,unknown_news_coverage
NVDA,391,177,10,0,181
TSLA,307,170,17,0,100
AMZN,246,114,179,0,15
GOOGL,240,97,1,0,130
AAPL,231,99,223,0,3
MSFT,226,101,2,0,124
AMD,187,103,165,0,1
META,112,47,0,0,57
PYPL,99,42,1,0,46
NFLX,92,37,2,0,50
SOFI,61,29,0,0,29
UBER,50,22,0,0,26
DIS,32,24,0,0,6
AMC,20,18,20,0,0
PLTR,12,6,0,0,5
SHOP,10,2,0,0,8
HOOD,9,9,0,0,0
CRM,5,1,0,0,3
SQ,4,0,0,0,4
SMCI,3,3,0,0,0
COIN,1,0,0,0,1
GME,1,0,0,0,1
ROKU,1,1,0,0,0
TGT,1,0,0,0,1
