event_id,video_id,transcript_id,creator,ticker,company_name,recommendation_type,event_date,top5_flag,analyst_alignment_event_time,analyst_alignment_diagnostic,analyst_coverage_tier,filing_count_pm1,filing_count_pm3,filing_count_pm5,eight_k_pm5_flag,ten_q_or_k_pm5_flag,offering_registration_pm5_flag,ownership_or_insider_pm5_flag,earnings_proxy_flag,sec_material_event_confounded_flag,sec_routine_filing_flag,sec_unknown_flag,sec_clean_expanded_flag,reason_codes,market_active_pre_event,market_quiet,alpha_vantage_news_success,alpha_vantage_news_hit,alpha_vantage_news_material_hit,alpha_vantage_news_query_status,alpha_vantage_news_pm7_count,alpha_vantage_pre_1d_count,alpha_vantage_post_1d_count,alpha_vantage_pre_3d_count,alpha_vantage_post_3d_count,alpha_vantage_pre_7d_count,alpha_vantage_post_7d_count,gdelt_news_success,gdelt_news_hit,gdelt_news_material_hit,gdelt_news_query_status,gdelt_news_pm7_count,gdelt_pre_1d_count,gdelt_post_1d_count,gdelt_pre_3d_count,gdelt_post_3d_count,gdelt_pre_7d_count,gdelt_post_7d_count,fnspid_news_success,fnspid_news_hit,fnspid_news_material_hit,fnspid_news_query_status,fnspid_news_pm7_count,fnspid_pre_1d_count,fnspid_post_1d_count,fnspid_pre_3d_count,fnspid_post_3d_count,fnspid_pre_7d_count,fnspid_post_7d_count,fmp_news_success,fmp_news_hit,fmp_news_material_hit,fmp_news_query_status,fmp_news_pm7_count,fmp_pre_1d_count,fmp_post_1d_count,fmp_pre_3d_count,fmp_post_3d_count,fmp_pre_7d_count,fmp_post_7d_count,finnhub_news_success,finnhub_news_hit,finnhub_news_material_hit,finnhub_news_query_status,finnhub_news_pm7_count,finnhub_pre_1d_count,finnhub_post_1d_count,finnhub_pre_3d_count,finnhub_post_3d_count,finnhub_pre_7d_count,finnhub_post_7d_count,marketaux_news_success,marketaux_news_hit,marketaux_news_material_hit,marketaux_news_query_status,marketaux_news_pm7_count,marketaux_pre_1d_count,marketaux_post_1d_count,marketaux_pre_3d_count,marketaux_post_3d_count,marketaux_pre_7d_count,marketaux_post_7d_count,eodhd_news_success,eodhd_news_hit,eodhd_news_material_hit,eodhd_news_query_status,eodhd_news_pm7_count,eodhd_pre_1d_count,eodhd_post_1d_count,eodhd_pre_3d_count,eodhd_post_3d_count,eodhd_pre_7d_count,eodhd_post_7d_count,newsapi_news_success,newsapi_news_hit,newsapi_news_material_hit,newsapi_news_query_status,newsapi_news_pm7_count,newsapi_pre_1d_count,newsapi_post_1d_count,newsapi_pre_3d_count,newsapi_post_3d_count,newsapi_pre_7d_count,newsapi_post_7d_count,massive_news_success,massive_news_hit,massive_news_material_hit,massive_news_query_status,massive_news_pm7_count,massive_pre_1d_count,massive_post_1d_count,massive_pre_3d_count,massive_post_3d_count,massive_pre_7d_count,massive_post_7d_count,alpaca_news_success,alpaca_news_hit,alpaca_news_material_hit,alpaca_news_query_status,alpaca_news_pm7_count,alpaca_pre_1d_count,alpaca_post_1d_count,alpaca_pre_3d_count,alpaca_post_3d_count,alpaca_pre_7d_count,alpaca_post_7d_count,fmp_press_release_success,fmp_press_release_hit,fmp_press_release_material_hit,fmp_press_release_query_status,fmp_press_release_pm7_count,fmp_press_release_pre_1d_count,fmp_press_release_post_1d_count,fmp_press_release_pre_3d_count,fmp_press_release_post_3d_count,fmp_press_release_pre_7d_count,fmp_press_release_post_7d_count,press_release_provider_success,press_release_hit,press_release_query_status,sec_filing_hit,earnings_hit,official_news_hit,any_media_news_hit,market_implied_confounded,provider_success_count,provider_failure_count,provider_unknown_count,news_window_pre_1d_count,news_window_post_1d_count,news_window_pre_3d_count,news_window_post_3d_count,news_window_pre_7d_count,news_window_post_7d_count,multi_source_clean,news_clean_status,news_coverage_tier,news_confounded_reason,fnspid_coverage_available,fnspid_hit_sources,fnspid_news_count_pre_1d,fnspid_news_count_post_1d,fnspid_news_count_pre_3d,fnspid_news_count_post_3d,fnspid_news_count_pre_7d,fnspid_news_count_post_7d,fnspid_mean_sentiment_pre_3d,fnspid_mean_sentiment_post_3d,fnspid_max_abs_sentiment_pre_3d,fnspid_source_count_pre_7d,fnspid_unique_title_count_pre_7d,fnspid_first_article_date_near_event,fnspid_last_article_date_near_event,marketaux_news_provider_checked,massive_news_provider_checked,fmp_news_provider_checked,finnhub_news_provider_checked,eodhd_news_provider_checked,newsapi_news_provider_checked,alpaca_news_provider_checked,alpha_vantage_news_provider_checked,gdelt_news_provider_checked,provider_success_count_total,provider_success_count_external,provider_hit_count_external,provider_empty_success_count,provider_quota_limited_count,provider_permission_limited_count,provider_missing_key_count,news_coverage_quality_score,multi_provider_checked_no_hit,best_available_news_status,coverage_sensitivity_bucket,news_clean_status_final,news_confounded_reason_final
1,-AtxEBm7naw,-AtxEBm7naw,The Investor Channel,TSLA,Tesla,buy,2023-10-13,True,analyst_neutral_or_mixed,analyst_bullish_aligned,event_time_yfinance,0,2,3,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag,False,True,False,False,False,unknown_or_limited,0,1,1,6,2,6,5,False,False,False,nan,0,0,0,0,0,0,0,True,True,True,ok,328,15,18,48,61,109,219,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,True,False,True,True,False,1,2,9,16,19,54,63,115,224,False,official_confounded,official_confounded,sec_filing;media:fnspid_news,True,primary_only,15,18,48,61,109,219,0.0,0.0,0.0,0,0,2023-10-06,2023-10-20,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,False,official_confounded,low_coverage,official_confounded,sec_filing;media:fnspid_news
2,-AtxEBm7naw,-AtxEBm7naw,The Investor Channel,GOOGL,Alphabet,buy,2023-10-13,False,analyst_bullish_aligned,analyst_bullish_aligned,event_time_yfinance,0,2,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected,False,True,False,False,False,unknown_or_limited,0,0,4,3,6,3,8,True,True,True,ok,10,0,0,0,0,0,0,True,False,False,ok,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,False,False,False,True,False,2,1,8,0,4,3,6,3,8,False,media_confounded,media_confounded,media:gdelt_news,True,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,False,False,False,False,False,False,False,False,2,1,1,1,0,0,0,2,False,media_confounded,medium,media_confounded,media:gdelt_news
3,-GlySQJDMq0,-GlySQJDMq0,The Investor Channel,AMZN,Amazon,buy,2023-06-23,True,analyst_bullish_aligned,analyst_bullish_aligned,event_time_yfinance,2,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected,False,True,True,True,True,ok,28,10,1,14,3,29,22,True,True,True,ok,10,0,0,0,0,0,0,True,True,True,ok,245,31,24,68,49,107,138,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,False,False,False,True,False,3,0,7,41,25,82,52,136,160,False,media_confounded,media_confounded,"media:alpha_vantage_news,gdelt_news,fnspid_news",True,primary_only,31,24,68,49,107,138,0.0,0.0,0.0,0,0,2023-06-16,2023-06-30,False,False,False,False,False,False,False,False,False,3,2,2,0,0,0,0,4,False,media_confounded,medium_plus,media_confounded,"media:alpha_vantage_news,gdelt_news,fnspid_news"
4,-GlySQJDMq0,-GlySQJDMq0,The Investor Channel,NVDA,Nvidia,buy,2023-06-23,True,analyst_bullish_aligned,analyst_bullish_aligned,event_time_yfinance,6,8,21,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag,True,False,False,False,False,unknown_or_limited,0,2,1,5,1,7,6,False,False,False,nan,0,0,0,0,0,0,0,True,True,True,ok,301,18,24,66,43,115,186,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,True,True,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,True,True,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,True,False,True,True,True,3,2,9,20,25,71,44,122,192,False,official_confounded,official_confounded,sec_filing;media:fnspid_news;market_implied_active,True,primary_only,18,24,66,43,115,186,0.0,0.0,0.0,0,0,2023-06-16,2023-06-30,True,False,False,False,False,False,True,False,False,3,2,2,0,0,0,0,4,False,official_confounded,medium_plus,official_confounded,"sec_filing;media:marketaux_news,fnspid_news,alpaca_news;market_implied_active"
5,-GlySQJDMq0,-GlySQJDMq0,The Investor Channel,TSLA,Tesla,buy,2023-06-23,True,finfluencer_contrarian_to_analyst,analyst_bullish_aligned,event_time_yfinance,0,0,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected,True,False,False,False,False,unknown_or_limited,0,0,0,0,0,0,0,True,True,True,ok,10,0,0,0,0,0,0,True,True,True,ok,240,26,23,82,52,109,131,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,False,False,False,True,True,2,1,8,26,23,82,52,109,131,False,media_confounded,media_confounded,"media:gdelt_news,fnspid_news;market_implied_active",True,primary_only,26,23,82,52,109,131,0.0,0.0,0.0,0,0,2023-06-16,2023-06-30,False,False,False,False,False,False,False,False,False,2,1,1,0,0,0,0,2,False,media_confounded,medium,media_confounded,"media:gdelt_news,fnspid_news;market_implied_active"
6,0HEghfHYEk4,0HEghfHYEk4,"Parkev Tatevosian, CFA",PYPL,PayPal,buy,2026-03-07,False,analyst_neutral_or_mixed,analyst_neutral_or_mixed,event_time_primary_provider,0,3,14,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected,False,False,False,False,False,unknown_or_limited,0,0,0,0,0,0,0,True,True,True,ok,10,0,0,0,0,0,0,True,False,False,ok,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,False,False,False,True,False,2,1,8,0,0,0,0,0,0,False,media_confounded,media_confounded,media:gdelt_news,True,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,False,False,False,False,False,False,False,False,2,1,1,1,0,0,0,2,False,media_confounded,medium,media_confounded,media:gdelt_news
7,0RRkXdEEnLE,0RRkXdEEnLE,"Parkev Tatevosian, CFA",MSFT,Microsoft,buy,2026-02-06,False,analyst_bullish_aligned,analyst_bullish_aligned,event_time_primary_provider,0,11,11,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected,False,False,False,False,False,unknown_or_limited,0,0,0,0,0,0,0,False,False,False,http_429,0,0,0,0,0,0,0,True,False,False,ok,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,False,False,False,False,False,1,2,9,0,0,0,0,0,0,False,unknown_news_coverage,unknown_news_coverage,unknown_or_insufficient_provider_coverage,True,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,False,False,False,False,False,False,False,False,1,0,0,1,1,0,0,0,False,unknown_or_clean_slice,low_coverage,unknown_news_coverage,unknown_or_insufficient_provider_coverage
8,0RRkXdEEnLE,0RRkXdEEnLE,"Parkev Tatevosian, CFA",UBER,Uber,buy,2026-02-06,False,analyst_bullish_aligned,analyst_bullish_aligned,event_time_primary_provider,0,2,2,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag,False,True,False,False,False,unknown_or_limited,0,0,0,0,0,0,0,False,False,False,nan,0,0,0,0,0,0,0,True,False,False,ok,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,True,False,True,False,False,1,2,9,0,0,0,0,0,0,False,official_confounded,official_confounded,sec_filing,True,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,False,False,False,False,False,False,False,False,1,0,0,1,0,0,0,0,False,official_confounded,low_coverage,official_confounded,sec_filing
9,0RRkXdEEnLE,0RRkXdEEnLE,"Parkev Tatevosian, CFA",NVDA,Nvidia,buy,2026-02-06,True,analyst_bullish_aligned,analyst_bullish_aligned,event_time_primary_provider,1,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected,False,True,False,False,False,unknown_or_limited,0,0,0,0,0,0,0,False,False,False,http_429,0,0,0,0,0,0,0,True,False,False,ok,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,False,False,False,False,False,1,2,9,0,0,0,0,0,0,False,unknown_news_coverage,unknown_news_coverage,unknown_or_insufficient_provider_coverage,True,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,False,False,False,False,False,False,False,False,1,0,0,1,1,0,0,0,False,unknown_or_clean_slice,low_coverage,unknown_news_coverage,unknown_or_insufficient_provider_coverage
10,0RRkXdEEnLE,0RRkXdEEnLE,"Parkev Tatevosian, CFA",NFLX,Netflix,buy,2026-02-06,False,analyst_bullish_aligned,analyst_bullish_aligned,event_time_primary_provider,3,23,31,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected,False,True,False,False,False,unknown_or_limited,0,0,0,0,0,0,0,False,False,False,http_429,0,0,0,0,0,0,0,True,False,False,ok,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,False,not_checked,0,0,0,0,0,0,0,False,False,not_checked,False,False,False,False,False,1,2,9,0,0,0,0,0,0,False,unknown_news_coverage,unknown_news_coverage,unknown_or_insufficient_provider_coverage,True,none,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,False,False,False,False,False,False,False,False,False,1,0,0,1,1,0,0,0,False,unknown_or_clean_slice,low_coverage,unknown_news_coverage,unknown_or_insufficient_provider_coverage
