provider,ticker,iso_year_week,event_id_anchor,priority_score,planned_calls,collapse
marketaux,AAPL,2022-W44,2232,0,1,ticker_week
marketaux,AAPL,2022-W39,998,0,1,ticker_week
marketaux,AAPL,2022-W25,1185,0,1,ticker_week
marketaux,TSLA,2024-W34,773,0,1,ticker_week
marketaux,TSLA,2024-W32,646,0,1,ticker_week
marketaux,TSLA,2024-W29,762,0,1,ticker_week
marketaux,TSLA,2024-W27,1953,0,1,ticker_week
marketaux,TSLA,2024-W26,1381,0,1,ticker_week
marketaux,TSLA,2024-W24,2262,0,1,ticker_week
marketaux,TSLA,2024-W20,1396,0,1,ticker_week
marketaux,TSLA,2024-W19,2204,0,1,ticker_week
marketaux,TSLA,2024-W14,2210,0,1,ticker_week
marketaux,TSLA,2024-W10,1248,0,1,ticker_week
marketaux,TSLA,2024-W09,487,0,1,ticker_week
marketaux,TSLA,2024-W05,1982,0,1,ticker_week
marketaux,TSLA,2024-W04,110,0,1,ticker_week
marketaux,NVDA,2023-W25,4,0,1,ticker_week
marketaux,NVDA,2023-W21,28,0,1,ticker_week
marketaux,NVDA,2023-W16,217,0,1,ticker_week
marketaux,AAPL,2024-W23,395,0,1,ticker_week
marketaux,AAPL,2024-W22,2100,0,1,ticker_week
marketaux,AAPL,2024-W21,1386,0,1,ticker_week
marketaux,AAPL,2024-W20,845,0,1,ticker_week
marketaux,AAPL,2024-W17,589,0,1,ticker_week
marketaux,AAPL,2024-W11,525,0,1,ticker_week
marketaux,AAPL,2024-W10,2023,0,1,ticker_week
marketaux,AAPL,2024-W07,2069,0,1,ticker_week
marketaux,AAPL,2024-W06,452,0,1,ticker_week
marketaux,AAPL,2024-W05,623,0,1,ticker_week
marketaux,AAPL,2023-W52,790,0,1,ticker_week
marketaux,AAPL,2021-W13,514,0,1,ticker_week
marketaux,AAPL,2022-W46,2201,0,1,ticker_week
marketaux,NVDA,2023-W11,94,0,1,ticker_week
marketaux,NVDA,2023-W08,345,0,1,ticker_week
marketaux,NVDA,2022-W46,2304,0,1,ticker_week
marketaux,NVDA,2024-W06,1233,0,1,ticker_week
marketaux,NVDA,2024-W05,1267,0,1,ticker_week
marketaux,NVDA,2024-W04,1980,0,1,ticker_week
marketaux,NVDA,2024-W03,208,0,1,ticker_week
marketaux,AAPL,2025-W26,969,0,1,ticker_week
marketaux,AAPL,2025-W17,1142,0,1,ticker_week
marketaux,AAPL,2025-W11,927,0,1,ticker_week
marketaux,AAPL,2025-W10,1766,0,1,ticker_week
marketaux,AAPL,2025-W09,1014,0,1,ticker_week
marketaux,AAPL,2025-W08,1708,0,1,ticker_week
marketaux,AAPL,2025-W05,1608,0,1,ticker_week
marketaux,AAPL,2024-W48,849,0,1,ticker_week
marketaux,AAPL,2024-W47,1339,0,1,ticker_week
marketaux,AAPL,2025-W44,1904,0,1,ticker_week
marketaux,AAPL,2025-W39,390,0,1,ticker_week
massive_polygon,AAPL,2022-W44,2232,0,1,ticker_week
massive_polygon,AAPL,2022-W39,998,0,1,ticker_week
massive_polygon,AAPL,2022-W25,1185,0,1,ticker_week
massive_polygon,TSLA,2024-W34,773,0,1,ticker_week
massive_polygon,TSLA,2024-W32,646,0,1,ticker_week
massive_polygon,TSLA,2024-W29,762,0,1,ticker_week
massive_polygon,TSLA,2024-W27,1953,0,1,ticker_week
massive_polygon,TSLA,2024-W26,1381,0,1,ticker_week
massive_polygon,TSLA,2024-W24,2262,0,1,ticker_week
massive_polygon,TSLA,2024-W20,1396,0,1,ticker_week
massive_polygon,TSLA,2024-W19,2204,0,1,ticker_week
massive_polygon,TSLA,2024-W14,2210,0,1,ticker_week
massive_polygon,TSLA,2024-W10,1248,0,1,ticker_week
massive_polygon,TSLA,2024-W09,487,0,1,ticker_week
massive_polygon,TSLA,2024-W05,1982,0,1,ticker_week
massive_polygon,TSLA,2024-W04,110,0,1,ticker_week
massive_polygon,NVDA,2023-W25,4,0,1,ticker_week
massive_polygon,NVDA,2023-W21,28,0,1,ticker_week
massive_polygon,NVDA,2023-W16,217,0,1,ticker_week
massive_polygon,AAPL,2024-W23,395,0,1,ticker_week
massive_polygon,AAPL,2024-W22,2100,0,1,ticker_week
massive_polygon,AAPL,2024-W21,1386,0,1,ticker_week
massive_polygon,AAPL,2024-W20,845,0,1,ticker_week
massive_polygon,AAPL,2024-W17,589,0,1,ticker_week
massive_polygon,AAPL,2024-W11,525,0,1,ticker_week
massive_polygon,AAPL,2024-W10,2023,0,1,ticker_week
massive_polygon,AAPL,2024-W07,2069,0,1,ticker_week
massive_polygon,AAPL,2024-W06,452,0,1,ticker_week
massive_polygon,AAPL,2024-W05,623,0,1,ticker_week
massive_polygon,AAPL,2023-W52,790,0,1,ticker_week
alpaca_news,AAPL,2022-W44,2232,0,1,ticker_week
alpaca_news,AAPL,2022-W39,998,0,1,ticker_week
alpaca_news,AAPL,2022-W25,1185,0,1,ticker_week
alpaca_news,TSLA,2024-W34,773,0,1,ticker_week
alpaca_news,TSLA,2024-W32,646,0,1,ticker_week
alpaca_news,TSLA,2024-W29,762,0,1,ticker_week
alpaca_news,TSLA,2024-W27,1953,0,1,ticker_week
alpaca_news,TSLA,2024-W26,1381,0,1,ticker_week
alpaca_news,TSLA,2024-W24,2262,0,1,ticker_week
alpaca_news,TSLA,2024-W20,1396,0,1,ticker_week
alpaca_news,TSLA,2024-W19,2204,0,1,ticker_week
alpaca_news,TSLA,2024-W14,2210,0,1,ticker_week
alpaca_news,TSLA,2024-W10,1248,0,1,ticker_week
alpaca_news,TSLA,2024-W09,487,0,1,ticker_week
alpaca_news,TSLA,2024-W05,1982,0,1,ticker_week
alpaca_news,TSLA,2024-W04,110,0,1,ticker_week
alpaca_news,NVDA,2023-W25,4,0,1,ticker_week
alpaca_news,NVDA,2023-W21,28,0,1,ticker_week
alpaca_news,NVDA,2023-W16,217,0,1,ticker_week
alpaca_news,AAPL,2024-W23,395,0,1,ticker_week
alpaca_news,AAPL,2024-W22,2100,0,1,ticker_week
alpaca_news,AAPL,2024-W21,1386,0,1,ticker_week
alpaca_news,AAPL,2024-W20,845,0,1,ticker_week
alpaca_news,AAPL,2024-W17,589,0,1,ticker_week
alpaca_news,AAPL,2024-W11,525,0,1,ticker_week
alpaca_news,AAPL,2024-W10,2023,0,1,ticker_week
alpaca_news,AAPL,2024-W07,2069,0,1,ticker_week
alpaca_news,AAPL,2024-W06,452,0,1,ticker_week
alpaca_news,AAPL,2024-W05,623,0,1,ticker_week
alpaca_news,AAPL,2023-W52,790,0,1,ticker_week
alpaca_news,AAPL,2021-W13,514,0,1,ticker_week
alpaca_news,AAPL,2022-W46,2201,0,1,ticker_week
alpaca_news,NVDA,2023-W11,94,0,1,ticker_week
alpaca_news,NVDA,2023-W08,345,0,1,ticker_week
alpaca_news,NVDA,2022-W46,2304,0,1,ticker_week
alpaca_news,NVDA,2024-W06,1233,0,1,ticker_week
alpaca_news,NVDA,2024-W05,1267,0,1,ticker_week
alpaca_news,NVDA,2024-W04,1980,0,1,ticker_week
alpaca_news,NVDA,2024-W03,208,0,1,ticker_week
alpaca_news,AAPL,2025-W26,969,0,1,ticker_week
alpaca_news,AAPL,2025-W17,1142,0,1,ticker_week
alpaca_news,AAPL,2025-W11,927,0,1,ticker_week
alpaca_news,AAPL,2025-W10,1766,0,1,ticker_week
alpaca_news,AAPL,2025-W09,1014,0,1,ticker_week
alpaca_news,AAPL,2025-W08,1708,0,1,ticker_week
alpaca_news,AAPL,2025-W05,1608,0,1,ticker_week
alpaca_news,AAPL,2024-W48,849,0,1,ticker_week
alpaca_news,AAPL,2024-W47,1339,0,1,ticker_week
alpaca_news,AAPL,2025-W44,1904,0,1,ticker_week
alpaca_news,AAPL,2025-W39,390,0,1,ticker_week
eodhd,AAPL,2022-W44,2232,0,1,ticker_week
eodhd,AAPL,2022-W39,998,0,1,ticker_week
eodhd,AAPL,2022-W25,1185,0,1,ticker_week
eodhd,TSLA,2024-W34,773,0,1,ticker_week
eodhd,TSLA,2024-W32,646,0,1,ticker_week
eodhd,TSLA,2024-W29,762,0,1,ticker_week
eodhd,TSLA,2024-W27,1953,0,1,ticker_week
eodhd,TSLA,2024-W26,1381,0,1,ticker_week
eodhd,TSLA,2024-W24,2262,0,1,ticker_week
eodhd,TSLA,2024-W20,1396,0,1,ticker_week
newsapi,TSLA,2025-W35,1588,0,1,ticker_week
newsapi,TSLA,2024-W51,2177,0,1,ticker_week
newsapi,TSLA,2024-W45,993,0,1,ticker_week
newsapi,TSLA,2024-W44,1948,0,1,ticker_week
newsapi,TSLA,2025-W47,548,0,1,ticker_week
gdelt_doc_api,AAPL,2020-W18,1673,0,1,ticker_week_gdelt
gdelt_doc_api,TSLA,2020-W21,1854,0,1,ticker_week_gdelt
gdelt_doc_api,TSLA,2020-W23,1853,0,1,ticker_week_gdelt
gdelt_doc_api,AMZN,2020-W28,540,0,1,ticker_week_gdelt
gdelt_doc_api,AAPL,2021-W13,514,0,1,ticker_week_gdelt
gdelt_doc_api,TSLA,2021-W19,1847,0,1,ticker_week_gdelt
gdelt_doc_api,TSLA,2021-W22,2287,0,1,ticker_week_gdelt
gdelt_doc_api,AMZN,2021-W28,568,0,1,ticker_week_gdelt
gdelt_doc_api,TSLA,2021-W31,1866,0,1,ticker_week_gdelt
gdelt_doc_api,AMZN,2021-W37,424,0,1,ticker_week_gdelt
finnhub,AAPL,2022-W44,2232,0,1,ticker_week
finnhub,AAPL,2022-W39,998,0,1,ticker_week
finnhub,AAPL,2022-W25,1185,0,1,ticker_week
finnhub,TSLA,2024-W34,773,0,1,ticker_week
finnhub,TSLA,2024-W32,646,0,1,ticker_week
finnhub,TSLA,2024-W29,762,0,1,ticker_week
finnhub,TSLA,2024-W27,1953,0,1,ticker_week
finnhub,TSLA,2024-W26,1381,0,1,ticker_week
finnhub,TSLA,2024-W24,2262,0,1,ticker_week
finnhub,TSLA,2024-W20,1396,0,1,ticker_week
alpha_vantage_news_sentiment,AAPL,2022-W44,2232,0,1,ticker_week
alpha_vantage_news_sentiment,AAPL,2022-W39,998,0,1,ticker_week
alpha_vantage_news_sentiment,AAPL,2022-W25,1185,0,1,ticker_week
alpha_vantage_news_sentiment,TSLA,2024-W34,773,0,1,ticker_week
alpha_vantage_news_sentiment,TSLA,2024-W32,646,0,1,ticker_week
alpha_vantage_news_sentiment,TSLA,2024-W29,762,0,1,ticker_week
alpha_vantage_news_sentiment,TSLA,2024-W27,1953,0,1,ticker_week
