v2_sample_version,event_id,video_id,transcript_id,creator,channel_id,ticker,company_name,recommendation_type,event_date,effective_trading_event_date,upload_timing_bucket,quality_score,included_in_v2_event_study,exclusion_reason,source_table,notes,event_date_dt,year,spy_bhar,top5,pre2024_fnspid_miss,abs_bhar,priority_score
v2_expanded_live_db_2026-05-16,296,k7V84N-44_0,k7V84N-44_0,"Mark Roussin, CPA",UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Nvidia,buy,2024-02-29,2024-02-29,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-02-29,2024,0.1581734388599149,True,False,0.1581734388599149,22
v2_expanded_live_db_2026-05-16,297,k7V84N-44_0,k7V84N-44_0,"Mark Roussin, CPA",UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Nvidia,sell,2024-02-29,2024-02-29,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-02-29,2024,0.1581734388599149,True,False,0.1581734388599149,22
v2_expanded_live_db_2026-05-16,488,IYpcxacwS2s,IYpcxacwS2s,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,Tesla,buy,2024-03-01,2024-03-01,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-03-01,2024,-0.1325182635894672,True,False,0.1325182635894672,21
v2_expanded_live_db_2026-05-16,1354,qH6EtG6cMdg,qH6EtG6cMdg,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Nvidia,buy,2024-04-19,2024-04-19,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-04-19,2024,0.1249219254325795,True,False,0.1249219254325795,21
v2_expanded_live_db_2026-05-16,2225,k0rpxeieWDA,k0rpxeieWDA,Everything Money,UChBVf9YnourrEDTsbbwJPRA,TSLA,Tesla,sell,2025-02-17,2025-02-18,before_open,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2025-02-17,2025,-0.116688775631997,True,False,0.116688775631997,20
v2_expanded_live_db_2026-05-16,1714,ep5g-IJwkbg,ep5g-IJwkbg,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,Tesla,buy,2025-02-22,2025-02-24,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2025-02-22,2025,-0.1163027742228948,True,False,0.1163027742228948,20
v2_expanded_live_db_2026-05-16,1319,X9Uzxwt5qzo,X9Uzxwt5qzo,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,Nvidia,buy,2025-10-22,2025-10-22,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2025-10-22,2025,0.1191006840608723,True,False,0.1191006840608723,20
v2_expanded_live_db_2026-05-16,368,-zyg-sJrYKY,-zyg-sJrYKY,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Nvidia,buy,2024-01-05,2024-01-05,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-01-05,2024,0.0956034977400237,True,False,0.0956034977400237,19
v2_expanded_live_db_2026-05-16,1498,BtM-Yexjpt0,BtM-Yexjpt0,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,Tesla,buy,2024-09-20,2024-09-20,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-09-20,2024,0.0875550351999661,True,False,0.0875550351999661,19
v2_expanded_live_db_2026-05-16,2265,HPQepscELOM,HPQepscELOM,Everything Money,UChBVf9YnourrEDTsbbwJPRA,TSLA,Tesla,sell,2025-12-24,2025-12-24,before_open,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2025-12-24,2025,-0.0870636520273888,True,False,0.0870636520273888,19
v2_expanded_live_db_2026-05-16,833,FtyHVuOfGKo,FtyHVuOfGKo,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,Nvidia,buy,2026-01-29,2026-01-29,during_market,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2026-01-29,2026,-0.0835046997552214,True,False,0.0835046997552214,19
v2_expanded_live_db_2026-05-16,319,pgJMI_OiSSc,pgJMI_OiSSc,"Parkev Tatevosian, CFA",UCwKB_00dPL3x5XmHF9IJCrg,NVDA,Nvidia,buy,2026-02-04,2026-02-04,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2026-02-04,2026,0.0826412079332947,True,False,0.0826412079332947,19
v2_expanded_live_db_2026-05-16,1506,Ks5EmUsapoc,Ks5EmUsapoc,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,Nvidia,sell,2026-02-04,2026-02-04,during_market,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2026-02-04,2026,0.0826412079332947,True,False,0.0826412079332947,19
v2_expanded_live_db_2026-05-16,1507,Ks5EmUsapoc,Ks5EmUsapoc,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,Nvidia,sell,2026-02-04,2026-02-04,during_market,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2026-02-04,2026,0.0826412079332947,True,False,0.0826412079332947,19
v2_expanded_live_db_2026-05-16,1542,Xn1iyswilSQ,Xn1iyswilSQ,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,Nvidia,buy,2026-02-05,2026-02-05,during_market,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2026-02-05,2026,0.0822327679381931,True,False,0.0822327679381931,19
v2_expanded_live_db_2026-05-16,1621,GL4CpYiaUb0,GL4CpYiaUb0,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,Nvidia,buy,2026-02-05,2026-02-05,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2026-02-05,2026,0.0822327679381931,True,False,0.0822327679381931,19
v2_expanded_live_db_2026-05-16,1647,Kr-0EQVTWxs,Kr-0EQVTWxs,Couch Investor,UCrGLm-Drgv0vbbemwwHeXJw,NVDA,Nvidia,buy,2026-02-05,2026-02-05,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2026-02-05,2026,0.0822327679381931,True,False,0.0822327679381931,19
v2_expanded_live_db_2026-05-16,1372,B0768azDNlg,B0768azDNlg,"Parkev Tatevosian, CFA",UCwKB_00dPL3x5XmHF9IJCrg,AMZN,Amazon,buy,2026-04-03,2026-04-06,before_open,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2026-04-03,2026,0.0861221520542991,True,False,0.0861221520542991,19
v2_expanded_live_db_2026-05-16,535,R6wvd_Z8B0M,R6wvd_Z8B0M,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Nvidia,buy,2024-01-26,2024-01-26,after_close,2,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-01-26,2024,0.0698006777920974,True,False,0.0698006777920974,18
v2_expanded_live_db_2026-05-16,536,R6wvd_Z8B0M,R6wvd_Z8B0M,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Nvidia,buy,2024-01-26,2024-01-26,after_close,2,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-01-26,2024,0.0698006777920974,True,False,0.0698006777920974,18
v2_expanded_live_db_2026-05-16,659,x1CWG9Nkkms,x1CWG9Nkkms,Dividend Bull,UCLxMEPUoHpKq4PEk85RZn9A,NVDA,Nvidia,sell,2024-04-16,2024-04-16,during_market,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-04-16,2024,-0.0613170444526349,True,False,0.0613170444526349,18
v2_expanded_live_db_2026-05-16,1971,TWfBbgfxarA,TWfBbgfxarA,Ticker Symbol: YOU,UC7kCeZ53sli_9XwuQeFxLqw,NVDA,Nvidia,buy,2024-07-12,2024-07-12,during_market,4,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-07-12,2024,-0.067868807022505,True,False,0.067868807022505,18
v2_expanded_live_db_2026-05-16,1972,TWfBbgfxarA,TWfBbgfxarA,Ticker Symbol: YOU,UC7kCeZ53sli_9XwuQeFxLqw,NVDA,Nvidia,buy,2024-07-12,2024-07-12,during_market,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-07-12,2024,-0.067868807022505,True,False,0.067868807022505,18
v2_expanded_live_db_2026-05-16,1973,TWfBbgfxarA,TWfBbgfxarA,Ticker Symbol: YOU,UC7kCeZ53sli_9XwuQeFxLqw,NVDA,Nvidia,buy,2024-07-12,2024-07-12,during_market,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-07-12,2024,-0.067868807022505,True,False,0.067868807022505,18
v2_expanded_live_db_2026-05-16,757,WrNoXANEOLk,WrNoXANEOLk,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Nvidia,sell,2024-07-20,2024-07-22,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-07-20,2024,-0.0788987934351792,True,False,0.0788987934351792,18
v2_expanded_live_db_2026-05-16,758,WrNoXANEOLk,WrNoXANEOLk,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Nvidia,buy,2024-07-20,2024-07-22,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-07-20,2024,-0.0788987934351792,True,False,0.0788987934351792,18
v2_expanded_live_db_2026-05-16,443,CT2pUJ90wUg,CT2pUJ90wUg,"Mark Roussin, CPA",UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Nvidia,sell,2024-09-07,2024-09-09,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-09-07,2024,0.0668595225219355,True,False,0.0668595225219355,18
v2_expanded_live_db_2026-05-16,788,jxZjX7GqX90,jxZjX7GqX90,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Nvidia,buy,2024-09-07,2024-09-09,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-09-07,2024,0.0668595225219355,True,False,0.0668595225219355,18
v2_expanded_live_db_2026-05-16,842,KrmkOLL2IWE,KrmkOLL2IWE,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,NVDA,Nvidia,buy,2024-12-14,2024-12-16,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-12-14,2024,0.0747487461775473,True,False,0.0747487461775473,18
v2_expanded_live_db_2026-05-16,1323,eNw6yS2Y56s,eNw6yS2Y56s,"Mark Roussin, CPA",UCC7xhD0o7FBHdKXZxMRFspQ,NVDA,Nvidia,buy,2024-12-14,2024-12-16,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2024-12-14,2024,0.0747487461775473,True,False,0.0747487461775473,18
v2_expanded_live_db_2026-05-16,871,Xi9WAWFTUhs,Xi9WAWFTUhs,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,Tesla,buy,2025-01-18,2025-01-21,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2025-01-18,2025,-0.0637011968364071,True,False,0.0637011968364071,18
v2_expanded_live_db_2026-05-16,1011,ilqte36NThc,ilqte36NThc,The Investor Channel,UC7r4-nZ4icT8SIcnisXFSHQ,TSLA,Tesla,buy,2025-02-28,2025-02-28,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2025-02-28,2025,-0.0727226215266918,True,False,0.0727226215266918,18
v2_expanded_live_db_2026-05-16,804,sZe5wohROtE,sZe5wohROtE,Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,NVDA,Nvidia,buy,2025-12-17,2025-12-17,after_close,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2025-12-17,2025,0.0720618272417803,True,False,0.0720618272417803,18
v2_expanded_live_db_2026-05-16,1912,3DZMUqKAc0w,3DZMUqKAc0w,Graham Stephan,UCV6KDgJskWaEckne5aPA0aQ,TSLA,Tesla,buy,2025-12-21,2025-12-22,weekend_or_holiday,3,True,,transcript_recommendation_events,expanded live DB accepted/extracted recommendation event,2025-12-21,2025,-0.0733652216802852,True,False,0.0733652216802852,18
