provider,ticker,iso_year_week,event_id_anchor,priority_score,planned_calls,collapse
marketaux,NVDA,2024-W09,296,22,1,targeted_unknown
massive_polygon,NVDA,2024-W09,297,22,1,targeted_unknown
finnhub,TSLA,2024-W09,488,21,1,targeted_unknown
fmp_stock_news,NVDA,2024-W16,1354,21,1,targeted_unknown
alpha_vantage_news_sentiment,TSLA,2025-W08,2225,20,1,targeted_unknown
marketaux,TSLA,2025-W08,1714,20,1,targeted_unknown
massive_polygon,NVDA,2025-W43,1319,20,1,targeted_unknown
finnhub,NVDA,2024-W01,368,19,1,targeted_unknown
fmp_stock_news,TSLA,2024-W38,1498,19,1,targeted_unknown
alpha_vantage_news_sentiment,TSLA,2025-W52,2265,19,1,targeted_unknown
marketaux,NVDA,2026-W05,833,19,1,targeted_unknown
massive_polygon,NVDA,2026-W06,319,19,1,targeted_unknown
finnhub,NVDA,2026-W06,1506,19,1,targeted_unknown
fmp_stock_news,NVDA,2026-W06,1507,19,1,targeted_unknown
alpha_vantage_news_sentiment,NVDA,2026-W06,1542,19,1,targeted_unknown
marketaux,NVDA,2026-W06,1621,19,1,targeted_unknown
massive_polygon,NVDA,2026-W06,1647,19,1,targeted_unknown
finnhub,AMZN,2026-W14,1372,19,1,targeted_unknown
fmp_stock_news,NVDA,2024-W04,535,18,1,targeted_unknown
alpha_vantage_news_sentiment,NVDA,2024-W04,536,18,1,targeted_unknown
marketaux,NVDA,2024-W16,659,18,1,targeted_unknown
massive_polygon,NVDA,2024-W28,1971,18,1,targeted_unknown
finnhub,NVDA,2024-W28,1972,18,1,targeted_unknown
fmp_stock_news,NVDA,2024-W28,1973,18,1,targeted_unknown
alpha_vantage_news_sentiment,NVDA,2024-W29,757,18,1,targeted_unknown
marketaux,NVDA,2024-W29,758,18,1,targeted_unknown
massive_polygon,NVDA,2024-W36,443,18,1,targeted_unknown
finnhub,NVDA,2024-W36,788,18,1,targeted_unknown
fmp_stock_news,NVDA,2024-W50,842,18,1,targeted_unknown
alpha_vantage_news_sentiment,NVDA,2024-W50,1323,18,1,targeted_unknown
marketaux,TSLA,2025-W03,871,18,1,targeted_unknown
massive_polygon,TSLA,2025-W09,1011,18,1,targeted_unknown
finnhub,NVDA,2025-W51,804,18,1,targeted_unknown
fmp_stock_news,TSLA,2025-W51,1912,18,1,targeted_unknown
alpha_vantage_news_sentiment,TSLA,2025-W52,1446,18,1,targeted_unknown
marketaux,AMD,2026-W15,371,18,1,targeted_unknown
massive_polygon,TSLA,2024-W07,2056,17,1,targeted_unknown
finnhub,TSLA,2024-W07,2057,17,1,targeted_unknown
fmp_stock_news,TSLA,2024-W07,2058,17,1,targeted_unknown
alpha_vantage_news_sentiment,TSLA,2024-W07,2059,17,1,targeted_unknown
marketaux,TSLA,2024-W07,2060,17,1,targeted_unknown
massive_polygon,TSLA,2024-W07,2061,17,1,targeted_unknown
finnhub,TSLA,2024-W07,2062,17,1,targeted_unknown
fmp_stock_news,TSLA,2024-W07,2063,17,1,targeted_unknown
alpha_vantage_news_sentiment,TSLA,2024-W07,2064,17,1,targeted_unknown
marketaux,TSLA,2024-W07,2065,17,1,targeted_unknown
massive_polygon,TSLA,2024-W07,2066,17,1,targeted_unknown
finnhub,TSLA,2024-W07,2067,17,1,targeted_unknown
